cell_id,Malurus assimilis,Malurus assimilis dulcis/rogersi,Malurus assimilis assimilis/bernieri
8494187ffffffff,12.0,10.0,0.0
84941a1ffffffff,5.0,0.0,0.0
84941a7ffffffff,3.0,0.0,0.0
84941bdffffffff,58.0,38.0,0.0
8494511ffffffff,4.0,0.0,4.0
849458dffffffff,10.0,6.0,0.0
84945adffffffff,2.0,0.0,0.0
84945c3ffffffff,3.0,2.0,0.0
84945c7ffffffff,11.0,11.0,0.0
84945d7ffffffff,2.0,0.0,0.0
84945e3ffffffff,30.0,18.0,0.0
84945e5ffffffff,1.0,0.0,0.0
8494801ffffffff,5.0,0.0,0.0
8494803ffffffff,187.0,0.0,20.0
8494807ffffffff,18.0,0.0,0.0
849480bffffffff,178.0,0.0,23.0
8494811ffffffff,3.0,0.0,0.0
8494815ffffffff,10.0,0.0,5.0
849481dffffffff,24.0,0.0,1.0
8494825ffffffff,54.0,0.0,29.0
8494833ffffffff,1.0,0.0,0.0
849483bffffffff,2.0,0.0,0.0
8494855ffffffff,5.0,0.0,0.0
849485bffffffff,4.0,0.0,0.0
8494899ffffffff,6.0,0.0,0.0
84948cdffffffff,6.0,0.0,2.0
84948e5ffffffff,3.0,0.0,0.0
84948edffffffff,13.0,0.0,9.0
8494905ffffffff,2.0,0.0,0.0
8494911ffffffff,16.0,0.0,0.0
8494917ffffffff,2.0,0.0,2.0
8494963ffffffff,2.0,0.0,0.0
8494967ffffffff,1.0,0.0,0.0
8494a85ffffffff,5.0,0.0,0.0
8494a93ffffffff,9.0,9.0,0.0
8494aa7ffffffff,1.0,0.0,0.0
8494ab7ffffffff,2.0,0.0,0.0
8494ae3ffffffff,34.0,0.0,2.0
8494ae7ffffffff,2.0,0.0,2.0
8494c49ffffffff,1.0,0.0,1.0
8494c61ffffffff,10.0,0.0,0.0
8494c6dffffffff,2.0,0.0,0.0
8494d5dffffffff,6.0,0.0,0.0
8494e23ffffffff,2.0,0.0,0.0
8494e35ffffffff,9.0,2.0,0.0
8494e81ffffffff,4.0,0.0,0.0
8494e87ffffffff,26.0,0.0,8.0
8494ea1ffffffff,2.0,0.0,0.0
8494ea3ffffffff,3.0,0.0,0.0
8494eb5ffffffff,4.0,0.0,0.0
8494ed3ffffffff,1.0,1.0,0.0
8494ee1ffffffff,10.0,0.0,2.0
8494ee7ffffffff,5.0,0.0,5.0
8494f0dffffffff,2.0,2.0,0.0
8494f21ffffffff,9.0,5.0,0.0
8494f5dffffffff,2.0,0.0,0.0
8494f61ffffffff,2.0,2.0,0.0
8494f63ffffffff,12.0,4.0,0.0
8494f65ffffffff,23.0,6.0,0.0
8494f69ffffffff,2.0,0.0,0.0
8494f6bffffffff,2.0,0.0,0.0
8494f6dffffffff,4.0,0.0,0.0
