cell_id,Glareola nuchalis,Glareola nuchalis liberiae,Glareola nuchalis nuchalis
8354e2fffffffff,1.0,0.0,0.0
8354e8fffffffff,10.0,0.0,0.0
835886fffffffff,4.0,0.0,0.0
835894fffffffff,24.0,0.0,0.0
8358b5fffffffff,1.0,0.0,0.0
8358d2fffffffff,6.0,0.0,0.0
8358d3fffffffff,3.0,0.0,0.0
836a14fffffffff,1.0,0.0,0.0
836ac3fffffffff,3.0,0.0,0.0
836ac8fffffffff,4.0,0.0,0.0
836acdfffffffff,19.0,0.0,4.0
836acefffffffff,1.0,0.0,0.0
836ae8fffffffff,357.0,0.0,61.0
836aeafffffffff,40.0,0.0,1.0
836aebfffffffff,8.0,0.0,0.0
836aeefffffffff,27.0,0.0,0.0
83750dfffffffff,175.0,40.0,0.0
837513fffffffff,1.0,0.0,0.0
837518fffffffff,1.0,0.0,0.0
837528fffffffff,2.0,2.0,0.0
837586fffffffff,1.0,0.0,0.0
8375aefffffffff,1.0,0.0,0.0
8375b0fffffffff,3.0,0.0,0.0
837a4dfffffffff,34.0,0.0,0.0
8382a0fffffffff,2.0,0.0,0.0
8382a8fffffffff,8.0,0.0,1.0
8382a9fffffffff,11.0,0.0,0.0
8382aafffffffff,2.0,0.0,0.0
8382d3fffffffff,1.0,0.0,0.0
8382d6fffffffff,8.0,0.0,0.0
8382f6fffffffff,6.0,0.0,0.0
838312fffffffff,2.0,0.0,0.0
838315fffffffff,1.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0
839618fffffffff,2.0,0.0,0.0
839620fffffffff,2.0,0.0,0.0
839621fffffffff,3.0,0.0,3.0
839628fffffffff,14.0,0.0,2.0
839629fffffffff,4.0,0.0,0.0
83962afffffffff,2.0,0.0,0.0
8396d8fffffffff,1.0,0.0,0.0
839743fffffffff,1.0,0.0,0.0
83974afffffffff,46.0,0.0,10.0
83974bfffffffff,23.0,0.0,7.0
83974efffffffff,1.0,0.0,0.0
839750fffffffff,2.0,0.0,0.0
839751fffffffff,360.0,0.0,46.0
839758fffffffff,4.0,0.0,0.0
83975cfffffffff,2.0,0.0,0.0
83975dfffffffff,2.0,0.0,0.0
8397a8fffffffff,6.0,0.0,0.0
