cell_id,Laniarius bicolor,Laniarius bicolor bicolor/guttatus,Laniarius bicolor sticturus
84821b3ffffffff,1.0,0.0,0.0
8482b35ffffffff,1.0,0.0,0.0
8482f09ffffffff,9.0,0.0,0.0
8482f0dffffffff,1.0,0.0,0.0
848304dffffffff,6.0,0.0,0.0
8483113ffffffff,2.0,0.0,0.0
8483117ffffffff,11.0,0.0,0.0
8483125ffffffff,7.0,0.0,0.0
84831e5ffffffff,7.0,0.0,0.0
84831e7ffffffff,3.0,0.0,0.0
84831ebffffffff,17.0,0.0,0.0
848320dffffffff,7.0,0.0,0.0
8483263ffffffff,2.0,0.0,0.0
8483ad1ffffffff,2.0,0.0,0.0
8496445ffffffff,1.0,0.0,0.0
8496663ffffffff,1.0,0.0,0.0
8496755ffffffff,1.0,0.0,0.0
8496759ffffffff,1.0,0.0,0.0
8497413ffffffff,1.0,0.0,0.0
8497415ffffffff,59.0,0.0,17.0
8497417ffffffff,30.0,0.0,3.0
849741dffffffff,71.0,0.0,13.0
8497431ffffffff,54.0,0.0,10.0
8497435ffffffff,6.0,0.0,1.0
8497437ffffffff,38.0,0.0,14.0
8497439ffffffff,6.0,0.0,0.0
849743bffffffff,50.0,0.0,15.0
84974a9ffffffff,394.0,0.0,140.0
84974abffffffff,320.0,0.0,97.0
84974adffffffff,4.0,0.0,0.0
84974b9ffffffff,87.0,0.0,42.0
84974bbffffffff,11.0,0.0,3.0
84974bdffffffff,7.0,0.0,0.0
84974e1ffffffff,46.0,0.0,12.0
84974e3ffffffff,25.0,0.0,13.0
84974e5ffffffff,9.0,0.0,0.0
84974e9ffffffff,95.0,0.0,29.0
84974edffffffff,42.0,0.0,11.0
8497513ffffffff,164.0,0.0,12.0
8497515ffffffff,12.0,0.0,0.0
8497583ffffffff,1.0,0.0,0.0
84975b1ffffffff,1.0,0.0,0.0
84975b9ffffffff,1.0,0.0,0.0
84975c1ffffffff,9.0,0.0,0.0
84975c5ffffffff,24.0,0.0,0.0
84975c7ffffffff,104.0,0.0,29.0
84975c9ffffffff,4.0,0.0,0.0
84975cbffffffff,8.0,0.0,0.0
84975d1ffffffff,40.0,0.0,8.0
84975d7ffffffff,1.0,0.0,0.0
84975d9ffffffff,2.0,0.0,0.0
84975ddffffffff,11.0,0.0,2.0
84975ebffffffff,12.0,0.0,3.0
84976a1ffffffff,2.0,0.0,2.0
84ac8a3ffffffff,10.0,0.0,0.0
84ac8a9ffffffff,99.0,0.0,16.0
84ac8e7ffffffff,23.0,0.0,0.0
84ac961ffffffff,118.0,0.0,16.0
84ac969ffffffff,11.0,0.0,0.0
84ac96dffffffff,72.0,0.0,11.0
