cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
820757fffffffff,1.0,0.0,0.0,0.0,0.0
82075ffffffffff,3.0,1.0,0.0,0.0,0.0
8208b7fffffffff,2.0,0.0,0.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0,0.0,0.0
820e87fffffffff,4.0,0.0,0.0,0.0,0.0
821257fffffffff,2.0,0.0,0.0,0.0,0.0
82125ffffffffff,4.0,0.0,0.0,0.0,0.0
8212cffffffffff,36.0,0.0,0.0,0.0,0.0
8212d7fffffffff,10.0,0.0,0.0,0.0,0.0
8212dffffffffff,10.0,0.0,0.0,0.0,0.0
8212effffffffff,5.0,0.0,0.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0,0.0,0.0
8214affffffffff,4.0,0.0,0.0,0.0,0.0
821827fffffffff,1.0,1.0,0.0,0.0,0.0
82182ffffffffff,4.0,1.0,0.0,0.0,0.0
82184ffffffffff,5.0,0.0,0.0,0.0,0.0
82185ffffffffff,9.0,0.0,0.0,0.0,0.0
82186ffffffffff,34.0,0.0,0.0,0.0,0.0
821877fffffffff,7.0,0.0,0.0,0.0,0.0
821947fffffffff,28.0,8.0,0.0,0.0,0.0
82194ffffffffff,31.0,7.0,0.0,0.0,0.0
821957fffffffff,2.0,0.0,0.0,0.0,0.0
82195ffffffffff,6.0,0.0,0.0,0.0,0.0
82196ffffffffff,21.0,0.0,0.0,0.0,0.0
821aa7fffffffff,3.0,0.0,0.0,0.0,0.0
821e07fffffffff,18.0,2.0,0.0,0.0,0.0
821e0ffffffffff,12.0,0.0,0.0,0.0,0.0
821e1ffffffffff,7.0,2.0,0.0,0.0,0.0
821e27fffffffff,3.0,0.0,0.0,0.0,0.0
821e2ffffffffff,6.0,0.0,0.0,0.0,0.0
821e37fffffffff,44.0,0.0,0.0,0.0,0.0
821e57fffffffff,2.0,0.0,0.0,0.0,0.0
821e5ffffffffff,4.0,0.0,0.0,0.0,0.0
821e87fffffffff,9.0,0.0,0.0,0.0,0.0
821ea7fffffffff,11.0,6.0,0.0,0.0,0.0
821eaffffffffff,3.0,0.0,0.0,0.0,0.0
821ec7fffffffff,10.0,0.0,0.0,0.0,0.0
821ecffffffffff,9.0,1.0,0.0,0.0,0.0
821ed7fffffffff,2.0,0.0,0.0,0.0,0.0
821edffffffffff,39.0,2.0,0.0,0.0,0.0
821eeffffffffff,2.0,0.0,0.0,0.0,0.0
821f07fffffffff,4.0,0.0,0.0,0.0,0.0
821f0ffffffffff,2.0,0.0,0.0,0.0,0.0
821f17fffffffff,1.0,0.0,0.0,0.0,0.0
821f1ffffffffff,6.0,0.0,0.0,0.0,0.0
821f27fffffffff,2.0,2.0,0.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0,0.0,0.0
821f5ffffffffff,3.0,0.0,0.0,0.0,0.0
821f77fffffffff,3.0,0.0,0.0,0.0,0.0
821f87fffffffff,2.0,0.0,0.0,0.0,0.0
821f8ffffffffff,8.0,2.0,0.0,0.0,0.0
821f9ffffffffff,15.0,0.0,0.0,0.0,0.0
821fa7fffffffff,19.0,0.0,0.0,0.0,0.0
821faffffffffff,19.0,0.0,0.0,0.0,0.0
821fb7fffffffff,12.0,2.0,0.0,0.0,0.0
822017fffffffff,2.0,0.0,0.0,0.0,0.0
82209ffffffffff,3.0,0.0,0.0,0.0,0.0
8220a7fffffffff,11.0,11.0,0.0,0.0,0.0
8220b7fffffffff,5.0,0.0,0.0,0.0,0.0
8222effffffffff,5.0,0.0,0.0,0.0,0.0
822407fffffffff,1.0,0.0,0.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0,0.0,0.0
822437fffffffff,10.0,0.0,0.0,0.0,0.0
822447fffffffff,2.0,0.0,0.0,0.0,0.0
822477fffffffff,2.0,0.0,0.0,0.0,0.0
8224affffffffff,1.0,0.0,0.0,0.0,0.0
