cell_id,Atimastillas flavigula,Atimastillas flavigula soror,Atimastillas flavigula flavigula
82529ffffffffff,1.0,0.0,0.0
8258d7fffffffff,4.0,0.0,0.0
8258dffffffffff,18.0,0.0,0.0
826ac7fffffffff,235.0,0.0,23.0
826acffffffffff,455.0,0.0,48.0
826adffffffffff,445.0,0.0,13.0
826ae7fffffffff,3.0,0.0,0.0
826aeffffffffff,146.0,0.0,7.0
827a4ffffffffff,390.0,0.0,0.0
827a6ffffffffff,56.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0
82828ffffffffff,18.0,2.0,0.0
8282a7fffffffff,16.0,0.0,0.0
8282affffffffff,22.0,0.0,0.0
8282d7fffffffff,1.0,0.0,0.0
828317fffffffff,9.0,0.0,0.0
82831ffffffffff,2.0,0.0,0.0
828337fffffffff,6.0,0.0,0.0
8283a7fffffffff,10.0,0.0,4.0
8283affffffffff,2.0,0.0,2.0
829607fffffffff,50.0,0.0,5.0
82960ffffffffff,54.0,0.0,5.0
829617fffffffff,11.0,0.0,2.0
829657fffffffff,7.0,0.0,0.0
829677fffffffff,4.0,0.0,0.0
82968ffffffffff,2.0,0.0,2.0
82969ffffffffff,3.0,0.0,1.0
8296effffffffff,1.0,0.0,0.0
