cell_id,Iole viridescens,Iole viridescens viridescens/lekhakuni,Iole viridescens cinnamomeoventris
83648efffffffff,4.0,0.0,0.0
8364a5fffffffff,8.0,0.0,8.0
836518fffffffff,14.0,0.0,0.0
