cell_id,Geokichla guttata,Geokichla guttata maxis,Geokichla guttata lippensi,Geokichla guttata [guttata Group]
837a6dfffffffff,1.0,0.0,0.0,0.0
837b4dfffffffff,1.0,0.0,0.0,0.0
837b59fffffffff,4.0,0.0,0.0,0.0
8396b6fffffffff,1.0,0.0,0.0,0.0
8397acfffffffff,8.0,0.0,0.0,0.0
83bc19fffffffff,6.0,0.0,0.0,1.0
83bc1bfffffffff,20.0,0.0,0.0,2.0
83bc89fffffffff,1.0,0.0,0.0,0.0
83bce4fffffffff,2.0,0.0,0.0,0.0
83bce6fffffffff,1.0,0.0,0.0,0.0
83bcf0fffffffff,237.0,0.0,0.0,56.0
83bcf4fffffffff,28.0,0.0,0.0,9.0
83bcf5fffffffff,12.0,0.0,0.0,2.0
83bcf6fffffffff,15.0,0.0,0.0,1.0
