cell_id,Anthus spinoletta,Anthus spinoletta spinoletta,Anthus spinoletta coutellii,Anthus spinoletta blakistoni
820987fffffffff,2.0,0.0,0.0,0.0
820997fffffffff,1.0,1.0,0.0,0.0
82182ffffffffff,11.0,1.0,0.0,0.0
82184ffffffffff,4.0,0.0,0.0,0.0
82185ffffffffff,34.0,3.0,0.0,0.0
821877fffffffff,1.0,0.0,0.0,0.0
821947fffffffff,17.0,0.0,0.0,0.0
82194ffffffffff,7.0,0.0,0.0,0.0
821957fffffffff,8.0,0.0,0.0,0.0
82195ffffffffff,4.0,2.0,0.0,0.0
82196ffffffffff,4.0,0.0,0.0,0.0
821977fffffffff,14.0,0.0,0.0,0.0
821e07fffffffff,9.0,0.0,0.0,0.0
821e0ffffffffff,7.0,0.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0,0.0
821e27fffffffff,23.0,0.0,0.0,0.0
821e37fffffffff,29.0,0.0,0.0,0.0
821ea7fffffffff,10.0,4.0,0.0,0.0
821eaffffffffff,6.0,0.0,0.0,0.0
821ec7fffffffff,7.0,0.0,0.0,0.0
821ecffffffffff,8.0,0.0,0.0,0.0
821ed7fffffffff,2.0,0.0,0.0,0.0
821edffffffffff,5.0,0.0,0.0,0.0
821f07fffffffff,1.0,1.0,0.0,0.0
821f0ffffffffff,5.0,0.0,0.0,0.0
821f1ffffffffff,3.0,0.0,0.0,0.0
821f27fffffffff,31.0,4.0,0.0,0.0
821f2ffffffffff,3.0,0.0,0.0,0.0
821f37fffffffff,2.0,0.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0,0.0
821f77fffffffff,7.0,0.0,0.0,0.0
821f87fffffffff,8.0,0.0,0.0,0.0
821f8ffffffffff,10.0,6.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0,0.0
821fa7fffffffff,4.0,0.0,0.0,0.0
821faffffffffff,10.0,0.0,0.0,0.0
821fb7fffffffff,1.0,0.0,0.0,0.0
82201ffffffffff,5.0,0.0,0.0,3.0
82204ffffffffff,2.0,0.0,0.0,2.0
82209ffffffffff,1.0,0.0,0.0,0.0
8220b7fffffffff,12.0,0.0,0.0,0.0
8220e7fffffffff,6.0,0.0,0.0,4.0
8220f7fffffffff,3.0,0.0,0.0,0.0
82219ffffffffff,1.0,0.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0,0.0
82248ffffffffff,4.0,0.0,0.0,4.0
822517fffffffff,17.0,0.0,0.0,13.0
8225affffffffff,6.0,0.0,0.0,6.0
822c07fffffffff,21.0,0.0,2.0,0.0
822c0ffffffffff,21.0,0.0,13.0,0.0
822c1ffffffffff,1.0,0.0,1.0,0.0
822c27fffffffff,4.0,0.0,0.0,0.0
822c97fffffffff,1.0,0.0,0.0,0.0
822ce7fffffffff,13.0,0.0,7.0,0.0
822d37fffffffff,3.0,0.0,0.0,0.0
822da7fffffffff,1.0,0.0,0.0,0.0
822db7fffffffff,10.0,1.0,6.0,0.0
82309ffffffffff,17.0,0.0,0.0,2.0
8230e7fffffffff,3.0,0.0,0.0,0.0
823187fffffffff,12.0,0.0,0.0,0.0
82318ffffffffff,4.0,0.0,0.0,0.0
823827fffffffff,2.0,0.0,0.0,0.0
823867fffffffff,1.0,0.0,0.0,0.0
823907fffffffff,113.0,0.0,0.0,0.0
82390ffffffffff,17.0,0.0,0.0,0.0
823917fffffffff,48.0,0.0,0.0,0.0
82391ffffffffff,7.0,0.0,0.0,0.0
823927fffffffff,102.0,0.0,0.0,0.0
82392ffffffffff,45.0,3.0,0.0,0.0
823937fffffffff,26.0,0.0,0.0,0.0
823947fffffffff,7.0,5.0,0.0,0.0
823957fffffffff,2.0,1.0,0.0,0.0
823967fffffffff,4.0,0.0,0.0,0.0
823977fffffffff,25.0,3.0,0.0,0.0
823c07fffffffff,42.0,0.0,0.0,3.0
823c0ffffffffff,2.0,0.0,0.0,0.0
823c1ffffffffff,9.0,0.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0,0.0
823d07fffffffff,58.0,0.0,0.0,0.0
823d17fffffffff,12.0,0.0,0.0,0.0
823d1ffffffffff,4.0,0.0,0.0,0.0
823d37fffffffff,100.0,0.0,0.0,0.0
823d87fffffffff,4.0,0.0,0.0,0.0
823d8ffffffffff,2.0,0.0,0.0,0.0
823da7fffffffff,130.0,0.0,0.0,0.0
823db7fffffffff,1.0,0.0,0.0,0.0
823e6ffffffffff,9.0,0.0,2.0,0.0
823f2ffffffffff,2.0,0.0,0.0,0.0
82411ffffffffff,7.0,0.0,0.0,0.0
82419ffffffffff,2.0,0.0,0.0,0.0
82424ffffffffff,11.0,0.0,0.0,0.0
824257fffffffff,31.0,0.0,0.0,0.0
82425ffffffffff,11.0,0.0,0.0,0.0
8242c7fffffffff,18.0,0.0,0.0,0.0
8242cffffffffff,4.0,0.0,0.0,4.0
824397fffffffff,2.0,0.0,2.0,0.0
8243a7fffffffff,1.0,0.0,0.0,0.0
