cell_id,Diglossa brunneiventris,Diglossa brunneiventris vuilleumieri,Diglossa brunneiventris brunneiventris
8466181ffffffff,190.0,0.0,0.0
8466183ffffffff,1.0,0.0,0.0
8466189ffffffff,6.0,0.0,0.0
846618bffffffff,318.0,0.0,0.0
8466195ffffffff,3.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0
84661d5ffffffff,165.0,0.0,0.0
8466e61ffffffff,7.0,0.0,0.0
8466e67ffffffff,6.0,0.0,0.0
8466e6dffffffff,10.0,0.0,0.0
848b603ffffffff,2.0,0.0,0.0
848b605ffffffff,2.0,0.0,0.0
848b609ffffffff,3.0,0.0,0.0
848b60bffffffff,5.0,0.0,0.0
848b611ffffffff,1261.0,0.0,20.0
848b613ffffffff,7.0,0.0,0.0
848b615ffffffff,2.0,0.0,0.0
848b617ffffffff,347.0,0.0,6.0
848b619ffffffff,113.0,0.0,0.0
848b61bffffffff,716.0,0.0,4.0
848b61dffffffff,286.0,0.0,0.0
848b657ffffffff,4.0,0.0,0.0
848b665ffffffff,25.0,0.0,0.0
848b6c9ffffffff,54.0,0.0,0.0
848b6cdffffffff,624.0,0.0,7.0
848b759ffffffff,1.0,0.0,0.0
848e605ffffffff,11.0,0.0,0.0
848e607ffffffff,16.0,0.0,0.0
848e609ffffffff,28.0,0.0,0.0
848e60bffffffff,35.0,0.0,0.0
848e617ffffffff,1.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0
848e61dffffffff,21.0,0.0,0.0
848e629ffffffff,14.0,0.0,0.0
848e645ffffffff,9.0,0.0,0.0
848e647ffffffff,5.0,0.0,0.0
848e649ffffffff,5.0,0.0,0.0
848e64dffffffff,1.0,0.0,0.0
848e651ffffffff,23.0,0.0,0.0
848e655ffffffff,28.0,0.0,0.0
848e657ffffffff,68.0,0.0,0.0
848e661ffffffff,1.0,0.0,0.0
848e663ffffffff,140.0,0.0,0.0
848e66bffffffff,5.0,0.0,0.0
848e681ffffffff,6.0,0.0,0.0
848e683ffffffff,3.0,0.0,0.0
848e685ffffffff,2.0,0.0,0.0
848e687ffffffff,5.0,0.0,0.0
848e68bffffffff,11.0,0.0,0.0
848e691ffffffff,3.0,0.0,0.0
848e693ffffffff,4.0,0.0,0.0
848e69bffffffff,8.0,0.0,0.0
848e6c1ffffffff,18.0,0.0,0.0
848e6c3ffffffff,4.0,0.0,0.0
848e6c5ffffffff,8.0,0.0,0.0
848e6c7ffffffff,4.0,0.0,0.0
848e6cdffffffff,8.0,0.0,0.0
848e6d1ffffffff,9.0,0.0,0.0
848e6d7ffffffff,1.0,0.0,0.0
848e6d9ffffffff,269.0,0.0,0.0
848e6ddffffffff,111.0,0.0,0.0
848f425ffffffff,17.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,7.0,0.0,0.0
848f4a5ffffffff,76.0,0.0,0.0
848f4a7ffffffff,7.0,0.0,0.0
848f50bffffffff,2.0,0.0,0.0
848f511ffffffff,7.0,0.0,0.0
848f513ffffffff,11.0,0.0,0.0
848f515ffffffff,4.0,0.0,0.0
848f517ffffffff,3.0,0.0,0.0
848f519ffffffff,336.0,0.0,0.0
848f51bffffffff,9.0,0.0,0.0
848f51dffffffff,70.0,0.0,0.0
848f553ffffffff,143.0,0.0,0.0
848f557ffffffff,3.0,0.0,0.0
848f559ffffffff,8.0,0.0,0.0
848f55bffffffff,62.0,0.0,0.0
848f581ffffffff,43.0,0.0,0.0
848f583ffffffff,3.0,0.0,0.0
848f587ffffffff,2.0,0.0,0.0
848f589ffffffff,20.0,0.0,0.0
848f58bffffffff,3.0,0.0,0.0
848f58dffffffff,102.0,0.0,0.0
848f591ffffffff,1.0,0.0,0.0
848f593ffffffff,10.0,0.0,0.0
848f595ffffffff,2.0,0.0,0.0
848f597ffffffff,67.0,0.0,0.0
848f599ffffffff,12.0,0.0,0.0
848f59bffffffff,26.0,0.0,0.0
848f59dffffffff,9.0,0.0,0.0
848f5b9ffffffff,14.0,0.0,0.0
848f5bbffffffff,2.0,0.0,0.0
848f5c1ffffffff,10.0,0.0,0.0
848f5c3ffffffff,4.0,0.0,0.0
848f5c9ffffffff,2.0,0.0,0.0
848f5cdffffffff,46.0,0.0,0.0
848f5d5ffffffff,4.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0
848f5ddffffffff,5.0,0.0,0.0
848f5e9ffffffff,1.0,0.0,0.0
848f5ebffffffff,2.0,0.0,0.0
848f733ffffffff,3.0,0.0,0.0
84b3011ffffffff,2.0,0.0,0.0
84b3055ffffffff,15.0,0.0,0.0
84b305dffffffff,556.0,0.0,0.0
84b3209ffffffff,28.0,0.0,0.0
84b320bffffffff,15.0,0.0,0.0
84b320dffffffff,76.0,0.0,0.0
84b3219ffffffff,12.0,0.0,0.0
84b321dffffffff,3.0,0.0,0.0
84b3225ffffffff,3.0,0.0,0.0
84b3241ffffffff,2.0,0.0,0.0
84b3243ffffffff,41.0,0.0,0.0
84b3245ffffffff,2.0,0.0,0.0
84b324dffffffff,2.0,0.0,0.0
84b3253ffffffff,67.0,0.0,0.0
84b3257ffffffff,57.0,0.0,0.0
84b3261ffffffff,18.0,0.0,0.0
84b3263ffffffff,2.0,0.0,0.0
84b3269ffffffff,2.0,0.0,0.0
84b326bffffffff,16.0,0.0,0.0
84b3319ffffffff,3.0,0.0,0.0
84b3341ffffffff,22.0,0.0,0.0
84b3343ffffffff,1.0,0.0,0.0
84b3347ffffffff,2.0,0.0,0.0
84b334bffffffff,14.0,0.0,0.0
84b3355ffffffff,101.0,0.0,0.0
84b3357ffffffff,4.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0
