cell_id,Pheugopedius sclateri,Pheugopedius sclateri columbianus,Pheugopedius sclateri paucimaculatus,Pheugopedius sclateri sclateri
8466085ffffffff,2.0,0.0,0.0,0.0
846608dffffffff,30.0,3.0,0.0,0.0
84660a3ffffffff,1.0,0.0,0.0,0.0
8466183ffffffff,29.0,7.0,0.0,0.0
8466193ffffffff,2.0,0.0,0.0,0.0
8466195ffffffff,2.0,0.0,0.0,0.0
846619bffffffff,2.0,2.0,0.0,0.0
84661b3ffffffff,17.0,3.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0
84661bbffffffff,9.0,0.0,0.0,0.0
8466e01ffffffff,4.0,0.0,0.0,0.0
8466e0dffffffff,212.0,44.0,0.0,0.0
8466e41ffffffff,420.0,113.0,0.0,0.0
8466e45ffffffff,36.0,0.0,0.0,0.0
8466e47ffffffff,389.0,34.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0,0.0
8466e4dffffffff,1.0,0.0,0.0,0.0
8466e63ffffffff,3.0,0.0,0.0,0.0
8466e65ffffffff,348.0,23.0,0.0,0.0
8466e67ffffffff,27.0,0.0,0.0,0.0
8466e6bffffffff,12.0,2.0,0.0,0.0
8466e6dffffffff,855.0,59.0,0.0,0.0
8466f19ffffffff,2.0,0.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0,0.0
8466f53ffffffff,22.0,4.0,0.0,0.0
8466f57ffffffff,43.0,11.0,0.0,0.0
8466f59ffffffff,4.0,0.0,0.0,0.0
8466f5bffffffff,1.0,0.0,0.0,0.0
848f08bffffffff,1.0,0.0,0.0,0.0
848f093ffffffff,1.0,0.0,0.0,0.0
848f099ffffffff,94.0,0.0,9.0,0.0
848f0d1ffffffff,121.0,0.0,7.0,0.0
848f0d3ffffffff,379.0,0.0,44.0,0.0
848f0d5ffffffff,23.0,0.0,7.0,0.0
848f0d7ffffffff,2.0,0.0,0.0,0.0
848f0d9ffffffff,3.0,0.0,0.0,0.0
848f0dbffffffff,82.0,0.0,14.0,0.0
848f0ddffffffff,3.0,0.0,0.0,0.0
848f285ffffffff,4.0,0.0,1.0,0.0
848f289ffffffff,7.0,0.0,4.0,0.0
848f28dffffffff,22.0,0.0,2.0,0.0
848f291ffffffff,2.0,0.0,0.0,0.0
848f295ffffffff,14.0,0.0,0.0,0.0
848f2a1ffffffff,11.0,0.0,2.0,0.0
848f2a3ffffffff,2.0,0.0,0.0,0.0
848f2a9ffffffff,438.0,0.0,31.0,0.0
848f2abffffffff,74.0,0.0,11.0,0.0
848f2b3ffffffff,1.0,0.0,0.0,0.0
848f2b9ffffffff,49.0,0.0,7.0,0.0
848f2bbffffffff,9.0,0.0,2.0,0.0
848f2bdffffffff,224.0,0.0,22.0,0.0
848f2c1ffffffff,2.0,0.0,0.0,0.0
848f2c3ffffffff,13.0,0.0,0.0,0.0
848f2cdffffffff,40.0,0.0,0.0,0.0
848f2e3ffffffff,16.0,0.0,0.0,0.0
848f2e7ffffffff,14.0,0.0,0.0,0.0
848f2ebffffffff,1.0,0.0,0.0,0.0
848f42dffffffff,1.0,0.0,0.0,0.0
848f501ffffffff,9.0,0.0,0.0,0.0
848f509ffffffff,63.0,0.0,0.0,3.0
848f50dffffffff,74.0,0.0,0.0,0.0
848f541ffffffff,6.0,0.0,0.0,0.0
848f545ffffffff,59.0,0.0,0.0,0.0
848f547ffffffff,52.0,0.0,0.0,0.0
848f549ffffffff,44.0,0.0,0.0,13.0
848f54bffffffff,162.0,0.0,0.0,82.0
848f54dffffffff,14.0,0.0,0.0,0.0
848f553ffffffff,9.0,0.0,0.0,2.0
848f559ffffffff,294.0,0.0,0.0,128.0
848f55bffffffff,103.0,0.0,0.0,41.0
848f55dffffffff,16.0,0.0,0.0,6.0
848f569ffffffff,1.0,0.0,0.0,0.0
848f56bffffffff,1.0,0.0,0.0,0.0
848f721ffffffff,72.0,0.0,0.0,29.0
848f723ffffffff,3.0,0.0,0.0,3.0
848f725ffffffff,1.0,0.0,0.0,0.0
848f727ffffffff,12.0,0.0,0.0,2.0
848f72bffffffff,6.0,0.0,0.0,3.0
848f735ffffffff,11.0,0.0,0.0,4.0
848f737ffffffff,6.0,0.0,0.0,2.0
848f76bffffffff,3.0,0.0,0.0,0.0
