cell_id,Acanthis flammea,Acanthis flammea flammea,Acanthis flammea rostrata/islandica,Acanthis flammea cabaret,Acanthis flammea exilipes,Acanthis flammea hornemanni,Acanthis flammea flammea/rostrata/islandica,Acanthis flammea [flammea Group/cabaret],Acanthis flammea hornemanni/exilipes,Acanthis flammea [flammea Group/hornemanni/exilipes],Acanthis flammea [flammea Group x hornemanni/exilipes]
820127fffffffff,84.0,11.0,0.0,0.0,0.0,0.0,57.0,0.0,12.0,4.0,0.0
820137fffffffff,693.0,11.0,0.0,3.0,29.0,0.0,437.0,3.0,168.0,34.0,0.0
820247fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
82024ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
82025ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0
8202cffffffffff,73.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,26.0,34.0,0.0
8202dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
82041ffffffffff,104.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
8204cffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0
82058ffffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
820657fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
82068ffffffffff,18.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0
8206cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
8206d7fffffffff,78.0,0.0,39.0,0.0,0.0,0.0,35.0,0.0,4.0,0.0,0.0
8206dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
820747fffffffff,1262.0,0.0,82.0,0.0,0.0,0.0,1172.0,0.0,0.0,8.0,0.0
82074ffffffffff,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
820757fffffffff,69.0,0.0,9.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
82075ffffffffff,817.0,0.0,66.0,0.0,0.0,0.0,749.0,0.0,0.0,2.0,0.0
820767fffffffff,146.0,0.0,7.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0
820777fffffffff,398.0,0.0,75.0,0.0,0.0,0.0,320.0,0.0,0.0,3.0,0.0
820807fffffffff,32.0,0.0,0.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
820817fffffffff,131.0,8.0,0.0,6.0,0.0,0.0,107.0,5.0,4.0,1.0,0.0
82081ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
82082ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
820837fffffffff,37.0,0.0,0.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
820887fffffffff,202.0,0.0,0.0,7.0,1.0,0.0,184.0,0.0,8.0,2.0,0.0
