cell_id,Glaucidium brasilianum,Glaucidium brasilianum [brasilianum Group],Glaucidium brasilianum tucumanum
834424fffffffff,27.0,0.0,0.0
834501fffffffff,458.0,6.0,0.0
834508fffffffff,912.0,3.0,0.0
834509fffffffff,1519.0,0.0,0.0
83450afffffffff,1598.0,87.0,0.0
83450bfffffffff,796.0,0.0,0.0
83450cfffffffff,152.0,0.0,0.0
83450dfffffffff,541.0,0.0,0.0
83450efffffffff,697.0,75.0,0.0
834520fffffffff,989.0,0.0,0.0
834521fffffffff,95.0,0.0,0.0
834522fffffffff,1295.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0
834524fffffffff,1825.0,0.0,0.0
834525fffffffff,777.0,48.0,0.0
834526fffffffff,2117.0,0.0,0.0
834528fffffffff,135.0,19.0,0.0
834529fffffffff,13.0,2.0,0.0
83452afffffffff,748.0,8.0,0.0
83452bfffffffff,381.0,34.0,0.0
83452cfffffffff,332.0,5.0,0.0
83452dfffffffff,31.0,2.0,0.0
83452efffffffff,2243.0,0.0,0.0
834530fffffffff,62.0,0.0,0.0
834531fffffffff,312.0,0.0,0.0
834532fffffffff,16.0,0.0,0.0
834534fffffffff,184.0,0.0,0.0
834535fffffffff,419.0,0.0,0.0
834536fffffffff,31.0,0.0,0.0
834564fffffffff,17.0,0.0,0.0
83456dfffffffff,4.0,0.0,0.0
834572fffffffff,311.0,0.0,0.0
834574fffffffff,14.0,0.0,0.0
834576fffffffff,122.0,12.0,0.0
834802fffffffff,39.0,0.0,0.0
834806fffffffff,71.0,0.0,0.0
834809fffffffff,1.0,0.0,0.0
83480afffffffff,609.0,0.0,0.0
83480bfffffffff,2.0,0.0,0.0
83480efffffffff,28.0,0.0,0.0
834815fffffffff,23.0,0.0,0.0
83481dfffffffff,32.0,0.0,0.0
834830fffffffff,7.0,0.0,0.0
834832fffffffff,19.0,7.0,0.0
834833fffffffff,443.0,0.0,0.0
834836fffffffff,3238.0,61.0,0.0
834856fffffffff,2.0,0.0,0.0
834884fffffffff,10.0,0.0,0.0
834895fffffffff,1.0,0.0,0.0
8348a2fffffffff,707.0,0.0,0.0
8348a6fffffffff,3.0,0.0,0.0
8348b1fffffffff,3.0,0.0,0.0
8348b3fffffffff,1316.0,29.0,0.0
8348b4fffffffff,2.0,0.0,0.0
8348b5fffffffff,80.0,0.0,0.0
8348e1fffffffff,6.0,0.0,0.0
8348e5fffffffff,2.0,0.0,0.0
834980fffffffff,132.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0
834985fffffffff,9.0,0.0,0.0
834986fffffffff,76.0,0.0,0.0
83498cfffffffff,4.0,0.0,0.0
834990fffffffff,16.0,9.0,0.0
834991fffffffff,14.0,0.0,0.0
834992fffffffff,7.0,0.0,0.0
834993fffffffff,19.0,8.0,0.0
834994fffffffff,6.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0
834996fffffffff,2622.0,413.0,0.0
834998fffffffff,433.0,22.0,0.0
83499afffffffff,6.0,0.0,0.0
83499bfffffffff,56.0,4.0,0.0
83499cfffffffff,57.0,0.0,0.0
83499efffffffff,68.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,91.0,0.0,0.0
8349a3fffffffff,22.0,0.0,0.0
8349a8fffffffff,662.0,7.0,0.0
8349a9fffffffff,1054.0,46.0,0.0
8349aafffffffff,68.0,2.0,0.0
8349abfffffffff,91.0,2.0,0.0
8349adfffffffff,31.0,0.0,0.0
8349aefffffffff,12.0,1.0,0.0
8349b0fffffffff,9.0,0.0,0.0
8349b1fffffffff,5.0,0.0,0.0
8349b2fffffffff,22.0,3.0,0.0
8349b3fffffffff,670.0,0.0,0.0
8349b4fffffffff,2.0,0.0,0.0
8349b5fffffffff,111.0,0.0,0.0
8349b6fffffffff,7.0,0.0,0.0
835f03fffffffff,3.0,0.0,0.0
835f22fffffffff,13.0,0.0,0.0
835f29fffffffff,267.0,0.0,0.0
835f2bfffffffff,22.0,0.0,0.0
835f2dfffffffff,103.0,0.0,0.0
835f40fffffffff,33.0,1.0,0.0
835f41fffffffff,9.0,0.0,0.0
835f42fffffffff,12.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f48fffffffff,12.0,1.0,0.0
835f49fffffffff,21.0,0.0,0.0
835f4afffffffff,30.0,0.0,0.0
835f4bfffffffff,56.0,0.0,0.0
835f58fffffffff,984.0,0.0,0.0
835f59fffffffff,35.0,0.0,0.0
835f5bfffffffff,86.0,0.0,0.0
835f5dfffffffff,4.0,0.0,0.0
835f68fffffffff,12.0,0.0,0.0
835f71fffffffff,25.0,0.0,0.0
835f75fffffffff,4.0,0.0,0.0
836600fffffffff,7.0,0.0,0.0
836602fffffffff,209.0,0.0,0.0
836604fffffffff,49.0,0.0,0.0
836605fffffffff,4.0,0.0,0.0
836606fffffffff,57.0,0.0,0.0
836609fffffffff,4.0,0.0,0.0
