cell_id,Lanius borealis,Lanius borealis [mollis Group],Lanius borealis borealis
830c14fffffffff,8.0,0.0,0.0
830c41fffffffff,43.0,0.0,0.0
830c5afffffffff,19.0,0.0,0.0
830c73fffffffff,5.0,0.0,0.0
830c74fffffffff,6.0,0.0,5.0
830c75fffffffff,1.0,0.0,0.0
830ca4fffffffff,1.0,0.0,0.0
830ceefffffffff,4.0,0.0,0.0
830d03fffffffff,3.0,0.0,0.0
830d62fffffffff,11.0,0.0,0.0
830e45fffffffff,2.0,0.0,0.0
830e46fffffffff,2.0,0.0,0.0
830e49fffffffff,2.0,0.0,0.0
830e4dfffffffff,12.0,0.0,0.0
830e53fffffffff,2.0,0.0,0.0
830e5bfffffffff,1.0,0.0,0.0
830e6afffffffff,1.0,0.0,0.0
830e80fffffffff,1.0,0.0,0.0
830ec1fffffffff,4.0,0.0,0.0
830ecafffffffff,2.0,0.0,0.0
830eccfffffffff,12.0,0.0,7.0
830ed5fffffffff,1.0,0.0,0.0
830eeafffffffff,81.0,0.0,64.0
830eebfffffffff,10.0,0.0,0.0
830ef3fffffffff,1.0,0.0,0.0
831124fffffffff,2.0,0.0,0.0
831248fffffffff,2.0,0.0,0.0
83124dfffffffff,2.0,0.0,0.0
831251fffffffff,1.0,0.0,1.0
831252fffffffff,2.0,0.0,0.0
831289fffffffff,1.0,0.0,0.0
83128bfffffffff,9.0,0.0,0.0
8312c0fffffffff,2.0,0.0,0.0
8312c1fffffffff,3.0,0.0,0.0
8312c2fffffffff,2.0,0.0,0.0
8312cafffffffff,2.0,0.0,0.0
8312ccfffffffff,17.0,0.0,2.0
8312d3fffffffff,5.0,0.0,0.0
8312d5fffffffff,5.0,0.0,0.0
8312d9fffffffff,4.0,0.0,1.0
8312dbfffffffff,4.0,0.0,3.0
8312ddfffffffff,16.0,0.0,0.0
8312defffffffff,4.0,0.0,4.0
8312e1fffffffff,4.0,0.0,0.0
8312eafffffffff,8.0,0.0,0.0
8312ebfffffffff,2.0,0.0,0.0
8312ecfffffffff,4.0,0.0,0.0
831328fffffffff,2.0,0.0,0.0
831348fffffffff,2.0,0.0,0.0
831390fffffffff,5.0,0.0,0.0
83139efffffffff,4.0,0.0,0.0
831aa0fffffffff,9.0,0.0,0.0
831aa2fffffffff,6.0,0.0,0.0
831aa3fffffffff,13.0,0.0,0.0
831ab0fffffffff,2.0,0.0,0.0
831b82fffffffff,2.0,0.0,0.0
831b98fffffffff,1.0,0.0,0.0
831b9efffffffff,2.0,0.0,0.0
831d24fffffffff,4.0,0.0,0.0
83225afffffffff,15.0,0.0,0.0
8322dbfffffffff,11.0,0.0,0.0
832428fffffffff,4.0,0.0,0.0
83255afffffffff,2.0,0.0,0.0
83255bfffffffff,3.0,0.0,0.0
832603fffffffff,1.0,0.0,0.0
832606fffffffff,2.0,0.0,0.0
832608fffffffff,5.0,0.0,0.0
832609fffffffff,3.0,0.0,0.0
83260afffffffff,2.0,0.0,0.0
83260bfffffffff,11.0,0.0,0.0
83260dfffffffff,4.0,0.0,0.0
83261bfffffffff,2.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0
832621fffffffff,1.0,0.0,0.0
832622fffffffff,1.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0
83262bfffffffff,4.0,0.0,0.0
83262cfffffffff,8.0,0.0,0.0
832634fffffffff,3.0,0.0,0.0
832635fffffffff,2.0,0.0,0.0
832636fffffffff,2.0,0.0,0.0
832640fffffffff,15.0,0.0,2.0
832641fffffffff,2.0,0.0,0.0
832644fffffffff,6.0,0.0,0.0
832646fffffffff,68.0,0.0,0.0
832650fffffffff,3.0,0.0,0.0
832652fffffffff,19.0,0.0,0.0
832653fffffffff,11.0,0.0,2.0
832654fffffffff,4.0,0.0,0.0
832655fffffffff,182.0,0.0,0.0
832656fffffffff,27.0,0.0,0.0
832661fffffffff,1.0,0.0,0.0
832662fffffffff,27.0,0.0,0.0
832663fffffffff,7.0,0.0,0.0
832664fffffffff,8.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,1.0,0.0,0.0
832668fffffffff,8.0,0.0,0.0
83266afffffffff,2.0,0.0,0.0
83266bfffffffff,11.0,0.0,0.0
83266efffffffff,5.0,0.0,0.0
832670fffffffff,13.0,0.0,0.0
832671fffffffff,15.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832673fffffffff,10.0,0.0,0.0
832674fffffffff,1.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
832680fffffffff,3.0,0.0,0.0
832681fffffffff,54.0,0.0,0.0
832683fffffffff,2.0,0.0,0.0
832685fffffffff,15.0,0.0,0.0
832688fffffffff,15.0,0.0,0.0
832689fffffffff,4.0,0.0,0.0
83268afffffffff,13.0,0.0,0.0
83268bfffffffff,9.0,0.0,0.0
83268cfffffffff,34.0,0.0,0.0
83268dfffffffff,8.0,0.0,0.0
83268efffffffff,9.0,0.0,0.0
832690fffffffff,2.0,0.0,0.0
832692fffffffff,1.0,0.0,0.0
832694fffffffff,2.0,0.0,0.0
832695fffffffff,7.0,0.0,0.0
832696fffffffff,33.0,0.0,0.0
832698fffffffff,33.0,0.0,0.0
832699fffffffff,11.0,0.0,0.0
83269afffffffff,2.0,0.0,0.0
83269bfffffffff,7.0,0.0,0.0
