cell_id,Colibri cyanotus,Colibri cyanotus cabanidis,Colibri cyanotus cyanotus/crissalis
825f4ffffffffff,62.0,0.0,0.0
826607fffffffff,23.0,0.0,0.0
82660ffffffffff,1439.0,0.0,33.0
82661ffffffffff,3680.0,0.0,111.0
826627fffffffff,5644.0,0.0,671.0
82662ffffffffff,242.0,0.0,14.0
826657fffffffff,1.0,0.0,0.0
8266a7fffffffff,50.0,16.0,0.0
8266b7fffffffff,14373.0,263.0,0.0
8266c7fffffffff,1066.0,0.0,51.0
8266d7fffffffff,3483.0,0.0,720.0
8266dffffffffff,1224.0,0.0,289.0
8266e7fffffffff,10268.0,0.0,570.0
8266f7fffffffff,450.0,0.0,51.0
826747fffffffff,204.0,0.0,4.0
82674ffffffffff,834.0,0.0,17.0
82675ffffffffff,188.0,0.0,1.0
82679ffffffffff,17.0,0.0,0.0
826d6ffffffffff,7506.0,0.0,0.0
828b27fffffffff,49.0,0.0,0.0
828b2ffffffffff,78.0,0.0,0.0
828b67fffffffff,514.0,0.0,39.0
828b6ffffffffff,376.0,0.0,24.0
828b77fffffffff,11.0,0.0,0.0
828e67fffffffff,190.0,0.0,0.0
828e6ffffffffff,21.0,0.0,0.0
828f0ffffffffff,48.0,0.0,26.0
828f2ffffffffff,74.0,0.0,7.0
828f47fffffffff,136.0,0.0,19.0
828f4ffffffffff,17.0,0.0,0.0
828f57fffffffff,674.0,0.0,132.0
828f5ffffffffff,79.0,0.0,0.0
828f77fffffffff,589.0,0.0,81.0
82b327fffffffff,74.0,0.0,0.0
82b32ffffffffff,1.0,0.0,0.0
