cell_id,Rhynchocyclus aequinoctialis,Rhynchocyclus aequinoctialis [aequinoctialis Group],Rhynchocyclus aequinoctialis cryptus
8466099ffffffff,3.0,0.0,0.0
84660d3ffffffff,3.0,0.0,0.0
8466139ffffffff,1.0,0.0,0.0
8466163ffffffff,1.0,0.0,0.0
846619bffffffff,1.0,0.0,0.0
84661cdffffffff,9.0,0.0,0.0
8466a51ffffffff,8.0,0.0,0.0
8466a55ffffffff,1.0,0.0,0.0
8466c0dffffffff,6.0,0.0,0.0
8466dadffffffff,2.0,0.0,0.0
8466de1ffffffff,1.0,0.0,0.0
8466e11ffffffff,2.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0
8466ecbffffffff,7.0,0.0,0.0
