cell_id,Leptocoma aspasia,Leptocoma aspasia talautensis/sangirensis,Leptocoma aspasia grayi,Leptocoma aspasia porphyrolaema,Leptocoma aspasia [aspasioides Group],Leptocoma aspasia chlorolaema,Leptocoma aspasia [aspasia Group],Leptocoma aspasia [corinna Group],Leptocoma aspasia [undescribed form]
8472ae1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472ae3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472f23ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8472f35ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477981ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84779c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8495613ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8495617ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84956d3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c901ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c907ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c90dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849cb59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849cd31ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849cd3dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
