cell_id,Automolus ochrolaemus,Automolus ochrolaemus pallidigularis,Automolus ochrolaemus turdinus,Automolus ochrolaemus ochrolaemus,Automolus ochrolaemus auricularis
826617fffffffff,1.0,0.0,0.0,1.0,0.0
82661ffffffffff,92.0,0.0,0.0,0.0,0.0
8266d7fffffffff,17.0,1.0,0.0,0.0,0.0
8266dffffffffff,13.0,0.0,1.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0,0.0
8266effffffffff,27.0,0.0,0.0,0.0,0.0
8266f7fffffffff,3.0,0.0,0.0,0.0,0.0
828a07fffffffff,3.0,0.0,0.0,0.0,3.0
828b77fffffffff,1.0,1.0,0.0,0.0,0.0
828f2ffffffffff,1.0,1.0,0.0,0.0,0.0
828f77fffffffff,2.0,1.0,0.0,1.0,0.0
