cell_id,Sayornis nigricans,Sayornis nigricans [nigricans Group],Sayornis nigricans latirostris/angustirostris
832683fffffffff,3.0,0.0,0.0
832688fffffffff,805.0,0.0,0.0
832689fffffffff,3.0,0.0,0.0
83268bfffffffff,19.0,0.0,0.0
83268efffffffff,41.0,0.0,0.0
832690fffffffff,7.0,0.0,0.0
832691fffffffff,88.0,0.0,0.0
832692fffffffff,1.0,0.0,0.0
832693fffffffff,2.0,0.0,0.0
832698fffffffff,519.0,0.0,0.0
832699fffffffff,297.0,0.0,0.0
83269afffffffff,37.0,0.0,0.0
83269bfffffffff,102.0,0.0,0.0
83269cfffffffff,899.0,0.0,0.0
83269dfffffffff,69.0,0.0,0.0
83269efffffffff,121.0,0.0,0.0
8326d2fffffffff,14.0,0.0,0.0
8326d6fffffffff,14.0,0.0,0.0
832800fffffffff,775.0,0.0,0.0
832802fffffffff,14639.0,0.0,0.0
832803fffffffff,505.0,0.0,0.0
832806fffffffff,3890.0,0.0,0.0
832810fffffffff,245.0,0.0,0.0
832811fffffffff,615.0,0.0,0.0
832813fffffffff,220.0,0.0,0.0
832814fffffffff,2594.0,0.0,0.0
832815fffffffff,2734.0,0.0,0.0
832816fffffffff,213.0,0.0,0.0
832818fffffffff,1964.0,32.0,0.0
832819fffffffff,847.0,0.0,0.0
83281afffffffff,342.0,0.0,0.0
83281bfffffffff,3467.0,0.0,0.0
83281cfffffffff,2633.0,10.0,0.0
83281dfffffffff,403.0,0.0,0.0
83281efffffffff,2448.0,49.0,0.0
832830fffffffff,84972.0,1113.0,0.0
832831fffffffff,7468.0,215.0,0.0
832832fffffffff,34855.0,0.0,0.0
832833fffffffff,11403.0,0.0,0.0
832834fffffffff,94229.0,3521.0,0.0
832835fffffffff,10268.0,12.0,0.0
832836fffffffff,9932.0,13.0,0.0
8328a0fffffffff,2.0,0.0,0.0
8328a6fffffffff,1.0,0.0,0.0
8328c6fffffffff,19.0,0.0,0.0
8328f0fffffffff,3423.0,2.0,0.0
8328f1fffffffff,2335.0,0.0,0.0
8328f3fffffffff,85.0,0.0,0.0
8328f4fffffffff,5831.0,0.0,0.0
8328f5fffffffff,2148.0,0.0,0.0
832912fffffffff,19631.0,0.0,0.0
832913fffffffff,2067.0,0.0,0.0
832916fffffffff,81.0,0.0,0.0
83291afffffffff,5731.0,0.0,0.0
832980fffffffff,207.0,0.0,0.0
832981fffffffff,221.0,0.0,0.0
832982fffffffff,161.0,0.0,0.0
832984fffffffff,1214.0,0.0,0.0
832985fffffffff,859.0,0.0,0.0
832986fffffffff,4697.0,0.0,0.0
832988fffffffff,70.0,0.0,0.0
832989fffffffff,1811.0,0.0,0.0
83298bfffffffff,27.0,0.0,0.0
83298cfffffffff,4111.0,0.0,0.0
83298dfffffffff,1072.0,0.0,0.0
83298efffffffff,26.0,0.0,0.0
832990fffffffff,519.0,2.0,0.0
832991fffffffff,43.0,0.0,0.0
832992fffffffff,122.0,0.0,0.0
832993fffffffff,15.0,0.0,0.0
832994fffffffff,89.0,0.0,0.0
832995fffffffff,2232.0,0.0,0.0
832996fffffffff,64.0,2.0,0.0
83299bfffffffff,8.0,0.0,0.0
83299efffffffff,4.0,0.0,0.0
8329a0fffffffff,39886.0,1.0,0.0
8329a1fffffffff,49310.0,0.0,0.0
8329a2fffffffff,670.0,0.0,0.0
8329a3fffffffff,1760.0,0.0,0.0
8329a4fffffffff,51169.0,5.0,0.0
8329a5fffffffff,45384.0,0.0,0.0
8329a6fffffffff,12572.0,24.0,0.0
8329a8fffffffff,2683.0,0.0,0.0
8329a9fffffffff,7509.0,164.0,0.0
8329aafffffffff,1741.0,0.0,0.0
8329abfffffffff,4949.0,0.0,0.0
8329acfffffffff,5733.0,0.0,0.0
8329adfffffffff,16865.0,0.0,0.0
8329aefffffffff,4297.0,0.0,0.0
8329b0fffffffff,2032.0,0.0,0.0
8329b1fffffffff,1167.0,0.0,0.0
8329b2fffffffff,7141.0,139.0,0.0
8329b3fffffffff,43.0,0.0,0.0
8329b4fffffffff,70.0,0.0,0.0
8329b5fffffffff,1732.0,0.0,0.0
8329b6fffffffff,4616.0,334.0,0.0
834505fffffffff,2.0,0.0,0.0
834520fffffffff,78.0,0.0,0.0
834521fffffffff,39.0,0.0,0.0
834522fffffffff,357.0,10.0,0.0
834523fffffffff,22.0,0.0,0.0
834524fffffffff,401.0,28.0,0.0
834525fffffffff,158.0,10.0,0.0
834526fffffffff,909.0,7.0,0.0
834528fffffffff,2.0,0.0,0.0
83452cfffffffff,1.0,0.0,0.0
83452dfffffffff,81.0,34.0,0.0
83452efffffffff,1881.0,25.0,0.0
834530fffffffff,31.0,0.0,0.0
834531fffffffff,78.0,0.0,0.0
834532fffffffff,22.0,0.0,0.0
834534fffffffff,69.0,0.0,0.0
834535fffffffff,104.0,0.0,0.0
834536fffffffff,11.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
83456dfffffffff,3.0,0.0,0.0
834801fffffffff,23.0,0.0,0.0
834802fffffffff,112.0,0.0,0.0
834803fffffffff,7.0,0.0,0.0
834805fffffffff,251.0,0.0,0.0
834806fffffffff,36.0,0.0,0.0
834808fffffffff,17.0,0.0,0.0
834809fffffffff,427.0,0.0,0.0
83480afffffffff,927.0,0.0,0.0
83480bfffffffff,48.0,0.0,0.0
83480dfffffffff,195.0,0.0,0.0
83480efffffffff,140.0,0.0,0.0
834810fffffffff,75.0,0.0,0.0
834812fffffffff,31.0,0.0,0.0
834813fffffffff,1.0,0.0,0.0
834814fffffffff,724.0,0.0,0.0
834815fffffffff,55.0,0.0,0.0
834816fffffffff,41.0,0.0,0.0
834818fffffffff,6.0,0.0,0.0
834819fffffffff,46.0,0.0,0.0
83481afffffffff,86.0,0.0,0.0
83481bfffffffff,76.0,0.0,0.0
83481cfffffffff,2.0,0.0,0.0
83481dfffffffff,97.0,0.0,0.0
83481efffffffff,5.0,0.0,0.0
834823fffffffff,438.0,0.0,0.0
834829fffffffff,3.0,0.0,0.0
83482afffffffff,593.0,0.0,0.0
83482bfffffffff,40.0,0.0,0.0
83482efffffffff,234.0,0.0,0.0
834830fffffffff,8.0,4.0,0.0
834832fffffffff,6.0,0.0,0.0
834833fffffffff,212.0,0.0,0.0
834836fffffffff,303.0,9.0,0.0
834842fffffffff,188.0,0.0,0.0
834843fffffffff,248.0,0.0,0.0
834846fffffffff,20.0,0.0,0.0
83484afffffffff,3387.0,0.0,0.0
834851fffffffff,2.0,0.0,0.0
834852fffffffff,3.0,0.0,0.0
834853fffffffff,2.0,0.0,0.0
834854fffffffff,4.0,0.0,0.0
834855fffffffff,118.0,0.0,0.0
834856fffffffff,462.0,0.0,0.0
834858fffffffff,271.0,0.0,0.0
834859fffffffff,1387.0,0.0,0.0
83485afffffffff,435.0,0.0,0.0
83485bfffffffff,3774.0,0.0,0.0
83485cfffffffff,73.0,0.0,0.0
83485dfffffffff,373.0,0.0,0.0
83485efffffffff,85.0,0.0,0.0
834871fffffffff,56.0,0.0,0.0
834872fffffffff,352.0,0.0,0.0
834873fffffffff,310.0,0.0,0.0
834876fffffffff,2.0,0.0,0.0
834880fffffffff,1732.0,0.0,0.0
834881fffffffff,108.0,0.0,0.0
834882fffffffff,2.0,0.0,0.0
834883fffffffff,897.0,0.0,0.0
834884fffffffff,80.0,0.0,0.0
834885fffffffff,18.0,0.0,0.0
834886fffffffff,632.0,0.0,0.0
