cell_id,Hafferia immaculata,Hafferia immaculata immaculata,Hafferia immaculata concepcion
82660ffffffffff,58.0,8.0,0.0
82661ffffffffff,1183.0,40.0,0.0
82662ffffffffff,74.0,1.0,0.0
8266d7fffffffff,6.0,0.0,0.0
8266e7fffffffff,406.0,3.0,0.0
8266f7fffffffff,139.0,3.0,0.0
82675ffffffffff,23.0,0.0,0.0
