cell_id,Pionus tumultuosus,Pionus tumultuosus seniloides,Pionus tumultuosus tumultuosus
836608fffffffff,19.0,0.0,0.0
83660bfffffffff,27.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0
83660dfffffffff,7.0,2.0,0.0
836618fffffffff,133.0,6.0,0.0
836619fffffffff,43.0,0.0,0.0
83661bfffffffff,543.0,53.0,0.0
83661dfffffffff,2.0,0.0,0.0
836629fffffffff,42.0,19.0,0.0
83662bfffffffff,40.0,25.0,0.0
8366c0fffffffff,9.0,0.0,0.0
8366c2fffffffff,35.0,0.0,0.0
8366c4fffffffff,13.0,0.0,0.0
8366c6fffffffff,91.0,0.0,0.0
8366d0fffffffff,40.0,8.0,0.0
8366d1fffffffff,21.0,9.0,0.0
8366d3fffffffff,433.0,158.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366defffffffff,1411.0,510.0,0.0
8366e0fffffffff,18.0,0.0,0.0
8366e2fffffffff,88.0,0.0,0.0
8366e4fffffffff,54.0,0.0,0.0
8366e5fffffffff,58.0,0.0,0.0
8366e6fffffffff,1057.0,58.0,0.0
8366f1fffffffff,16.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0
8366f5fffffffff,184.0,0.0,0.0
83675afffffffff,20.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b2cfffffffff,32.0,0.0,0.0
838b2dfffffffff,5.0,0.0,0.0
838b61fffffffff,292.0,0.0,53.0
838b6cfffffffff,438.0,0.0,60.0
838b75fffffffff,2.0,0.0,0.0
838e61fffffffff,6.0,0.0,0.0
838e64fffffffff,57.0,0.0,1.0
838e65fffffffff,29.0,0.0,1.0
838e6cfffffffff,12.0,0.0,0.0
838f2dfffffffff,6.0,5.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f42fffffffff,77.0,14.0,0.0
838f46fffffffff,83.0,8.0,0.0
838f4afffffffff,22.0,0.0,9.0
838f54fffffffff,66.0,0.0,0.0
838f55fffffffff,206.0,44.0,0.0
838f59fffffffff,33.0,0.0,8.0
838f5cfffffffff,1.0,0.0,0.0
838f72fffffffff,129.0,45.0,0.0
838f73fffffffff,183.0,28.0,0.0
838f74fffffffff,2.0,0.0,0.0
838f76fffffffff,15.0,5.0,0.0
83b325fffffffff,36.0,0.0,0.0
