cell_id,Cyrtonyx montezumae,Cyrtonyx montezumae [montezumae Group],Cyrtonyx montezumae sallei/rowleyi
83480afffffffff,16.0,0.0,0.0
834810fffffffff,4.0,0.0,0.0
834811fffffffff,1.0,0.0,0.0
834814fffffffff,12.0,0.0,0.0
834815fffffffff,1.0,0.0,0.0
834819fffffffff,8.0,0.0,0.0
83481bfffffffff,3.0,0.0,0.0
83481cfffffffff,3.0,0.0,0.0
834832fffffffff,6.0,0.0,0.0
834833fffffffff,6.0,0.0,0.0
83488dfffffffff,12.0,0.0,0.0
83488efffffffff,6.0,0.0,0.0
8348a0fffffffff,4.0,0.0,0.0
8348a2fffffffff,31.0,0.0,0.0
8348a6fffffffff,3.0,0.0,0.0
8348b5fffffffff,1.0,0.0,0.0
8348c0fffffffff,23.0,0.0,0.0
8348c1fffffffff,52.0,0.0,0.0
8348c3fffffffff,23.0,0.0,0.0
8348c4fffffffff,1.0,0.0,0.0
8348c5fffffffff,1757.0,0.0,0.0
8348ccfffffffff,9.0,0.0,0.0
8348cefffffffff,7.0,0.0,0.0
8348d1fffffffff,6.0,0.0,0.0
8348e0fffffffff,9.0,0.0,0.0
8348e1fffffffff,13.0,0.0,0.0
8348e2fffffffff,5.0,0.0,0.0
8348e3fffffffff,134.0,0.0,0.0
8348e4fffffffff,20.0,0.0,0.0
8348e5fffffffff,2.0,0.0,0.0
8348e6fffffffff,37.0,1.0,0.0
8348e8fffffffff,1011.0,0.0,0.0
8348eafffffffff,2.0,0.0,0.0
8348ecfffffffff,1195.0,0.0,0.0
8348eefffffffff,2660.0,0.0,0.0
8348f2fffffffff,922.0,0.0,0.0
8348f5fffffffff,5.0,0.0,0.0
834982fffffffff,6.0,0.0,0.0
834983fffffffff,2.0,0.0,0.0
834988fffffffff,15.0,0.0,0.0
834989fffffffff,2.0,0.0,0.0
83498cfffffffff,1.0,0.0,0.0
83498dfffffffff,4.0,0.0,0.0
83498efffffffff,2.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0
83499bfffffffff,6.0,0.0,0.0
83499dfffffffff,1.0,0.0,0.0
8349abfffffffff,18.0,0.0,0.0
