cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
8444249ffffffff,116.0,0.0,0.0
844424dffffffff,9.0,0.0,0.0
8445011ffffffff,49.0,4.0,0.0
8445013ffffffff,10.0,0.0,0.0
8445017ffffffff,1.0,1.0,0.0
8445019ffffffff,353.0,19.0,0.0
844501bffffffff,313.0,33.0,0.0
8445053ffffffff,317.0,53.0,0.0
8445057ffffffff,126.0,3.0,0.0
8445059ffffffff,66.0,0.0,0.0
844505bffffffff,883.0,122.0,0.0
8445081ffffffff,14.0,2.0,0.0
8445083ffffffff,102.0,27.0,0.0
8445085ffffffff,299.0,103.0,0.0
8445087ffffffff,364.0,79.0,0.0
8445089ffffffff,15.0,0.0,0.0
844508dffffffff,154.0,3.0,0.0
8445091ffffffff,96.0,29.0,0.0
8445093ffffffff,108.0,41.0,0.0
8445095ffffffff,6.0,3.0,0.0
8445097ffffffff,36.0,7.0,0.0
8445099ffffffff,181.0,0.0,0.0
844509bffffffff,1212.0,422.0,0.0
844509dffffffff,1.0,0.0,0.0
84450a1ffffffff,749.0,235.0,0.0
84450a3ffffffff,332.0,72.0,0.0
84450a5ffffffff,340.0,97.0,0.0
84450a7ffffffff,333.0,43.0,0.0
84450a9ffffffff,236.0,39.0,0.0
84450abffffffff,125.0,22.0,0.0
84450adffffffff,333.0,54.0,0.0
84450b1ffffffff,665.0,161.0,0.0
84450b5ffffffff,343.0,40.0,0.0
84450b9ffffffff,53.0,6.0,0.0
84450bbffffffff,3.0,0.0,0.0
84450bdffffffff,115.0,29.0,0.0
84450c1ffffffff,57.0,4.0,0.0
84450c3ffffffff,10.0,0.0,0.0
84450c5ffffffff,155.0,49.0,0.0
84450c7ffffffff,12.0,0.0,0.0
84450c9ffffffff,11.0,0.0,0.0
84450cbffffffff,2.0,0.0,0.0
84450cdffffffff,142.0,31.0,0.0
84450d3ffffffff,95.0,42.0,0.0
84450d5ffffffff,173.0,81.0,0.0
84450d7ffffffff,13.0,0.0,0.0
84450d9ffffffff,9.0,0.0,0.0
84450dbffffffff,11.0,0.0,0.0
84450ddffffffff,16.0,13.0,0.0
84450e1ffffffff,51.0,0.0,0.0
84450e3ffffffff,783.0,106.0,0.0
84450e7ffffffff,15.0,0.0,0.0
84450ebffffffff,414.0,140.0,0.0
844519bffffffff,237.0,51.0,0.0
8445201ffffffff,4.0,0.0,0.0
8445203ffffffff,240.0,29.0,0.0
8445205ffffffff,345.0,0.0,0.0
8445207ffffffff,627.0,2.0,0.0
8445209ffffffff,128.0,0.0,0.0
844520bffffffff,70.0,3.0,0.0
844520dffffffff,279.0,0.0,0.0
8445211ffffffff,44.0,0.0,0.0
8445213ffffffff,332.0,4.0,0.0
8445215ffffffff,2795.0,141.0,0.0
8445217ffffffff,686.0,26.0,0.0
8445219ffffffff,11.0,0.0,0.0
844521bffffffff,21.0,0.0,0.0
844521dffffffff,271.0,57.0,0.0
8445221ffffffff,228.0,0.0,0.0
8445225ffffffff,1336.0,0.0,0.0
8445229ffffffff,2.0,0.0,0.0
844522bffffffff,59.0,0.0,0.0
844522dffffffff,19.0,0.0,0.0
8445231ffffffff,8.0,1.0,0.0
8445233ffffffff,1319.0,87.0,0.0
844523bffffffff,170.0,2.0,0.0
8445243ffffffff,39.0,0.0,0.0
8445247ffffffff,47.0,0.0,0.0
844524bffffffff,2.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445253ffffffff,24.0,16.0,0.0
8445255ffffffff,123.0,0.0,0.0
8445257ffffffff,115.0,14.0,0.0
8445261ffffffff,72.0,0.0,0.0
8445263ffffffff,703.0,0.0,0.0
8445265ffffffff,7.0,0.0,0.0
8445267ffffffff,14.0,0.0,0.0
8445269ffffffff,3.0,0.0,0.0
844526bffffffff,173.0,0.0,0.0
844526dffffffff,4.0,0.0,0.0
8445281ffffffff,28.0,0.0,0.0
8445283ffffffff,36.0,9.0,0.0
8445285ffffffff,52.0,13.0,0.0
8445287ffffffff,199.0,64.0,0.0
8445289ffffffff,651.0,2.0,0.0
844528bffffffff,2.0,0.0,0.0
844528dffffffff,190.0,15.0,0.0
8445291ffffffff,17.0,5.0,0.0
8445293ffffffff,2.0,0.0,0.0
8445295ffffffff,17.0,3.0,0.0
8445297ffffffff,77.0,0.0,0.0
8445299ffffffff,4.0,0.0,0.0
844529bffffffff,32.0,4.0,0.0
84452a1ffffffff,153.0,27.0,0.0
84452a3ffffffff,97.0,13.0,0.0
84452a5ffffffff,966.0,46.0,0.0
84452a7ffffffff,122.0,27.0,0.0
84452a9ffffffff,551.0,77.0,0.0
84452abffffffff,74.0,11.0,0.0
84452adffffffff,3433.0,552.0,0.0
84452b3ffffffff,13.0,5.0,0.0
84452b5ffffffff,58.0,14.0,0.0
84452b7ffffffff,4.0,1.0,0.0
84452b9ffffffff,150.0,44.0,0.0
84452bdffffffff,454.0,115.0,0.0
84452c1ffffffff,107.0,19.0,0.0
84452c3ffffffff,680.0,130.0,0.0
84452c5ffffffff,445.0,96.0,0.0
84452c7ffffffff,1294.0,108.0,0.0
84452c9ffffffff,94.0,30.0,0.0
84452cbffffffff,55.0,7.0,0.0
84452cdffffffff,16.0,0.0,0.0
84452d3ffffffff,2.0,0.0,0.0
84452d5ffffffff,19.0,0.0,0.0
84452d7ffffffff,4.0,0.0,0.0
84452d9ffffffff,143.0,70.0,0.0
84452dbffffffff,90.0,0.0,0.0
84452ddffffffff,11.0,0.0,0.0
84452e1ffffffff,6064.0,299.0,0.0
