cell_id,Melaniparus rufiventris,Melaniparus rufiventris rufiventris/masukuensis,Melaniparus rufiventris pallidiventris
828317fffffffff,4.0,0.0,0.0
828337fffffffff,6.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
8283a7fffffffff,3.0,1.0,0.0
8283affffffffff,1.0,0.0,0.0
829607fffffffff,62.0,21.0,0.0
82960ffffffffff,15.0,4.0,0.0
829617fffffffff,27.0,10.0,0.0
829627fffffffff,38.0,4.0,0.0
82962ffffffffff,10.0,4.0,0.0
829637fffffffff,28.0,0.0,0.0
829657fffffffff,4.0,2.0,0.0
82966ffffffffff,1.0,0.0,0.0
829677fffffffff,5.0,0.0,0.0
82969ffffffffff,1.0,0.0,0.0
8296a7fffffffff,15.0,0.0,0.0
8296affffffffff,3.0,0.0,0.0
8296b7fffffffff,56.0,0.0,0.0
829707fffffffff,35.0,0.0,4.0
82971ffffffffff,19.0,0.0,12.0
82974ffffffffff,11.0,5.0,0.0
829757fffffffff,2.0,0.0,0.0
82978ffffffffff,13.0,0.0,0.0
8297affffffffff,10.0,0.0,0.0
82ac97fffffffff,7.0,0.0,0.0
82ac9ffffffffff,1.0,0.0,0.0
