cell_id,Dicaeum hypoleucum,Dicaeum hypoleucum obscurum/cagayanense,Dicaeum hypoleucum pontifex,Dicaeum hypoleucum hypoleucum/mindanense
826847fffffffff,176.0,0.0,14.0,0.0
82684ffffffffff,152.0,0.0,5.0,0.0
826857fffffffff,55.0,0.0,3.0,0.0
82685ffffffffff,396.0,0.0,32.0,0.0
826867fffffffff,22.0,15.0,0.0,0.0
82686ffffffffff,28.0,0.0,0.0,0.0
8268e7fffffffff,10.0,0.0,0.0,0.0
826947fffffffff,10.0,0.0,0.0,0.0
82694ffffffffff,480.0,46.0,0.0,0.0
82695ffffffffff,2.0,0.0,0.0,0.0
82696ffffffffff,41.0,7.0,0.0,0.0
