cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
8326d1fffffffff,2.0,0.0,0.0
8326d4fffffffff,7.0,0.0,0.0
8326d6fffffffff,4.0,0.0,0.0
8326d9fffffffff,2.0,0.0,0.0
832982fffffffff,7.0,0.0,0.0
832984fffffffff,2.0,0.0,0.0
832985fffffffff,6.0,0.0,0.0
832995fffffffff,18.0,0.0,0.0
8329a0fffffffff,45.0,0.0,0.0
8329a1fffffffff,31.0,0.0,1.0
8329a2fffffffff,5.0,0.0,0.0
8329a3fffffffff,1.0,0.0,0.0
8329a4fffffffff,54.0,0.0,0.0
8329a6fffffffff,34.0,1.0,0.0
8329aefffffffff,12.0,0.0,0.0
8329b0fffffffff,62.0,0.0,0.0
8329b1fffffffff,4.0,0.0,0.0
8329b2fffffffff,1.0,0.0,0.0
8329b3fffffffff,4.0,0.0,0.0
8329b5fffffffff,18.0,0.0,0.0
8329b6fffffffff,13.0,1.0,0.0
83481efffffffff,1.0,0.0,0.0
834823fffffffff,10.0,0.0,0.0
83482afffffffff,2.0,0.0,0.0
83482efffffffff,2.0,0.0,0.0
83484afffffffff,1.0,0.0,0.0
834858fffffffff,1.0,0.0,0.0
834859fffffffff,27.0,0.0,0.0
83485bfffffffff,19.0,0.0,0.0
83485dfffffffff,2.0,0.0,0.0
834882fffffffff,4.0,0.0,0.0
83488bfffffffff,7.0,0.0,0.0
83488dfffffffff,6.0,1.0,0.0
83488efffffffff,2.0,0.0,0.0
834891fffffffff,4.0,0.0,0.0
834895fffffffff,2.0,0.0,0.0
834898fffffffff,24.0,0.0,0.0
834899fffffffff,2.0,0.0,0.0
83489cfffffffff,13.0,0.0,0.0
83489dfffffffff,4.0,2.0,0.0
8348abfffffffff,3.0,1.0,0.0
8348b1fffffffff,2.0,1.0,0.0
8348b2fffffffff,2.0,2.0,0.0
8348c5fffffffff,12.0,6.0,0.0
8348cdfffffffff,2.0,0.0,0.0
8348d2fffffffff,6.0,0.0,0.0
8348d8fffffffff,30.0,0.0,0.0
8348dafffffffff,2.0,0.0,0.0
8348dcfffffffff,20.0,0.0,0.0
8348ddfffffffff,2.0,0.0,0.0
8348defffffffff,8.0,0.0,0.0
8348e8fffffffff,152.0,94.0,0.0
8348eafffffffff,2.0,0.0,0.0
8348ebfffffffff,10.0,2.0,0.0
8348ecfffffffff,4.0,0.0,0.0
8348eefffffffff,29.0,1.0,0.0
834982fffffffff,6.0,6.0,0.0
834983fffffffff,9.0,9.0,0.0
834995fffffffff,4.0,0.0,0.0
