cell_id,Arremon brunneinucha,Arremon brunneinucha apertus,Arremon brunneinucha [brunneinucha Group]
834520fffffffff,103.0,0.0,0.0
834522fffffffff,10.0,0.0,0.0
834524fffffffff,265.0,0.0,0.0
834525fffffffff,127.0,0.0,0.0
834526fffffffff,150.0,0.0,0.0
834530fffffffff,1.0,0.0,0.0
834534fffffffff,31.0,0.0,0.0
834535fffffffff,100.0,0.0,0.0
834990fffffffff,42.0,0.0,0.0
834991fffffffff,44.0,0.0,0.0
834996fffffffff,932.0,0.0,307.0
83499cfffffffff,12.0,0.0,0.0
83499efffffffff,2.0,0.0,0.0
8349b0fffffffff,7.0,0.0,0.0
8349b1fffffffff,129.0,0.0,0.0
8349b5fffffffff,22.0,0.0,0.0
8349b6fffffffff,3.0,0.0,0.0
836601fffffffff,15.0,0.0,4.0
836608fffffffff,543.0,0.0,15.0
83660afffffffff,5.0,0.0,0.0
83660bfffffffff,130.0,0.0,0.0
83660cfffffffff,77.0,0.0,0.0
83660dfffffffff,27.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0
836612fffffffff,30.0,0.0,0.0
836613fffffffff,101.0,0.0,21.0
836618fffffffff,242.0,0.0,2.0
836619fffffffff,680.0,0.0,0.0
83661bfffffffff,2136.0,0.0,108.0
83661cfffffffff,2.0,0.0,0.0
83661dfffffffff,545.0,0.0,0.0
836621fffffffff,349.0,0.0,0.0
836629fffffffff,62.0,0.0,6.0
83662bfffffffff,20.0,0.0,1.0
83662efffffffff,3.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0
8366a0fffffffff,515.0,0.0,30.0
8366a2fffffffff,14.0,0.0,0.0
8366a5fffffffff,168.0,0.0,11.0
8366b4fffffffff,4599.0,0.0,0.0
8366b5fffffffff,1449.0,0.0,113.0
8366c0fffffffff,307.0,0.0,0.0
8366c2fffffffff,26.0,0.0,0.0
8366c4fffffffff,115.0,0.0,2.0
8366c6fffffffff,789.0,0.0,0.0
8366d0fffffffff,154.0,0.0,18.0
8366d1fffffffff,10.0,0.0,0.0
8366d2fffffffff,1.0,0.0,0.0
8366d3fffffffff,2655.0,0.0,367.0
8366d5fffffffff,71.0,0.0,0.0
8366dafffffffff,12.0,0.0,0.0
8366defffffffff,1144.0,0.0,75.0
8366e0fffffffff,527.0,0.0,14.0
8366e2fffffffff,27.0,0.0,0.0
8366e3fffffffff,17.0,0.0,0.0
8366e4fffffffff,158.0,0.0,1.0
8366e5fffffffff,101.0,0.0,0.0
8366e6fffffffff,2992.0,0.0,75.0
8366f0fffffffff,33.0,0.0,0.0
8366f1fffffffff,2956.0,0.0,62.0
8366f3fffffffff,6.0,0.0,0.0
8366f5fffffffff,728.0,0.0,0.0
836741fffffffff,355.0,0.0,4.0
836743fffffffff,37.0,0.0,2.0
83674cfffffffff,8.0,0.0,0.0
83674efffffffff,332.0,0.0,5.0
836751fffffffff,8.0,0.0,0.0
836755fffffffff,2.0,0.0,0.0
83675afffffffff,26.0,0.0,0.0
83675cfffffffff,43.0,0.0,0.0
83675efffffffff,38.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836796fffffffff,6.0,0.0,0.0
83679afffffffff,12.0,0.0,0.0
836d04fffffffff,2.0,0.0,0.0
836d05fffffffff,612.0,0.0,356.0
836d20fffffffff,18.0,0.0,0.0
836d21fffffffff,13.0,0.0,0.0
836d22fffffffff,5.0,0.0,4.0
836d23fffffffff,156.0,0.0,38.0
836d28fffffffff,759.0,0.0,66.0
836d29fffffffff,343.0,0.0,0.0
836d2afffffffff,247.0,0.0,20.0
836d2bfffffffff,612.0,0.0,0.0
836d2cfffffffff,3.0,0.0,0.0
836d2dfffffffff,502.0,0.0,0.0
836d2efffffffff,35.0,0.0,9.0
836d30fffffffff,287.0,0.0,13.0
836d32fffffffff,479.0,0.0,69.0
836d33fffffffff,486.0,0.0,160.0
836d34fffffffff,44.0,1.0,0.0
836d35fffffffff,223.0,75.0,0.0
836d36fffffffff,74.0,0.0,2.0
836d60fffffffff,19.0,0.0,0.0
836d61fffffffff,3.0,0.0,0.0
836d64fffffffff,398.0,0.0,0.0
836d65fffffffff,760.0,0.0,0.0
836d66fffffffff,99.0,0.0,0.0
836d68fffffffff,16.0,0.0,0.0
836d69fffffffff,5292.0,0.0,0.0
836d74fffffffff,23.0,0.0,0.0
836d75fffffffff,1.0,0.0,0.0
838b61fffffffff,61.0,0.0,0.0
838b6cfffffffff,336.0,0.0,2.0
838b75fffffffff,1.0,0.0,0.0
838e64fffffffff,78.0,0.0,0.0
838e65fffffffff,9.0,0.0,0.0
838e6dfffffffff,1.0,0.0,0.0
838f0dfffffffff,13.0,0.0,0.0
838f29fffffffff,5.0,0.0,0.0
838f2afffffffff,4.0,0.0,0.0
838f2bfffffffff,7.0,0.0,0.0
838f2dfffffffff,1.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f42fffffffff,28.0,0.0,0.0
838f43fffffffff,62.0,0.0,0.0
838f46fffffffff,51.0,0.0,3.0
838f4afffffffff,32.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0
838f51fffffffff,2.0,0.0,0.0
838f54fffffffff,22.0,0.0,0.0
838f55fffffffff,89.0,0.0,0.0
838f59fffffffff,8.0,0.0,0.0
838f5cfffffffff,3.0,0.0,0.0
838f5dfffffffff,23.0,0.0,0.0
838f70fffffffff,29.0,0.0,5.0
838f72fffffffff,260.0,0.0,45.0
838f73fffffffff,82.0,0.0,1.0
838f76fffffffff,20.0,0.0,3.0
