cell_id,Coeligena torquata,Coeligena torquata [torquata Group],Coeligena torquata eisenmanni
8466083ffffffff,15.0,0.0,0.0
8466087ffffffff,3.0,0.0,0.0
8466089ffffffff,34.0,0.0,0.0
846608dffffffff,8.0,0.0,0.0
84660a3ffffffff,3.0,0.0,0.0
84660b3ffffffff,46.0,0.0,0.0
84660b7ffffffff,56.0,0.0,0.0
84660b9ffffffff,17.0,0.0,0.0
84660bbffffffff,1.0,0.0,0.0
84660bdffffffff,38.0,0.0,0.0
84660c1ffffffff,6.0,0.0,0.0
84660c3ffffffff,6.0,6.0,0.0
84660cbffffffff,2.0,0.0,0.0
84660ddffffffff,87.0,0.0,0.0
8466181ffffffff,377.0,13.0,0.0
8466183ffffffff,30.0,0.0,0.0
8466187ffffffff,149.0,5.0,0.0
8466189ffffffff,4.0,0.0,0.0
846618bffffffff,114.0,4.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,40.0,0.0,0.0
8466193ffffffff,17.0,0.0,0.0
8466195ffffffff,21.0,2.0,0.0
8466197ffffffff,485.0,0.0,0.0
846619bffffffff,1.0,0.0,0.0
846619dffffffff,336.0,4.0,0.0
84661b1ffffffff,1888.0,317.0,0.0
84661b3ffffffff,60.0,0.0,0.0
84661b7ffffffff,7.0,0.0,0.0
84661b9ffffffff,57.0,0.0,0.0
84661bbffffffff,1768.0,55.0,0.0
84661bdffffffff,1.0,0.0,0.0
84661c3ffffffff,1.0,0.0,0.0
84661d1ffffffff,4.0,0.0,0.0
84661d5ffffffff,62.0,0.0,0.0
84661d7ffffffff,2.0,0.0,0.0
8466c0dffffffff,164.0,0.0,0.0
8466c21ffffffff,215.0,0.0,0.0
8466c25ffffffff,95.0,5.0,0.0
8466c29ffffffff,8.0,2.0,0.0
8466c2dffffffff,63.0,0.0,0.0
8466c41ffffffff,5.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0
8466c47ffffffff,74.0,0.0,0.0
8466c49ffffffff,2.0,0.0,0.0
8466c4bffffffff,19.0,0.0,0.0
8466c4dffffffff,11.0,0.0,0.0
8466c61ffffffff,136.0,4.0,0.0
8466c63ffffffff,59.0,0.0,0.0
8466c67ffffffff,120.0,0.0,0.0
8466c69ffffffff,45.0,0.0,0.0
8466c6bffffffff,24.0,0.0,0.0
8466c6dffffffff,6.0,0.0,0.0
8466d03ffffffff,76.0,6.0,0.0
8466d0bffffffff,5.0,0.0,0.0
8466d11ffffffff,28.0,14.0,0.0
8466d15ffffffff,1.0,0.0,0.0
8466d19ffffffff,9.0,0.0,0.0
8466d1dffffffff,20.0,0.0,0.0
8466d31ffffffff,3181.0,390.0,0.0
8466d33ffffffff,33.0,2.0,0.0
8466d35ffffffff,9.0,3.0,0.0
8466d37ffffffff,107.0,11.0,0.0
8466d39ffffffff,66.0,0.0,0.0
8466d3bffffffff,4.0,0.0,0.0
8466d3dffffffff,9.0,0.0,0.0
8466d53ffffffff,136.0,7.0,0.0
8466d59ffffffff,6.0,0.0,0.0
8466d5bffffffff,14.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0
8466de1ffffffff,2287.0,360.0,0.0
8466de5ffffffff,19.0,4.0,0.0
8466de7ffffffff,3.0,0.0,0.0
8466de9ffffffff,3.0,0.0,0.0
8466dedffffffff,2274.0,345.0,0.0
8466e01ffffffff,16.0,0.0,0.0
8466e03ffffffff,6.0,0.0,0.0
8466e07ffffffff,6.0,0.0,0.0
8466e09ffffffff,311.0,1.0,0.0
8466e0bffffffff,373.0,18.0,0.0
8466e0dffffffff,12.0,1.0,0.0
8466e2dffffffff,43.0,0.0,0.0
8466e41ffffffff,14.0,0.0,0.0
8466e43ffffffff,37.0,0.0,0.0
8466e47ffffffff,1084.0,59.0,0.0
8466e49ffffffff,3.0,0.0,0.0
8466e4bffffffff,6.0,0.0,0.0
8466e55ffffffff,152.0,6.0,0.0
8466e57ffffffff,6.0,0.0,0.0
8466e59ffffffff,3.0,0.0,0.0
8466e5dffffffff,6.0,0.0,0.0
8466e61ffffffff,329.0,10.0,0.0
8466e63ffffffff,4.0,0.0,0.0
8466e65ffffffff,880.0,35.0,0.0
8466e67ffffffff,603.0,15.0,0.0
8466e69ffffffff,29.0,0.0,0.0
8466e6bffffffff,1.0,0.0,0.0
8466e6dffffffff,4462.0,201.0,0.0
8466f0bffffffff,1.0,0.0,0.0
8466f13ffffffff,1.0,0.0,0.0
8466f15ffffffff,25.0,0.0,0.0
8466f19ffffffff,186.0,0.0,0.0
8466f1dffffffff,169.0,7.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,17.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
8466f53ffffffff,114.0,0.0,0.0
8466f57ffffffff,28.0,0.0,0.0
8466f59ffffffff,26.0,0.0,0.0
8466f5bffffffff,199.0,0.0,0.0
8466f5dffffffff,34.0,0.0,0.0
848b611ffffffff,3.0,0.0,0.0
848b617ffffffff,11.0,0.0,0.0
848b6c1ffffffff,4.0,0.0,3.0
848b6c9ffffffff,6.0,0.0,6.0
848b6cdffffffff,7.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
848e641ffffffff,16.0,0.0,0.0
848e643ffffffff,3.0,0.0,0.0
848e649ffffffff,43.0,0.0,0.0
848e64bffffffff,68.0,0.0,0.0
848e651ffffffff,93.0,0.0,0.0
848e655ffffffff,9.0,0.0,0.0
848e657ffffffff,3.0,0.0,0.0
848e6c1ffffffff,7.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848e6d9ffffffff,1.0,0.0,0.0
848f291ffffffff,16.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f29dffffffff,2.0,0.0,0.0
848f2bbffffffff,16.0,0.0,0.0
848f2d3ffffffff,55.0,2.0,0.0
848f2d5ffffffff,9.0,0.0,0.0
848f425ffffffff,4.0,0.0,0.0
848f42dffffffff,9.0,0.0,0.0
848f465ffffffff,25.0,0.0,0.0
848f467ffffffff,11.0,0.0,0.0
848f4a5ffffffff,78.0,0.0,0.0
848f4a7ffffffff,2.0,0.0,0.0
848f541ffffffff,9.0,0.0,0.0
848f54bffffffff,9.0,0.0,0.0
848f54dffffffff,14.0,0.0,0.0
848f551ffffffff,3.0,0.0,0.0
848f553ffffffff,8.0,0.0,0.0
848f559ffffffff,158.0,14.0,0.0
848f55bffffffff,7.0,0.0,0.0
848f599ffffffff,2.0,0.0,0.0
848f5c1ffffffff,2.0,0.0,0.0
848f5c9ffffffff,4.0,0.0,0.0
848f5cbffffffff,3.0,0.0,0.0
848f5d7ffffffff,1.0,0.0,0.0
848f5ddffffffff,1.0,0.0,0.0
848f705ffffffff,3.0,0.0,0.0
848f721ffffffff,935.0,135.0,0.0
848f727ffffffff,11.0,0.0,0.0
848f729ffffffff,7.0,0.0,0.0
848f72dffffffff,51.0,9.0,0.0
848f733ffffffff,814.0,90.0,0.0
848f745ffffffff,35.0,5.0,0.0
848f74dffffffff,1.0,0.0,0.0
848f761ffffffff,2.0,0.0,0.0
848f763ffffffff,4.0,0.0,0.0
848f769ffffffff,14.0,1.0,0.0
848f76bffffffff,24.0,0.0,0.0
848f76dffffffff,3.0,0.0,0.0
