cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
84209a5ffffffff,707.0,0.0,0.0
84209a7ffffffff,2.0,0.0,0.0
843c021ffffffff,2.0,0.0,0.0
843c023ffffffff,2.0,0.0,0.0
843c025ffffffff,2.0,0.0,0.0
843c02dffffffff,17.0,0.0,0.0
843c065ffffffff,13.0,0.0,0.0
843c0a5ffffffff,75.0,1.0,0.0
843c0adffffffff,3.0,0.0,0.0
843c133ffffffff,2.0,0.0,0.0
843c135ffffffff,19.0,0.0,0.0
843c137ffffffff,10.0,0.0,0.0
843c139ffffffff,19.0,0.0,0.0
843c13bffffffff,2.0,0.0,0.0
843c141ffffffff,9.0,0.0,0.0
843c149ffffffff,2.0,0.0,0.0
843c155ffffffff,6.0,0.0,0.0
843c159ffffffff,309.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0
843c165ffffffff,149.0,0.0,0.0
843c187ffffffff,2.0,0.0,0.0
843c189ffffffff,11.0,0.0,0.0
843c18bffffffff,6.0,0.0,0.0
843c191ffffffff,40.0,2.0,0.0
843c193ffffffff,20.0,0.0,0.0
843c197ffffffff,2.0,0.0,0.0
843c199ffffffff,256.0,2.0,0.0
843c19bffffffff,61.0,0.0,0.0
843c19dffffffff,20.0,0.0,0.0
843c1a3ffffffff,6.0,0.0,0.0
843c1a9ffffffff,38.0,0.0,0.0
843c1abffffffff,2.0,0.0,0.0
843c1b3ffffffff,2.0,0.0,0.0
843c1b5ffffffff,247.0,2.0,0.0
843c1b9ffffffff,15.0,0.0,0.0
843c1bdffffffff,5.0,0.0,0.0
843c1c1ffffffff,2.0,0.0,0.0
843c1c3ffffffff,341.0,0.0,0.0
843c1c7ffffffff,18.0,0.0,0.0
843c1c9ffffffff,11.0,0.0,0.0
843c1d1ffffffff,7.0,0.0,0.0
843c1d3ffffffff,29.0,0.0,0.0
843c1d5ffffffff,9.0,0.0,0.0
843c1d7ffffffff,35.0,0.0,0.0
843c1e1ffffffff,2.0,0.0,0.0
843c1e9ffffffff,61.0,0.0,0.0
843c315ffffffff,4.0,0.0,0.0
843c329ffffffff,9.0,0.0,0.0
843c32bffffffff,2.0,0.0,0.0
843c333ffffffff,16.0,0.0,0.0
843c335ffffffff,43.0,0.0,0.0
843c337ffffffff,8.0,0.0,0.0
843c33bffffffff,9.0,0.0,0.0
843c33dffffffff,19.0,0.0,0.0
843c361ffffffff,7.0,0.0,0.0
843c363ffffffff,4.0,0.0,0.0
843c367ffffffff,12.0,0.0,0.0
843c369ffffffff,51.0,0.0,0.0
843c36bffffffff,27.0,0.0,0.0
843c525ffffffff,13.0,0.0,0.0
843c801ffffffff,32.0,0.0,0.0
843c803ffffffff,2.0,0.0,0.0
843c805ffffffff,72.0,0.0,0.0
843c807ffffffff,9.0,0.0,0.0
843c809ffffffff,9.0,0.0,0.0
843c80bffffffff,1.0,0.0,0.0
843c80dffffffff,36.0,0.0,0.0
843c823ffffffff,4.0,0.0,0.0
843c82dffffffff,2.0,0.0,0.0
843c831ffffffff,4.0,0.0,0.0
843c837ffffffff,3.0,0.0,0.0
843c839ffffffff,96.0,0.0,0.0
843c83bffffffff,9.0,0.0,0.0
843c843ffffffff,6.0,0.0,0.0
843c84dffffffff,3.0,0.0,0.0
843c855ffffffff,2.0,0.0,0.0
843c885ffffffff,115.0,0.0,0.0
843c889ffffffff,18.0,0.0,0.0
843c88bffffffff,9.0,0.0,0.0
843c899ffffffff,352.0,2.0,0.0
843c89bffffffff,2.0,0.0,0.0
843c8a9ffffffff,8.0,0.0,0.0
843c8adffffffff,8.0,0.0,0.0
843c8c1ffffffff,13.0,0.0,0.0
843c8c3ffffffff,16.0,0.0,0.0
843c8c5ffffffff,2.0,0.0,0.0
843c8c7ffffffff,116.0,0.0,0.0
843c8c9ffffffff,18.0,0.0,0.0
843c8cbffffffff,98.0,0.0,0.0
843c8d1ffffffff,2.0,0.0,0.0
843c8d3ffffffff,20.0,0.0,0.0
843c8d5ffffffff,30.0,0.0,0.0
843c8d7ffffffff,83.0,6.0,0.0
843c8d9ffffffff,138.0,0.0,0.0
843c8dbffffffff,189.0,0.0,0.0
843c8ddffffffff,4.0,0.0,0.0
843c8e1ffffffff,29.0,0.0,0.0
843c8e3ffffffff,21.0,0.0,0.0
843c8e5ffffffff,756.0,0.0,0.0
843c8e7ffffffff,156.0,0.0,0.0
843c8ebffffffff,6.0,0.0,0.0
843c8edffffffff,216.0,0.0,0.0
843c903ffffffff,2.0,0.0,0.0
843c905ffffffff,5.0,0.0,0.0
843c909ffffffff,196.0,0.0,0.0
843c90bffffffff,6.0,0.0,0.0
843c915ffffffff,25.0,0.0,0.0
843c91dffffffff,4.0,0.0,0.0
843c921ffffffff,4.0,0.0,0.0
843c925ffffffff,3.0,0.0,0.0
843c927ffffffff,14.0,0.0,0.0
843c929ffffffff,4.0,0.0,0.0
843c92bffffffff,10.0,0.0,0.0
843c92dffffffff,55.0,0.0,0.0
843c931ffffffff,92.0,0.0,0.0
843c939ffffffff,3.0,0.0,0.0
843c93bffffffff,11.0,0.0,0.0
843c941ffffffff,7.0,0.0,0.0
843c943ffffffff,99.0,0.0,0.0
843c945ffffffff,19.0,0.0,0.0
843c947ffffffff,65.0,0.0,0.0
843c94bffffffff,4.0,0.0,0.0
843c94dffffffff,5.0,0.0,0.0
843c951ffffffff,3.0,0.0,0.0
843c953ffffffff,3.0,0.0,0.0
843c959ffffffff,14.0,0.0,0.0
843c95bffffffff,6.0,0.0,0.0
843c965ffffffff,2.0,0.0,0.0
843c967ffffffff,51.0,0.0,0.0
843c9c1ffffffff,10.0,0.0,0.0
843c9c3ffffffff,4.0,0.0,0.0
843c9d9ffffffff,48.0,0.0,0.0
843c9dbffffffff,7.0,0.0,0.0
843c9ddffffffff,6.0,0.0,0.0
843c9e9ffffffff,4.0,0.0,0.0
843ca01ffffffff,3.0,0.0,0.0
843ca03ffffffff,4.0,0.0,0.0
843ca05ffffffff,1.0,0.0,0.0
843ca09ffffffff,1.0,0.0,0.0
843ca15ffffffff,2.0,0.0,0.0
843ca21ffffffff,23.0,0.0,0.0
843ca23ffffffff,2.0,0.0,0.0
843ca25ffffffff,178.0,0.0,0.0
843ca2dffffffff,8.0,0.0,0.0
843ca31ffffffff,2.0,0.0,0.0
843ca33ffffffff,11.0,0.0,0.0
843ca39ffffffff,2.0,0.0,0.0
843ca3bffffffff,8.0,0.0,0.0
843ca41ffffffff,10.0,0.0,0.0
843ca45ffffffff,48.0,0.0,0.0
843ca47ffffffff,62.0,0.0,0.0
843ca49ffffffff,2.0,0.0,0.0
843ca4bffffffff,2.0,0.0,0.0
843ca4dffffffff,1.0,0.0,0.0
843ca51ffffffff,2.0,0.0,0.0
843ca59ffffffff,2.0,0.0,0.0
843ca5bffffffff,2.0,0.0,0.0
843ca5dffffffff,6.0,0.0,0.0
843ca65ffffffff,2.0,0.0,0.0
843ca67ffffffff,5.0,0.0,0.0
843ca69ffffffff,11.0,0.0,0.0
843ca85ffffffff,24.0,0.0,0.0
843ca87ffffffff,102.0,0.0,0.0
843ca8bffffffff,24.0,0.0,0.0
843ca8dffffffff,5.0,0.0,0.0
843ca91ffffffff,27.0,0.0,0.0
843ca93ffffffff,29.0,0.0,0.0
843ca95ffffffff,37.0,0.0,0.0
843ca97ffffffff,383.0,4.0,0.0
843ca9dffffffff,77.0,0.0,0.0
843cab1ffffffff,90.0,0.0,0.0
843cab5ffffffff,2.0,0.0,0.0
843cab7ffffffff,41.0,0.0,0.0
843cab9ffffffff,70.0,0.0,0.0
843cabbffffffff,21.0,0.0,0.0
843cabdffffffff,8.0,0.0,0.0
843cac1ffffffff,2.0,0.0,0.0
843cac3ffffffff,94.0,0.0,0.0
843cacbffffffff,5.0,0.0,0.0
843cad3ffffffff,12.0,0.0,0.0
843cadbffffffff,3.0,0.0,0.0
843caddffffffff,57.0,0.0,0.0
843cae5ffffffff,2.0,0.0,0.0
843cb01ffffffff,4.0,0.0,0.0
843cb03ffffffff,11.0,0.0,0.0
843cb07ffffffff,4.0,0.0,0.0
843cb09ffffffff,15.0,0.0,0.0
843cb0bffffffff,17.0,0.0,0.0
843cb0dffffffff,13.0,0.0,0.0
843cb11ffffffff,104.0,0.0,0.0
843cb13ffffffff,91.0,0.0,0.0
843cb15ffffffff,55.0,0.0,0.0
843cb17ffffffff,9.0,0.0,0.0
843cb19ffffffff,24.0,0.0,0.0
843cb1bffffffff,2.0,0.0,0.0
843cb1dffffffff,183.0,0.0,0.0
843cb23ffffffff,13.0,0.0,0.0
843cb29ffffffff,2.0,0.0,0.0
843cb2bffffffff,1.0,0.0,0.0
843cb35ffffffff,10.0,0.0,0.0
843cb39ffffffff,99.0,0.0,0.0
843cb3bffffffff,21.0,0.0,0.0
