cell_id,Glareola nuchalis,Glareola nuchalis liberiae,Glareola nuchalis nuchalis
8454e21ffffffff,8.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4d9ffffffff,5.0,0.0,2.0
847b6bbffffffff,1.0,0.0,0.0
8482aadffffffff,4.0,0.0,0.0
8482d37ffffffff,2.0,0.0,2.0
84974abffffffff,85.0,0.0,4.0
84974b9ffffffff,7.0,0.0,0.0
84974bbffffffff,2.0,0.0,0.0
84974bdffffffff,5.0,0.0,0.0
8497513ffffffff,14.0,0.0,1.0
8497515ffffffff,3.0,0.0,0.0
84ac961ffffffff,4.0,0.0,0.0
84ac969ffffffff,2.0,0.0,0.0
84bce65ffffffff,3.0,0.0,0.0
