cell_id,Cichlopsis leucogenys,Cichlopsis leucogenys chubbi,Cichlopsis leucogenys peruviana,Cichlopsis leucogenys gularis,Cichlopsis leucogenys leucogenys
845f00bffffffff,4.0,0.0,0.0,0.0,0.0
845f711ffffffff,62.0,0.0,0.0,6.0,0.0
845f713ffffffff,1.0,0.0,0.0,0.0,0.0
845f755ffffffff,5.0,0.0,0.0,0.0,0.0
845f75dffffffff,1.0,0.0,0.0,0.0,0.0
8466d07ffffffff,1.0,0.0,0.0,0.0,0.0
8466d0bffffffff,334.0,0.0,0.0,0.0,0.0
8466d31ffffffff,20.0,0.0,0.0,0.0,0.0
8466d35ffffffff,2.0,0.0,0.0,0.0,0.0
8466d55ffffffff,1.0,0.0,0.0,0.0,0.0
8481307ffffffff,11.0,0.0,0.0,0.0,0.0
8481329ffffffff,1.0,0.0,0.0,0.0,0.0
8481339ffffffff,18.0,0.0,0.0,0.0,0.0
8481363ffffffff,203.0,0.0,0.0,0.0,26.0
8481ad1ffffffff,3.0,0.0,0.0,0.0,0.0
84a5969ffffffff,1.0,0.0,0.0,0.0,0.0
84a8919ffffffff,24.0,0.0,0.0,0.0,0.0
