cell_id,Pyrrhura roseifrons,Pyrrhura roseifrons peruviana/dilutissima,Pyrrhura roseifrons parvifrons,Pyrrhura roseifrons roseifrons
848a459ffffffff,51.0,0.0,0.0,5.0
848a553ffffffff,1.0,0.0,0.0,0.0
848a6d9ffffffff,54.0,0.0,0.0,1.0
848a6dbffffffff,1.0,0.0,0.0,0.0
848a6e5ffffffff,3.0,0.0,0.0,0.0
848b401ffffffff,1.0,0.0,0.0,1.0
848b407ffffffff,1.0,0.0,0.0,0.0
848b445ffffffff,2.0,0.0,0.0,1.0
848b447ffffffff,1.0,0.0,0.0,0.0
848b449ffffffff,1.0,0.0,0.0,0.0
848b44bffffffff,28.0,0.0,0.0,1.0
848b44dffffffff,15.0,0.0,0.0,2.0
848b459ffffffff,17.0,0.0,0.0,2.0
848b469ffffffff,1.0,0.0,0.0,1.0
848b481ffffffff,1.0,0.0,0.0,0.0
848b483ffffffff,4.0,0.0,0.0,0.0
848b5d3ffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,4.0,0.0,0.0,0.0
848b627ffffffff,2.0,0.0,0.0,0.0
848b62bffffffff,2.0,0.0,0.0,0.0
848b633ffffffff,4.0,0.0,0.0,4.0
848b635ffffffff,10.0,0.0,0.0,0.0
848b637ffffffff,172.0,0.0,0.0,15.0
848b63bffffffff,1.0,0.0,0.0,0.0
848b693ffffffff,9.0,0.0,0.0,0.0
848b6c3ffffffff,6.0,0.0,0.0,0.0
848b6c7ffffffff,1.0,0.0,0.0,0.0
848b6dbffffffff,1.0,0.0,0.0,0.0
848b6e1ffffffff,1.0,0.0,0.0,0.0
848b6e5ffffffff,19.0,0.0,0.0,3.0
848b6e7ffffffff,64.0,0.0,0.0,5.0
848b6edffffffff,7.0,0.0,0.0,3.0
848b709ffffffff,96.0,0.0,0.0,4.0
848b70bffffffff,2.0,0.0,0.0,2.0
848b713ffffffff,12.0,0.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0,0.0
848b747ffffffff,1.0,0.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0,0.0
848e659ffffffff,2.0,2.0,0.0,0.0
848e65bffffffff,1.0,1.0,0.0,0.0
848f401ffffffff,59.0,0.0,24.0,0.0
848f403ffffffff,1.0,0.0,0.0,0.0
848f423ffffffff,1.0,0.0,0.0,0.0
848f439ffffffff,78.0,0.0,11.0,0.0
848f481ffffffff,2.0,0.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0,0.0
848f48dffffffff,3.0,0.0,0.0,0.0
848f4a5ffffffff,5.0,0.0,0.0,0.0
848f4adffffffff,6.0,0.0,0.0,0.0
848f4b3ffffffff,1.0,0.0,0.0,0.0
848f4c1ffffffff,1.0,0.0,0.0,0.0
848f4c5ffffffff,1.0,0.0,0.0,0.0
848f4d9ffffffff,1.0,0.0,0.0,0.0
848f5d3ffffffff,6.0,0.0,0.0,0.0
848f5d9ffffffff,3.0,0.0,0.0,0.0
848f613ffffffff,3.0,0.0,0.0,0.0
848f617ffffffff,1.0,0.0,0.0,0.0
848f61bffffffff,5.0,0.0,0.0,0.0
848f633ffffffff,1.0,0.0,0.0,1.0
848f6b5ffffffff,10.0,0.0,0.0,0.0
848f6e9ffffffff,1.0,0.0,0.0,1.0
848f71dffffffff,2.0,0.0,0.0,0.0
848f739ffffffff,1.0,1.0,0.0,0.0
848f73dffffffff,2.0,0.0,0.0,0.0
