cell_id,Dacnis lineata,Dacnis lineata egregia/aequatorialis,Dacnis lineata lineata
835f42fffffffff,7.0,0.0,0.0
836611fffffffff,2.0,2.0,0.0
836619fffffffff,4.0,4.0,0.0
83661cfffffffff,31.0,4.0,0.0
83661dfffffffff,5.0,5.0,0.0
836629fffffffff,3.0,0.0,0.0
8366c2fffffffff,3.0,0.0,2.0
8366d0fffffffff,56.0,29.0,0.0
8366d1fffffffff,3.0,0.0,3.0
8366d3fffffffff,22.0,11.0,0.0
8366defffffffff,6.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e6fffffffff,5.0,0.0,0.0
8366ecfffffffff,3.0,0.0,0.0
83806bfffffffff,2.0,0.0,0.0
838a05fffffffff,1.0,0.0,1.0
838b5cfffffffff,2.0,0.0,2.0
838b61fffffffff,7.0,0.0,7.0
838b63fffffffff,6.0,0.0,6.0
838f0dfffffffff,4.0,3.0,0.0
838f70fffffffff,1.0,0.0,0.0
