cell_id,Dysithamnus leucostictus,Dysithamnus leucostictus leucostictus,Dysithamnus leucostictus tucuyensis
8366c0fffffffff,29.0,0.0,0.0
8366c2fffffffff,12.0,0.0,0.0
8366defffffffff,6.0,2.0,0.0
8366e0fffffffff,3.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0
8366e5fffffffff,6.0,4.0,0.0
836743fffffffff,1.0,0.0,1.0
83674efffffffff,3.0,0.0,0.0
838f70fffffffff,4.0,1.0,0.0
838f72fffffffff,5.0,2.0,0.0
