cell_id,Corypha africana,Corypha africana [africana Group],Corypha africana tropicalis
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,4.0,2.0,0.0
836ac2fffffffff,2.0,0.0,0.0
836ac3fffffffff,450.0,50.0,0.0
836ac8fffffffff,56.0,11.0,0.0
836accfffffffff,6.0,0.0,0.0
836acdfffffffff,3.0,2.0,0.0
836acefffffffff,11.0,0.0,0.0
836ad8fffffffff,20.0,0.0,0.0
836adcfffffffff,104.0,2.0,0.0
836addfffffffff,14.0,0.0,0.0
836adefffffffff,3.0,0.0,0.0
836ae8fffffffff,2.0,2.0,0.0
836aeafffffffff,5.0,0.0,0.0
836aeefffffffff,13.0,0.0,0.0
837a4cfffffffff,1.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0
837a68fffffffff,1071.0,0.0,0.0
837a69fffffffff,7.0,0.0,0.0
837a6bfffffffff,13.0,0.0,0.0
837a6cfffffffff,5.0,0.0,0.0
837a6dfffffffff,726.0,0.0,0.0
838326fffffffff,14.0,8.0,0.0
839602fffffffff,1.0,0.0,0.0
839609fffffffff,3.0,0.0,0.0
839621fffffffff,1.0,0.0,0.0
839623fffffffff,12.0,0.0,0.0
839624fffffffff,6.0,0.0,0.0
839628fffffffff,1.0,1.0,0.0
83962bfffffffff,4.0,0.0,0.0
83962cfffffffff,31.0,12.0,0.0
83962efffffffff,12.0,6.0,0.0
839673fffffffff,1.0,0.0,0.0
839675fffffffff,17.0,0.0,0.0
839686fffffffff,3.0,0.0,0.0
839693fffffffff,589.0,0.0,0.0
83969afffffffff,40.0,0.0,0.0
83969efffffffff,3.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0
839703fffffffff,2.0,0.0,0.0
839708fffffffff,1.0,0.0,0.0
83970afffffffff,9.0,0.0,0.0
83970cfffffffff,7.0,1.0,0.0
83970dfffffffff,1.0,0.0,0.0
839719fffffffff,36.0,0.0,0.0
83971cfffffffff,3.0,0.0,0.0
83971dfffffffff,4.0,0.0,0.0
839724fffffffff,2.0,0.0,0.0
839728fffffffff,2.0,0.0,0.0
839729fffffffff,12.0,0.0,0.0
83972cfffffffff,41.0,0.0,0.0
83972dfffffffff,13.0,0.0,0.0
83972efffffffff,2.0,0.0,0.0
839731fffffffff,2.0,0.0,0.0
839735fffffffff,3.0,0.0,0.0
839740fffffffff,38.0,0.0,0.0
839741fffffffff,25.0,0.0,0.0
839743fffffffff,88.0,2.0,0.0
839744fffffffff,3.0,1.0,0.0
839745fffffffff,56.0,2.0,0.0
839746fffffffff,10.0,0.0,0.0
83974afffffffff,71.0,17.0,0.0
83974efffffffff,102.0,30.0,0.0
839750fffffffff,57.0,0.0,0.0
839751fffffffff,5.0,0.0,0.0
839753fffffffff,3.0,3.0,0.0
839754fffffffff,40.0,0.0,0.0
839755fffffffff,12.0,0.0,0.0
839758fffffffff,5.0,0.0,0.0
83975cfffffffff,11.0,0.0,0.0
83975dfffffffff,28.0,0.0,0.0
83975efffffffff,2.0,0.0,0.0
839763fffffffff,4.0,0.0,0.0
839772fffffffff,1.0,0.0,0.0
839773fffffffff,14.0,0.0,0.0
839775fffffffff,7.0,0.0,0.0
83978efffffffff,1.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
83ac80fffffffff,45.0,7.0,0.0
83ac81fffffffff,18.0,0.0,0.0
83ac82fffffffff,20.0,5.0,0.0
83ac84fffffffff,2.0,0.0,0.0
83ac86fffffffff,70.0,0.0,0.0
83ac96fffffffff,3.0,2.0,0.0
83aca0fffffffff,2.0,0.0,0.0
83aca2fffffffff,2.0,0.0,0.0
83aca6fffffffff,5.0,0.0,0.0
83acb1fffffffff,4.0,0.0,0.0
83acb3fffffffff,4.0,0.0,0.0
83ad9bfffffffff,4.0,0.0,0.0
83ada2fffffffff,2.0,0.0,0.0
83adacfffffffff,1.0,1.0,0.0
83bc09fffffffff,1.0,0.0,0.0
83bc19fffffffff,6.0,4.0,0.0
83bc1bfffffffff,2.0,0.0,0.0
83bc46fffffffff,6.0,0.0,0.0
83bc53fffffffff,2.0,0.0,0.0
83bc54fffffffff,1.0,1.0,0.0
83bc55fffffffff,1.0,0.0,0.0
83bc56fffffffff,1.0,0.0,0.0
83bc71fffffffff,22.0,0.0,0.0
83bc72fffffffff,5.0,0.0,0.0
83bc73fffffffff,44.0,2.0,0.0
83bc89fffffffff,70.0,22.0,0.0
83bc99fffffffff,3.0,0.0,0.0
83bcc0fffffffff,9.0,5.0,0.0
83bcc1fffffffff,17.0,8.0,0.0
83bcc2fffffffff,59.0,19.0,0.0
83bcc3fffffffff,177.0,28.0,0.0
83bcc4fffffffff,2.0,0.0,0.0
83bcc5fffffffff,6.0,2.0,0.0
83bcc6fffffffff,35.0,11.0,0.0
83bccafffffffff,13.0,0.0,0.0
83bcccfffffffff,5.0,0.0,0.0
83bccefffffffff,3.0,2.0,0.0
83bcd0fffffffff,88.0,14.0,0.0
83bcd1fffffffff,82.0,9.0,0.0
83bcd2fffffffff,211.0,41.0,0.0
83bcd3fffffffff,16.0,0.0,0.0
83bcd4fffffffff,36.0,0.0,0.0
83bcd5fffffffff,10.0,4.0,0.0
83bcd6fffffffff,55.0,11.0,0.0
83bcd8fffffffff,9.0,0.0,0.0
83bcd9fffffffff,18.0,14.0,0.0
83bcdafffffffff,1.0,0.0,0.0
83bcdcfffffffff,314.0,46.0,0.0
83bcddfffffffff,85.0,10.0,0.0
83bcdefffffffff,106.0,0.0,0.0
83bce2fffffffff,24.0,1.0,0.0
83bce6fffffffff,37.0,17.0,0.0
83bce8fffffffff,20.0,4.0,0.0
83bce9fffffffff,47.0,10.0,0.0
83bceafffffffff,6.0,0.0,0.0
83bcf0fffffffff,40.0,6.0,0.0
83bcf1fffffffff,22.0,0.0,0.0
83bcf2fffffffff,335.0,55.0,0.0
83bcf3fffffffff,143.0,60.0,0.0
83bcf4fffffffff,28.0,6.0,0.0
83bcf5fffffffff,243.0,99.0,0.0
83bcf6fffffffff,294.0,56.0,0.0
