cell_id,Platycercus elegans,Platycercus elegans [elegans Group],Platycercus elegans flaveolus,Platycercus elegans adelaidae/subadelaidae,Platycercus elegans [elegans Group] x flaveolus
849c05dffffffff,1.0,0.0,0.0,0.0,0.0
849c211ffffffff,1.0,0.0,0.0,0.0,0.0
849c215ffffffff,122.0,14.0,0.0,0.0,0.0
849c231ffffffff,6.0,0.0,0.0,0.0,0.0
849c233ffffffff,1.0,0.0,0.0,0.0,0.0
849c237ffffffff,14.0,0.0,0.0,0.0,0.0
849c239ffffffff,38.0,12.0,0.0,0.0,0.0
849c23bffffffff,2.0,0.0,0.0,0.0,0.0
849c251ffffffff,1.0,0.0,0.0,0.0,0.0
849c259ffffffff,76.0,5.0,0.0,0.0,0.0
849d0c1ffffffff,3.0,1.0,0.0,0.0,0.0
849d0c5ffffffff,22.0,1.0,0.0,0.0,0.0
849d0cdffffffff,64.0,7.0,0.0,0.0,0.0
84b9125ffffffff,18.0,0.0,0.0,11.0,0.0
84b9141ffffffff,2.0,0.0,0.0,0.0,0.0
84b9143ffffffff,1.0,0.0,0.0,0.0,0.0
84b9145ffffffff,56.0,0.0,0.0,16.0,0.0
84b914bffffffff,19.0,3.0,0.0,0.0,0.0
84b914dffffffff,125.0,0.0,0.0,38.0,0.0
84b9151ffffffff,11.0,0.0,0.0,0.0,0.0
84b9159ffffffff,39.0,3.0,0.0,0.0,0.0
84b915dffffffff,23.0,0.0,0.0,0.0,0.0
84b9161ffffffff,88.0,0.0,0.0,43.0,0.0
84b9165ffffffff,16.0,0.0,0.0,6.0,0.0
84b9167ffffffff,10.0,0.0,0.0,2.0,0.0
84b9169ffffffff,949.0,0.0,0.0,523.0,0.0
84b916dffffffff,167.0,0.0,0.0,82.0,0.0
84b9337ffffffff,5.0,0.0,0.0,0.0,0.0
84b9a11ffffffff,4.0,0.0,0.0,0.0,0.0
84b9a13ffffffff,1.0,0.0,0.0,1.0,0.0
84b9a17ffffffff,3.0,0.0,0.0,3.0,0.0
84b9a19ffffffff,2.0,0.0,0.0,0.0,0.0
84b9a1bffffffff,43.0,0.0,0.0,22.0,0.0
84b9a1dffffffff,2.0,0.0,0.0,0.0,0.0
84b9a49ffffffff,4.0,0.0,2.0,0.0,0.0
84b9a4bffffffff,3.0,0.0,2.0,0.0,0.0
84b9a59ffffffff,11.0,0.0,0.0,7.0,0.0
84b9a5bffffffff,49.0,0.0,0.0,31.0,0.0
84ba69dffffffff,314.0,0.0,0.0,0.0,0.0
84be081ffffffff,42.0,4.0,0.0,0.0,0.0
84be083ffffffff,31.0,1.0,0.0,0.0,0.0
84be085ffffffff,718.0,359.0,0.0,0.0,0.0
84be087ffffffff,1324.0,269.0,0.0,0.0,0.0
84be089ffffffff,4990.0,452.0,0.0,0.0,0.0
84be08bffffffff,136.0,32.0,0.0,0.0,0.0
84be08dffffffff,1619.0,161.0,0.0,0.0,0.0
84be091ffffffff,7.0,2.0,0.0,0.0,0.0
84be093ffffffff,6.0,0.0,0.0,0.0,0.0
84be095ffffffff,16.0,4.0,0.0,0.0,0.0
84be097ffffffff,31.0,2.0,0.0,0.0,0.0
84be099ffffffff,156.0,8.0,0.0,0.0,0.0
84be09bffffffff,42.0,18.0,0.0,0.0,0.0
84be09dffffffff,20.0,0.0,0.0,0.0,0.0
84be0a1ffffffff,4.0,0.0,0.0,0.0,0.0
84be0a3ffffffff,123.0,18.0,0.0,0.0,0.0
84be0a5ffffffff,9.0,0.0,0.0,0.0,0.0
84be0a7ffffffff,2.0,1.0,0.0,0.0,0.0
84be0a9ffffffff,63.0,10.0,0.0,0.0,0.0
84be0abffffffff,27.0,3.0,0.0,0.0,0.0
84be0adffffffff,53.0,0.0,0.0,0.0,0.0
84be0b1ffffffff,11.0,0.0,0.0,0.0,0.0
84be0b3ffffffff,126.0,23.0,0.0,0.0,0.0
84be0b5ffffffff,5.0,0.0,0.0,0.0,0.0
84be0b7ffffffff,4.0,2.0,0.0,0.0,0.0
84be0b9ffffffff,54.0,9.0,0.0,0.0,0.0
84be0bbffffffff,132.0,34.0,0.0,0.0,0.0
84be0bdffffffff,461.0,80.0,0.0,0.0,0.0
84be0c3ffffffff,3181.0,963.0,0.0,0.0,0.0
84be0c7ffffffff,52.0,1.0,0.0,0.0,0.0
84be0d1ffffffff,73.0,3.0,0.0,0.0,0.0
84be0d3ffffffff,946.0,38.0,0.0,0.0,0.0
84be0d5ffffffff,573.0,314.0,0.0,0.0,0.0
84be0d7ffffffff,94.0,6.0,0.0,0.0,0.0
