cell_id,Turdoides sharpei,Turdoides sharpei sharpei,Turdoides sharpei vepres
836ac1fffffffff,26.0,2.0,0.0
836ac3fffffffff,449.0,45.0,0.0
836ac8fffffffff,10.0,0.0,0.0
836ac9fffffffff,23.0,0.0,0.0
836accfffffffff,3.0,0.0,0.0
836acefffffffff,258.0,27.0,0.0
836ad8fffffffff,150.0,0.0,0.0
836ad9fffffffff,6.0,0.0,0.0
836adcfffffffff,136.0,5.0,0.0
836addfffffffff,48.0,2.0,0.0
836adefffffffff,9.0,0.0,0.0
836ae1fffffffff,2.0,2.0,0.0
836ae8fffffffff,2.0,0.0,0.0
836aeafffffffff,8.0,0.0,0.0
836aebfffffffff,6.0,4.0,0.0
837a40fffffffff,8.0,0.0,4.0
837a41fffffffff,36.0,0.0,16.0
837a45fffffffff,6.0,0.0,2.0
837a48fffffffff,1.0,0.0,0.0
837a4cfffffffff,2.0,0.0,0.0
837a4dfffffffff,18.0,0.0,0.0
837a68fffffffff,183.0,19.0,0.0
837a69fffffffff,1.0,0.0,0.0
837a6afffffffff,247.0,0.0,0.0
837a6bfffffffff,25.0,0.0,0.0
837a6dfffffffff,420.0,26.0,0.0
837a6efffffffff,1.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
839690fffffffff,23.0,3.0,0.0
839692fffffffff,9.0,0.0,0.0
839693fffffffff,196.0,26.0,0.0
83969afffffffff,16.0,0.0,0.0
83969efffffffff,3.0,0.0,0.0
8396a2fffffffff,4.0,0.0,0.0
8396a3fffffffff,2.0,0.0,0.0
8396b6fffffffff,1.0,0.0,0.0
