cell_id,Milvus milvus,Milvus milvus milvus,Milvus milvus fasciicauda
820887fffffffff,14.0,3.0,0.0
820897fffffffff,25.0,12.0,0.0
8208b7fffffffff,43.0,8.0,0.0
82099ffffffffff,1.0,0.0,0.0
82182ffffffffff,277.0,10.0,0.0
821847fffffffff,5.0,0.0,0.0
82184ffffffffff,3468.0,19.0,0.0
82185ffffffffff,37.0,0.0,0.0
82186ffffffffff,21.0,1.0,0.0
821877fffffffff,18.0,0.0,0.0
82190ffffffffff,304.0,55.0,0.0
82192ffffffffff,75.0,38.0,0.0
821947fffffffff,3279.0,524.0,0.0
82194ffffffffff,1925.0,46.0,0.0
821957fffffffff,154.0,11.0,0.0
82195ffffffffff,5227.0,366.0,0.0
82196ffffffffff,31.0,0.0,0.0
821977fffffffff,86.0,6.0,0.0
821e07fffffffff,1199.0,53.0,0.0
821e0ffffffffff,7.0,0.0,0.0
821e17fffffffff,42.0,0.0,0.0
821e1ffffffffff,6.0,0.0,0.0
821e27fffffffff,159.0,5.0,0.0
821e2ffffffffff,2.0,0.0,0.0
821e37fffffffff,1274.0,12.0,0.0
821e87fffffffff,81.0,4.0,0.0
821e8ffffffffff,14.0,0.0,0.0
821e9ffffffffff,3.0,0.0,0.0
821ea7fffffffff,18.0,1.0,0.0
821eaffffffffff,5.0,0.0,0.0
821eb7fffffffff,438.0,58.0,0.0
821ecffffffffff,6.0,0.0,0.0
821ed7fffffffff,2.0,0.0,0.0
821ef7fffffffff,5.0,0.0,0.0
821f07fffffffff,787.0,91.0,0.0
821f0ffffffffff,88.0,2.0,0.0
821f17fffffffff,618.0,6.0,0.0
821f1ffffffffff,1417.0,101.0,0.0
821f27fffffffff,166.0,32.0,0.0
821f2ffffffffff,1190.0,167.0,0.0
821f37fffffffff,23.0,3.0,0.0
821f47fffffffff,6.0,0.0,0.0
821f57fffffffff,21.0,6.0,0.0
821f77fffffffff,77.0,6.0,0.0
821f87fffffffff,2938.0,120.0,0.0
821f8ffffffffff,1416.0,211.0,0.0
821f97fffffffff,292.0,48.0,0.0
821f9ffffffffff,278.0,18.0,0.0
821fa7fffffffff,379.0,25.0,0.0
821faffffffffff,1983.0,14.0,0.0
821fb7fffffffff,83.0,3.0,0.0
823817fffffffff,3.0,0.0,0.0
823827fffffffff,15.0,0.0,0.0
823837fffffffff,11.0,2.0,0.0
82386ffffffffff,8.0,0.0,0.0
823907fffffffff,9971.0,5.0,0.0
82390ffffffffff,5322.0,32.0,0.0
823917fffffffff,2525.0,30.0,0.0
82391ffffffffff,2377.0,73.0,0.0
823927fffffffff,336.0,4.0,0.0
82392ffffffffff,15680.0,85.0,0.0
823937fffffffff,41.0,1.0,0.0
823947fffffffff,1163.0,0.0,0.0
823957fffffffff,18.0,0.0,0.0
82395ffffffffff,352.0,0.0,0.0
823967fffffffff,635.0,15.0,0.0
82396ffffffffff,172.0,11.0,0.0
823977fffffffff,7624.0,68.0,0.0
823987fffffffff,3.0,0.0,0.0
82398ffffffffff,4.0,0.0,0.0
8239affffffffff,3.0,0.0,0.0
823f27fffffffff,2.0,0.0,0.0
823f2ffffffffff,1.0,0.0,0.0
823f37fffffffff,2.0,0.0,0.0
825417fffffffff,2.0,0.0,0.0
82574ffffffffff,1.0,0.0,0.0
