cell_id,Columba livia,Columba livia (Wild type)
840130bffffffff,103.0,0.0
8401319ffffffff,2.0,0.0
840131dffffffff,2.0,0.0
8401351ffffffff,49.0,0.0
8401355ffffffff,9.0,0.0
840135bffffffff,2.0,0.0
840136dffffffff,1.0,0.0
840588dffffffff,9.0,0.0
8407411ffffffff,77.0,21.0
8407417ffffffff,98.0,28.0
8407419ffffffff,6.0,6.0
840741dffffffff,8.0,4.0
8407431ffffffff,4.0,0.0
8407433ffffffff,39.0,0.0
8407437ffffffff,4.0,2.0
840743bffffffff,5.0,0.0
840744bffffffff,26.0,14.0
8407451ffffffff,2.0,2.0
8407455ffffffff,5.0,1.0
8407457ffffffff,23.0,15.0
840745dffffffff,25.0,11.0
8407461ffffffff,4.0,0.0
8407467ffffffff,4.0,0.0
84074e9ffffffff,29.0,5.0
84074edffffffff,96.0,11.0
8407551ffffffff,21.0,1.0
840755dffffffff,1.0,0.0
8407581ffffffff,1.0,0.0
8407589ffffffff,1.0,0.0
840758dffffffff,19.0,0.0
84075c5ffffffff,2.0,0.0
84075c7ffffffff,1.0,0.0
84075d1ffffffff,44.0,0.0
84075d9ffffffff,30.0,0.0
84075ddffffffff,398.0,0.0
84075edffffffff,8.0,0.0
8407621ffffffff,10.0,2.0
8407623ffffffff,49.0,15.0
8407625ffffffff,24.0,2.0
8407627ffffffff,2.0,1.0
8407635ffffffff,63.0,37.0
8407733ffffffff,5.0,0.0
8407753ffffffff,4.0,2.0
8408007ffffffff,1.0,0.0
8408065ffffffff,2.0,0.0
840810dffffffff,2.0,0.0
8408123ffffffff,2.0,0.0
840814dffffffff,2.0,0.0
8408151ffffffff,43.0,0.0
8408159ffffffff,41.0,0.0
84081edffffffff,2.0,0.0
840829bffffffff,3.0,0.0
84082a5ffffffff,2.0,0.0
84082b1ffffffff,2.0,0.0
8408321ffffffff,1.0,0.0
8408329ffffffff,1.0,0.0
840832bffffffff,4.0,0.0
840833bffffffff,11.0,0.0
8408363ffffffff,1.0,0.0
8408365ffffffff,13.0,0.0
8408809ffffffff,11.0,0.0
840880bffffffff,2.0,0.0
840880dffffffff,75.0,0.0
8408829ffffffff,27.0,0.0
840882dffffffff,2.0,0.0
8408831ffffffff,5.0,0.0
840883dffffffff,3.0,0.0
8408843ffffffff,2.0,0.0
8408845ffffffff,4.0,0.0
8408847ffffffff,2.0,0.0
840884bffffffff,2.0,0.0
840885dffffffff,2.0,0.0
8408861ffffffff,3.0,0.0
8408863ffffffff,14.0,0.0
8408865ffffffff,2.0,0.0
8408867ffffffff,186.0,0.0
8408869ffffffff,22.0,0.0
840886bffffffff,10.0,0.0
8408885ffffffff,3.0,0.0
840888dffffffff,6.0,0.0
8408899ffffffff,2.0,0.0
84088a1ffffffff,2.0,0.0
84088a9ffffffff,2.0,0.0
84088b7ffffffff,2.0,0.0
84088e1ffffffff,2.0,0.0
8408901ffffffff,2.0,0.0
8408937ffffffff,8.0,0.0
8408959ffffffff,18.0,0.0
840895bffffffff,6.0,0.0
8408961ffffffff,2.0,0.0
8408965ffffffff,14.0,0.0
840896bffffffff,7.0,0.0
8408985ffffffff,6.0,0.0
8408987ffffffff,3.0,0.0
840898bffffffff,11.0,0.0
8408991ffffffff,2.0,0.0
8408993ffffffff,2.0,0.0
8408995ffffffff,9.0,0.0
8408997ffffffff,39.0,0.0
8408999ffffffff,10.0,0.0
840899bffffffff,2.0,0.0
840899dffffffff,4.0,0.0
84089a1ffffffff,6.0,0.0
84089a5ffffffff,11.0,0.0
84089a7ffffffff,1.0,0.0
84089a9ffffffff,44.0,0.0
84089abffffffff,7.0,0.0
84089adffffffff,17.0,0.0
84089b1ffffffff,81.0,0.0
84089b5ffffffff,1.0,0.0
84089bbffffffff,30.0,0.0
84089bdffffffff,9.0,0.0
84089d1ffffffff,17.0,0.0
84089d3ffffffff,56.0,0.0
84089dbffffffff,5.0,0.0
84089e3ffffffff,9.0,0.0
84089e5ffffffff,5.0,0.0
84089edffffffff,2.0,0.0
8408a27ffffffff,23.0,0.0
8408a31ffffffff,1.0,0.0
8408a35ffffffff,6.0,0.0
8408a45ffffffff,19.0,0.0
8408a4bffffffff,4.0,0.0
8408a69ffffffff,4.0,0.0
8408a6dffffffff,5.0,0.0
8408ad9ffffffff,1.0,0.0
8408ae3ffffffff,3.0,0.0
8408b0dffffffff,2.0,0.0
8408b11ffffffff,14.0,0.0
8408b13ffffffff,2.0,0.0
8408b15ffffffff,2.0,0.0
8408b2bffffffff,1.0,0.0
8408b31ffffffff,2.0,0.0
8408b35ffffffff,1.0,0.0
8408b3dffffffff,3.0,0.0
8408b41ffffffff,5.0,0.0
8408b47ffffffff,6.0,0.0
8408b4dffffffff,3.0,0.0
8408b63ffffffff,1.0,0.0
8408b67ffffffff,8.0,0.0
8408b6bffffffff,3.0,0.0
8408b6dffffffff,1.0,0.0
8408c21ffffffff,1.0,0.0
8408c29ffffffff,2.0,0.0
8408c31ffffffff,20.0,0.0
8408c63ffffffff,1.0,0.0
8408cedffffffff,6.0,0.0
8408d19ffffffff,24.0,0.0
8408d1dffffffff,2.0,0.0
8408d29ffffffff,1.0,0.0
8408d2bffffffff,2.0,0.0
8408d41ffffffff,9.0,0.0
8408d45ffffffff,2.0,0.0
8408d4dffffffff,3.0,0.0
8408d51ffffffff,2.0,0.0
8408d81ffffffff,8.0,0.0
8408dbdffffffff,2.0,0.0
8408e31ffffffff,1.0,0.0
8408e9bffffffff,2.0,0.0
8408ec9ffffffff,2.0,0.0
8408ed3ffffffff,27.0,0.0
8408edbffffffff,2.0,0.0
8408ee9ffffffff,1.0,0.0
8408f63ffffffff,2.0,0.0
8409587ffffffff,1.0,0.0
8409599ffffffff,3.0,0.0
84095a9ffffffff,1.0,0.0
84095abffffffff,1.0,0.0
8409805ffffffff,3.0,0.0
8409811ffffffff,84.0,0.0
840981dffffffff,1.0,0.0
8409821ffffffff,28.0,0.0
8409829ffffffff,1.0,0.0
840982bffffffff,32.0,0.0
840982dffffffff,8.0,0.0
840983bffffffff,2.0,0.0
8409881ffffffff,2.0,0.0
8409883ffffffff,2.0,0.0
8409891ffffffff,2.0,0.0
8409899ffffffff,4.0,0.0
840989bffffffff,2.0,0.0
84098abffffffff,3.0,0.0
84098bdffffffff,3.0,0.0
84098cbffffffff,1.0,0.0
8409911ffffffff,6.0,0.0
8409917ffffffff,5.0,0.0
840991bffffffff,76.0,0.0
8409931ffffffff,2.0,0.0
8409937ffffffff,11.0,0.0
8409983ffffffff,2.0,0.0
8409991ffffffff,16.0,0.0
8409993ffffffff,242.0,0.0
8409995ffffffff,5.0,0.0
8409997ffffffff,4.0,0.0
84099a7ffffffff,2.0,0.0
84099b1ffffffff,3.0,0.0
84099b5ffffffff,2.0,0.0
84099b9ffffffff,85.0,0.0
84099bdffffffff,3.0,0.0
84099e9ffffffff,6.0,0.0
8409a09ffffffff,136.0,51.0
8409a41ffffffff,16.0,9.0
8409a43ffffffff,22.0,2.0
8409a45ffffffff,57.0,9.0
8409a47ffffffff,127.0,34.0
8409a4dffffffff,34.0,0.0
8409a55ffffffff,60.0,13.0
8409a69ffffffff,181.0,59.0
8409a6bffffffff,84.0,16.0
840aa6dffffffff,1.0,0.0
840b9a7ffffffff,4.0,0.0
840bb01ffffffff,17.0,0.0
840bb03ffffffff,6.0,0.0
840bb07ffffffff,3.0,0.0
840bb45ffffffff,1.0,0.0
840c421ffffffff,16.0,0.0
840c425ffffffff,24.0,0.0
840c427ffffffff,3.0,0.0
840c42dffffffff,828.0,0.0
840c441ffffffff,4.0,0.0
840c455ffffffff,1.0,0.0
840c461ffffffff,5.0,0.0
840c465ffffffff,31.0,0.0
840c46dffffffff,10.0,0.0
840c503ffffffff,4.0,0.0
840c511ffffffff,24.0,0.0
840c515ffffffff,8.0,0.0
840c51dffffffff,1098.0,0.0
840c555ffffffff,67.0,0.0
840c5a5ffffffff,1.0,0.0
840c5adffffffff,152.0,0.0
840c62bffffffff,4.0,0.0
840c641ffffffff,1.0,0.0
840c705ffffffff,6.0,0.0
840c715ffffffff,4.0,0.0
840c733ffffffff,2163.0,0.0
840c739ffffffff,4.0,0.0
840c73bffffffff,73.0,0.0
840c73dffffffff,5.0,0.0
840c741ffffffff,7.0,0.0
840c747ffffffff,2.0,0.0
840c74dffffffff,1.0,0.0
840d585ffffffff,2.0,0.0
840d5a9ffffffff,322.0,0.0
840d5e7ffffffff,1.0,0.0
840d937ffffffff,8.0,0.0
840e491ffffffff,190.0,0.0
840e493ffffffff,473.0,0.0
840e497ffffffff,198.0,0.0
840e49bffffffff,15.0,0.0
840e4d1ffffffff,2.0,0.0
840e4d3ffffffff,97.0,0.0
840e4dbffffffff,1111.0,0.0
840e5b3ffffffff,14.0,0.0
840ec81ffffffff,2.0,0.0
840ec95ffffffff,49.0,0.0
840ec97ffffffff,15.0,0.0
840ec9bffffffff,2.0,0.0
840ec9dffffffff,4.0,0.0
840eca3ffffffff,11.0,0.0
840eca5ffffffff,2.0,0.0
840eca7ffffffff,14.0,0.0
840ecb9ffffffff,3.0,0.0
840ecbdffffffff,2.0,0.0
840edb9ffffffff,2.0,0.0
841012dffffffff,2.0,0.0
8410161ffffffff,2.0,0.0
8410167ffffffff,4.0,0.0
8410203ffffffff,2.0,0.0
84108dbffffffff,1.0,0.0
8410935ffffffff,2.0,0.0
8410969ffffffff,2.0,0.0
8410a19ffffffff,4.0,0.0
8410a2dffffffff,2.0,0.0
8410a81ffffffff,4.0,0.0
8410b39ffffffff,1.0,0.0
8410c05ffffffff,1.0,0.0
8410c23ffffffff,99.0,0.0
8410c27ffffffff,18.0,0.0
8410c3dffffffff,1.0,0.0
8410d13ffffffff,2.0,0.0
8410d21ffffffff,2.0,0.0
8410d2bffffffff,2.0,0.0
8410d69ffffffff,1.0,0.0
8410dc1ffffffff,2.0,0.0
8410dc9ffffffff,67.0,0.0
8410f0dffffffff,23.0,0.0
8411001ffffffff,2.0,0.0
8411021ffffffff,2.0,0.0
8411031ffffffff,4.0,0.0
841103bffffffff,2.0,0.0
8411043ffffffff,7.0,0.0
8411045ffffffff,3.0,0.0
8411049ffffffff,7.0,0.0
841105bffffffff,4.0,0.0
8411061ffffffff,325.0,0.0
8411063ffffffff,5.0,0.0
8411065ffffffff,5.0,0.0
8411069ffffffff,76.0,3.0
841106bffffffff,190.0,0.0
841106dffffffff,24.0,0.0
8411155ffffffff,6.0,0.0
841115bffffffff,2.0,0.0
8411169ffffffff,23.0,0.0
841116dffffffff,3.0,0.0
8411203ffffffff,1.0,0.0
841120dffffffff,2.0,0.0
8411223ffffffff,4.0,0.0
8411227ffffffff,1.0,0.0
8411233ffffffff,4.0,0.0
8411235ffffffff,13.0,0.0
8411237ffffffff,3.0,0.0
8411247ffffffff,2.0,0.0
8411249ffffffff,7.0,0.0
8411251ffffffff,7.0,0.0
8411261ffffffff,11.0,0.0
8411263ffffffff,1.0,0.0
8411269ffffffff,10.0,0.0
841126bffffffff,2.0,0.0
841126dffffffff,365.0,0.0
8411281ffffffff,1.0,0.0
84112adffffffff,5.0,0.0
84112e3ffffffff,2.0,0.0
8411309ffffffff,2.0,0.0
841131dffffffff,2.0,0.0
8411321ffffffff,3.0,0.0
8411337ffffffff,3.0,0.0
8411341ffffffff,2.0,0.0
8411347ffffffff,2.0,0.0
8411349ffffffff,4.0,0.0
841134dffffffff,2.0,0.0
841135dffffffff,5.0,0.0
8411361ffffffff,2.0,0.0
8411363ffffffff,2.0,0.0
8411365ffffffff,2.0,0.0
8411369ffffffff,1.0,0.0
841136bffffffff,49.0,0.0
8411549ffffffff,8.0,0.0
8411609ffffffff,1.0,0.0
841165bffffffff,6.0,0.0
8411807ffffffff,2.0,0.0
841180bffffffff,2.0,0.0
8411811ffffffff,12.0,0.0
8411813ffffffff,94.0,0.0
8411815ffffffff,1.0,0.0
8411817ffffffff,2.0,0.0
8411819ffffffff,4.0,0.0
841181bffffffff,73.0,0.0
841181dffffffff,26.0,0.0
8411823ffffffff,2.0,0.0
8411839ffffffff,6.0,0.0
841183bffffffff,5.0,0.0
8411853ffffffff,6.0,0.0
841185bffffffff,3.0,0.0
841185dffffffff,4.0,0.0
841188dffffffff,1.0,0.0
84118adffffffff,42.0,0.0
