cell_id,Xiphorhynchus guttatus,Xiphorhynchus guttatus [guttatus Group],Xiphorhynchus guttatus guttatoides/dorbignyanus,Xiphorhynchus guttatus [eytoni Group]
825f07fffffffff,3.0,3.0,0.0,0.0
825f6ffffffffff,11.0,0.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0,0.0
828017fffffffff,17.0,0.0,17.0,0.0
82806ffffffffff,1.0,0.0,1.0,0.0
828147fffffffff,3.0,3.0,0.0,0.0
828167fffffffff,3.0,3.0,0.0,0.0
828177fffffffff,5.0,3.0,0.0,2.0
828187fffffffff,5.0,1.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0,1.0
828b0ffffffffff,1.0,0.0,0.0,0.0
828b47fffffffff,4.0,0.0,4.0,0.0
828b57fffffffff,3.0,2.0,0.0,0.0
828b67fffffffff,2.0,0.0,2.0,0.0
828f77fffffffff,6.0,0.0,0.0,0.0
82a897fffffffff,4.0,3.0,0.0,0.0
