cell_id,Neomixis striatigula,Neomixis striatigula striatigula/sclateri,Neomixis striatigula pallidior
83a214fffffffff,255.0,21.0,0.0
83a216fffffffff,1.0,0.0,0.0
83a222fffffffff,238.0,20.0,0.0
83a223fffffffff,2.0,0.0,0.0
83a231fffffffff,308.0,35.0,0.0
83a233fffffffff,1.0,0.0,0.0
83a2a1fffffffff,1.0,0.0,0.0
83a2a3fffffffff,56.0,2.0,12.0
83a2a4fffffffff,57.0,0.0,8.0
83a2a6fffffffff,9.0,0.0,1.0
83a2aefffffffff,32.0,0.0,0.0
83a308fffffffff,40.0,4.0,0.0
83a309fffffffff,4.0,0.0,0.0
83a319fffffffff,1.0,0.0,0.0
83a356fffffffff,8.0,0.0,0.0
83a38bfffffffff,19.0,0.0,5.0
83a38cfffffffff,1.0,0.0,0.0
83a38dfffffffff,10.0,0.0,1.0
83a399fffffffff,428.0,4.0,83.0
83a39dfffffffff,18.0,0.0,1.0
83a3abfffffffff,2.0,0.0,0.0
