cell_id,Silvicultrix frontalis,Silvicultrix frontalis frontalis/albidiadema,Silvicultrix frontalis spodionota/boliviana
836608fffffffff,10.0,0.0,0.0
83660bfffffffff,5.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0
836618fffffffff,67.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0
83661bfffffffff,19.0,0.0,0.0
83661dfffffffff,5.0,0.0,0.0
8366c2fffffffff,42.0,0.0,0.0
8366c4fffffffff,1.0,0.0,0.0
8366c6fffffffff,30.0,0.0,0.0
8366d0fffffffff,1.0,0.0,0.0
8366d1fffffffff,18.0,4.0,0.0
8366d3fffffffff,647.0,100.0,0.0
8366d5fffffffff,1.0,0.0,0.0
8366defffffffff,141.0,31.0,0.0
8366e0fffffffff,19.0,0.0,0.0
8366e2fffffffff,1.0,0.0,0.0
8366e4fffffffff,66.0,1.0,0.0
8366e5fffffffff,47.0,2.0,0.0
8366e6fffffffff,517.0,3.0,0.0
8366f1fffffffff,1.0,0.0,0.0
8366f3fffffffff,1.0,0.0,0.0
8366f5fffffffff,36.0,0.0,0.0
838b21fffffffff,4.0,0.0,0.0
838b2cfffffffff,30.0,0.0,0.0
838b61fffffffff,73.0,0.0,0.0
838b6cfffffffff,58.0,0.0,0.0
838b75fffffffff,1.0,0.0,0.0
838e60fffffffff,1.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0
838e65fffffffff,5.0,0.0,0.0
838e6dfffffffff,8.0,0.0,0.0
838f29fffffffff,8.0,0.0,0.0
838f2bfffffffff,1.0,0.0,0.0
838f2dfffffffff,6.0,1.0,0.0
838f42fffffffff,4.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0
838f4afffffffff,3.0,0.0,0.0
838f54fffffffff,8.0,0.0,0.0
838f55fffffffff,20.0,0.0,0.0
838f59fffffffff,44.0,0.0,7.0
838f5cfffffffff,1.0,0.0,0.0
838f72fffffffff,59.0,13.0,0.0
838f76fffffffff,142.0,36.0,0.0
83b325fffffffff,36.0,0.0,0.0
