cell_id,Pernis ptilorhynchus,Pernis ptilorhynchus orientalis,Pernis ptilorhynchus ruficollis/philippensis,Pernis ptilorhynchus [ptilorhynchus Group]
83200afffffffff,3.0,0.0,0.0,0.0
8320e6fffffffff,1.0,0.0,0.0,0.0
832403fffffffff,1.0,0.0,0.0,0.0
83240efffffffff,1.0,0.0,0.0,0.0
83241dfffffffff,1.0,0.0,0.0,0.0
8324d2fffffffff,2.0,0.0,0.0,0.0
8325acfffffffff,3.0,3.0,0.0,0.0
832c04fffffffff,4.0,4.0,0.0,0.0
832c21fffffffff,52.0,0.0,0.0,0.0
832c23fffffffff,2.0,0.0,0.0,0.0
832c91fffffffff,3.0,0.0,0.0,0.0
832c93fffffffff,13.0,0.0,0.0,0.0
832cc0fffffffff,14.0,0.0,0.0,0.0
832cd5fffffffff,3.0,0.0,0.0,0.0
832da1fffffffff,1.0,0.0,0.0,0.0
832db0fffffffff,5.0,0.0,0.0,0.0
832db1fffffffff,6.0,0.0,0.0,0.0
832db2fffffffff,3.0,0.0,0.0,0.0
832e68fffffffff,2.0,0.0,0.0,0.0
833006fffffffff,7.0,0.0,0.0,0.0
833015fffffffff,2.0,0.0,0.0,0.0
83309bfffffffff,2.0,0.0,0.0,0.0
8330c0fffffffff,2.0,0.0,0.0,0.0
8330c6fffffffff,21.0,0.0,0.0,0.0
8330d0fffffffff,1.0,0.0,0.0,0.0
8330d3fffffffff,2.0,0.0,0.0,0.0
8330e5fffffffff,1.0,0.0,0.0,0.0
833185fffffffff,6.0,0.0,0.0,0.0
8331a8fffffffff,2.0,0.0,0.0,0.0
8331aafffffffff,3.0,0.0,0.0,0.0
833c15fffffffff,6.0,0.0,0.0,0.0
833c19fffffffff,4.0,0.0,0.0,0.0
833c1bfffffffff,11.0,0.0,3.0,0.0
833c1cfffffffff,6.0,0.0,0.0,0.0
833c1dfffffffff,1.0,0.0,0.0,0.0
833c58fffffffff,5.0,0.0,0.0,0.0
833c89fffffffff,1.0,0.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0,0.0
833c92fffffffff,5.0,0.0,0.0,0.0
833c94fffffffff,4.0,0.0,0.0,0.0
833ca2fffffffff,2.0,0.0,0.0,0.0
833ca9fffffffff,20.0,0.0,0.0,0.0
833cb1fffffffff,5.0,0.0,0.0,0.0
833cc4fffffffff,3.0,0.0,0.0,0.0
833ce2fffffffff,1.0,0.0,0.0,0.0
833ce5fffffffff,4.0,0.0,2.0,0.0
833cecfffffffff,5.0,0.0,2.0,0.0
833cf2fffffffff,13.0,0.0,2.0,0.0
833cf6fffffffff,6.0,0.0,0.0,0.0
833d04fffffffff,11.0,0.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0,0.0
833d14fffffffff,3.0,0.0,0.0,0.0
833d30fffffffff,3.0,0.0,0.0,0.0
833d35fffffffff,2.0,0.0,0.0,0.0
833d8cfffffffff,1.0,0.0,0.0,0.0
833da1fffffffff,1.0,0.0,1.0,0.0
833da9fffffffff,1.0,0.0,0.0,0.0
833dadfffffffff,1.0,0.0,0.0,0.0
833e45fffffffff,13.0,2.0,0.0,0.0
833e63fffffffff,2.0,0.0,0.0,0.0
833e68fffffffff,94.0,0.0,0.0,0.0
833e6cfffffffff,5.0,0.0,0.0,0.0
834019fffffffff,4.0,0.0,0.0,0.0
834090fffffffff,2.0,0.0,0.0,0.0
834095fffffffff,4.0,0.0,0.0,0.0
834096fffffffff,2.0,0.0,0.0,0.0
8340c2fffffffff,3.0,3.0,0.0,0.0
8340d0fffffffff,2.0,0.0,0.0,0.0
8340e6fffffffff,6.0,0.0,0.0,0.0
834103fffffffff,7.0,0.0,0.0,0.0
834119fffffffff,2.0,0.0,0.0,0.0
83411cfffffffff,6.0,0.0,0.0,0.0
834154fffffffff,2.0,0.0,0.0,0.0
834170fffffffff,1.0,0.0,0.0,0.0
8341a4fffffffff,3.0,0.0,0.0,0.0
8341a5fffffffff,8.0,0.0,0.0,0.0
8341b4fffffffff,7.0,0.0,0.0,0.0
8341b5fffffffff,5.0,0.0,0.0,0.0
83425dfffffffff,3.0,0.0,0.0,0.0
8342c6fffffffff,3.0,0.0,0.0,0.0
8342dbfffffffff,4.0,0.0,1.0,0.0
8342dcfffffffff,5.0,0.0,0.0,0.0
83431efffffffff,1.0,0.0,0.0,0.0
83438cfffffffff,3.0,3.0,0.0,0.0
8343a0fffffffff,28.0,3.0,0.0,0.0
8343a1fffffffff,3.0,1.0,0.0,0.0
8343a3fffffffff,4.0,1.0,0.0,0.0
8343acfffffffff,26.0,0.0,0.0,0.0
8343aefffffffff,37.0,2.0,0.0,0.0
834b84fffffffff,4.0,0.0,0.0,0.0
834b86fffffffff,23.0,4.0,0.0,0.0
834ba0fffffffff,14.0,0.0,0.0,0.0
834ba2fffffffff,11.0,0.0,0.0,0.0
834ba3fffffffff,4.0,0.0,0.0,0.0
834ba5fffffffff,2.0,0.0,0.0,0.0
834ba8fffffffff,2.0,1.0,0.0,0.0
834bb1fffffffff,5.0,0.0,0.0,0.0
83521cfffffffff,3.0,0.0,0.0,0.0
83534dfffffffff,3.0,2.0,0.0,0.0
835355fffffffff,1.0,0.0,0.0,0.0
835368fffffffff,1.0,0.0,0.0,0.0
83536bfffffffff,1.0,0.0,0.0,0.0
83536efffffffff,30.0,0.0,0.0,0.0
836002fffffffff,31.0,0.0,0.0,0.0
836006fffffffff,27.0,0.0,0.0,0.0
836011fffffffff,8.0,0.0,0.0,0.0
836013fffffffff,4.0,0.0,0.0,0.0
836014fffffffff,23.0,0.0,3.0,0.0
836015fffffffff,12.0,0.0,1.0,0.0
836016fffffffff,10.0,0.0,0.0,0.0
836022fffffffff,37.0,0.0,0.0,0.0
836026fffffffff,3.0,0.0,0.0,0.0
836030fffffffff,4.0,0.0,4.0,0.0
836031fffffffff,32.0,0.0,0.0,0.0
836033fffffffff,20.0,0.0,6.0,0.0
836034fffffffff,1.0,0.0,1.0,0.0
836035fffffffff,7.0,0.0,0.0,0.0
836088fffffffff,3.0,0.0,2.0,0.0
83608afffffffff,1.0,0.0,0.0,0.0
8360a9fffffffff,33.0,0.0,0.0,0.0
8360adfffffffff,5.0,0.0,0.0,0.0
8360b1fffffffff,2.0,0.0,0.0,0.0
83611efffffffff,2.0,0.0,2.0,0.0
836188fffffffff,2.0,0.0,2.0,0.0
83618bfffffffff,11.0,0.0,0.0,0.0
83618cfffffffff,3.0,0.0,0.0,0.0
83619afffffffff,1.0,0.0,0.0,0.0
836332fffffffff,22.0,16.0,0.0,0.0
836416fffffffff,2.0,0.0,0.0,2.0
836429fffffffff,2.0,0.0,0.0,0.0
836432fffffffff,9.0,9.0,0.0,0.0
83648cfffffffff,5.0,0.0,4.0,0.0
836490fffffffff,2.0,0.0,0.0,0.0
836491fffffffff,1.0,0.0,0.0,0.0
8364a2fffffffff,1.0,1.0,0.0,0.0
8364e4fffffffff,18.0,0.0,0.0,0.0
8364e6fffffffff,4.0,0.0,0.0,0.0
836500fffffffff,52.0,0.0,0.0,0.0
836501fffffffff,7.0,0.0,0.0,0.0
836502fffffffff,6.0,0.0,0.0,0.0
836503fffffffff,36.0,4.0,0.0,0.0
836505fffffffff,48.0,3.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0,0.0
836518fffffffff,97.0,0.0,0.0,0.0
836519fffffffff,5.0,0.0,0.0,0.0
83651cfffffffff,19.0,0.0,0.0,0.0
83651dfffffffff,54.0,0.0,0.0,0.0
836520fffffffff,84.0,3.0,0.0,0.0
836526fffffffff,196.0,5.0,0.0,3.0
836595fffffffff,2.0,0.0,0.0,0.0
836599fffffffff,1.0,0.0,1.0,0.0
8365b0fffffffff,1.0,1.0,0.0,0.0
8365b3fffffffff,1.0,0.0,0.0,0.0
836802fffffffff,25.0,0.0,0.0,0.0
836810fffffffff,2.0,0.0,0.0,0.0
836811fffffffff,20.0,0.0,0.0,0.0
836818fffffffff,33.0,0.0,0.0,0.0
83681afffffffff,7.0,0.0,0.0,0.0
83681cfffffffff,17.0,0.0,0.0,0.0
83681dfffffffff,2.0,0.0,0.0,0.0
836828fffffffff,1.0,0.0,0.0,1.0
83694efffffffff,8.0,0.0,0.0,0.0
837390fffffffff,2.0,0.0,0.0,0.0
838c10fffffffff,4.0,0.0,0.0,0.0
838c23fffffffff,6.0,0.0,0.0,0.0
839453fffffffff,2.0,0.0,0.0,0.0
83956afffffffff,2.0,0.0,0.0,0.0
839692fffffffff,5.0,0.0,0.0,0.0
83a726fffffffff,139.0,0.0,0.0,0.0
