cell_id,Lepidothrix coronata,Lepidothrix coronata [coronata Group],Lepidothrix coronata [exquisita Group]
835f68fffffffff,5.0,0.0,0.0
835f71fffffffff,4.0,0.0,0.0
835f75fffffffff,51.0,0.0,0.0
836641fffffffff,10.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
836648fffffffff,5.0,0.0,0.0
83664dfffffffff,2.0,0.0,0.0
83664efffffffff,7.0,0.0,0.0
83665afffffffff,365.0,1.0,0.0
83665bfffffffff,203.0,0.0,0.0
83665efffffffff,33.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0
83666bfffffffff,6.0,0.0,0.0
8366c0fffffffff,83.0,0.0,0.0
8366c1fffffffff,13.0,0.0,0.0
8366c2fffffffff,215.0,0.0,0.0
8366c3fffffffff,10.0,0.0,0.0
8366c5fffffffff,84.0,0.0,0.0
8366c9fffffffff,17.0,0.0,0.0
8366cdfffffffff,10.0,0.0,0.0
8366cefffffffff,85.0,0.0,0.0
8366d1fffffffff,293.0,2.0,0.0
8366d8fffffffff,135.0,5.0,0.0
8366dafffffffff,13.0,0.0,0.0
8366dbfffffffff,15.0,0.0,0.0
8366dcfffffffff,426.0,39.0,0.0
8366ddfffffffff,64.0,8.0,0.0
8366defffffffff,305.0,24.0,0.0
8366e0fffffffff,8.0,0.0,0.0
8366e3fffffffff,43.0,0.0,0.0
8366e8fffffffff,16.0,0.0,0.0
8366e9fffffffff,7.0,0.0,0.0
8366eafffffffff,11.0,0.0,0.0
8366ecfffffffff,58.0,0.0,0.0
8366eefffffffff,139.0,0.0,0.0
838a00fffffffff,17.0,0.0,0.0
838a01fffffffff,14.0,0.0,0.0
838a05fffffffff,51.0,0.0,0.0
838a1afffffffff,28.0,0.0,0.0
838a21fffffffff,1.0,0.0,0.0
838a2cfffffffff,3.0,0.0,0.0
838a33fffffffff,2.0,0.0,0.0
838a45fffffffff,164.0,0.0,0.0
838a4bfffffffff,6.0,0.0,0.0
838a4cfffffffff,1.0,0.0,0.0
838a52fffffffff,4.0,0.0,0.0
838a55fffffffff,1.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0
838a63fffffffff,52.0,0.0,0.0
838a68fffffffff,7.0,0.0,0.0
838a69fffffffff,187.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0
838a6dfffffffff,212.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a70fffffffff,6.0,0.0,0.0
838a73fffffffff,14.0,0.0,0.0
838a75fffffffff,2.0,0.0,0.0
838aa9fffffffff,14.0,0.0,0.0
838adbfffffffff,17.0,0.0,0.0
838ae5fffffffff,3.0,0.0,0.0
838ae6fffffffff,2.0,0.0,0.0
838af0fffffffff,29.0,0.0,0.0
838af1fffffffff,6.0,0.0,0.0
838af4fffffffff,81.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b2cfffffffff,7.0,0.0,0.0
838b2efffffffff,6.0,0.0,0.0
838b40fffffffff,11.0,0.0,0.0
838b44fffffffff,123.0,0.0,12.0
838b45fffffffff,3.0,0.0,0.0
838b46fffffffff,7.0,0.0,0.0
838b53fffffffff,2.0,0.0,0.0
838b61fffffffff,1.0,0.0,0.0
838b62fffffffff,10.0,0.0,2.0
838b63fffffffff,209.0,0.0,18.0
838b68fffffffff,3.0,0.0,0.0
838b69fffffffff,38.0,0.0,0.0
838b6efffffffff,86.0,0.0,8.0
838b71fffffffff,36.0,0.0,0.0
838b74fffffffff,67.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838e64fffffffff,3.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0
838f40fffffffff,105.0,0.0,0.0
838f43fffffffff,9.0,0.0,0.0
838f48fffffffff,16.0,0.0,0.0
838f49fffffffff,2.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f61fffffffff,53.0,0.0,0.0
838f65fffffffff,84.0,0.0,0.0
838f6bfffffffff,35.0,0.0,0.0
838f6efffffffff,3.0,0.0,0.0
838f71fffffffff,38.0,0.0,0.0
838f73fffffffff,2.0,0.0,0.0
838f74fffffffff,12.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
