cell_id,Pheucticus chrysopeplus,Pheucticus chrysopeplus chrysopeplus/dilutus,Pheucticus chrysopeplus aurantiacus
832688fffffffff,106.0,0.0,0.0
834525fffffffff,33.0,0.0,11.0
83480afffffffff,4.0,1.0,0.0
834832fffffffff,2.0,2.0,0.0
834833fffffffff,9.0,9.0,0.0
834836fffffffff,2.0,2.0,0.0
834883fffffffff,90.0,5.0,0.0
8348c5fffffffff,4.0,0.0,0.0
8348d0fffffffff,1.0,0.0,0.0
8348d8fffffffff,8.0,0.0,0.0
8348e4fffffffff,2.0,2.0,0.0
8348e8fffffffff,1.0,0.0,0.0
8348ebfffffffff,2.0,0.0,0.0
8348ecfffffffff,6.0,0.0,0.0
8348eefffffffff,9.0,4.0,0.0
834986fffffffff,2.0,2.0,0.0
8349a2fffffffff,2.0,0.0,0.0
8349a3fffffffff,2.0,0.0,0.0
8349a8fffffffff,5.0,1.0,0.0
8349a9fffffffff,2.0,2.0,0.0
8349b3fffffffff,5.0,5.0,0.0
836d05fffffffff,10.0,0.0,8.0
836d23fffffffff,6.0,0.0,3.0
836d28fffffffff,41.0,0.0,13.0
836d29fffffffff,9.0,0.0,1.0
836d2afffffffff,9.0,0.0,2.0
836d2efffffffff,6.0,0.0,0.0
836d32fffffffff,6.0,0.0,0.0
836d36fffffffff,6.0,0.0,0.0
