cell_id,Phalacrocorax carbo,Phalacrocorax carbo carbo,Phalacrocorax carbo novaehollandiae,Phalacrocorax carbo sinensis/hanedae,Phalacrocorax carbo maroccanus,Phalacrocorax carbo lucidus,Phalacrocorax carbo carbo/sinensis
820127fffffffff,30.0,9.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,713.0,99.0,0.0,0.0,0.0,0.0,0.0
82068ffffffffff,8.0,1.0,0.0,0.0,0.0,0.0,0.0
820697fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8206dffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,372.0,95.0,0.0,0.0,0.0,0.0,0.0
82074ffffffffff,45.0,16.0,0.0,0.0,0.0,0.0,0.0
820757fffffffff,214.0,35.0,0.0,0.0,0.0,0.0,0.0
82075ffffffffff,1796.0,417.0,0.0,0.0,0.0,0.0,0.0
820767fffffffff,167.0,106.0,0.0,0.0,0.0,0.0,0.0
820777fffffffff,717.0,483.0,0.0,0.0,0.0,0.0,0.0
820807fffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,163.0,2.0,0.0,4.0,0.0,0.0,0.0
82082ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,55.0,1.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,689.0,67.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,171.0,15.0,0.0,2.0,0.0,0.0,48.0
820897fffffffff,278.0,40.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,1673.0,27.0,0.0,4.0,0.0,0.0,89.0
8208a7fffffffff,20.0,2.0,0.0,3.0,0.0,0.0,0.0
8208affffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,224.0,26.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,1.0
8208cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,78.0,7.0,0.0,1.0,0.0,0.0,1.0
8208e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,108.0,7.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,2.0
82094ffffffffff,47.0,2.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,77.0,1.0,0.0,0.0,0.0,0.0,0.0
