cell_id,Automolus cervinigularis,Automolus cervinigularis cervinigularis,Automolus cervinigularis hypophaeus
834520fffffffff,139.0,0.0,0.0
834521fffffffff,28.0,0.0,0.0
834522fffffffff,185.0,0.0,0.0
834523fffffffff,363.0,0.0,0.0
834525fffffffff,16.0,0.0,0.0
834526fffffffff,146.0,0.0,0.0
834528fffffffff,33.0,0.0,0.0
83452afffffffff,1.0,0.0,0.0
83452cfffffffff,13.0,0.0,0.0
83452dfffffffff,101.0,0.0,0.0
83452efffffffff,1148.0,0.0,0.0
834530fffffffff,7.0,0.0,0.0
834531fffffffff,4.0,0.0,0.0
834532fffffffff,16.0,0.0,0.0
834534fffffffff,2.0,0.0,0.0
834535fffffffff,62.0,0.0,0.0
834536fffffffff,70.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
834996fffffffff,16.0,5.0,0.0
8366b4fffffffff,2090.0,0.0,0.0
8366b5fffffffff,20.0,0.0,6.0
836792fffffffff,2.0,0.0,0.0
836796fffffffff,69.0,0.0,0.0
83679afffffffff,192.0,0.0,0.0
83679bfffffffff,49.0,0.0,0.0
836d21fffffffff,73.0,28.0,0.0
836d22fffffffff,18.0,4.0,0.0
836d23fffffffff,141.0,53.0,0.0
836d2cfffffffff,121.0,45.0,0.0
836d2dfffffffff,100.0,0.0,0.0
836d30fffffffff,104.0,30.0,0.0
836d31fffffffff,47.0,21.0,0.0
836d34fffffffff,57.0,14.0,0.0
836d35fffffffff,233.0,32.0,0.0
836d36fffffffff,8.0,0.0,0.0
836d65fffffffff,551.0,0.0,0.0
836d68fffffffff,296.0,0.0,0.0
836d69fffffffff,2727.0,0.0,0.0
836d6dfffffffff,12.0,0.0,0.0
