cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
844505bffffffff,23.0,0.0,0.0,0.0
84450a9ffffffff,2.0,0.0,0.0,0.0
8445203ffffffff,6.0,0.0,0.0,0.0
8445207ffffffff,88.0,0.0,0.0,0.0
844520bffffffff,83.0,0.0,0.0,0.0
8445211ffffffff,4.0,0.0,0.0,0.0
8445215ffffffff,22.0,0.0,0.0,0.0
8445217ffffffff,42.0,2.0,0.0,0.0
844521dffffffff,5.0,0.0,0.0,0.0
8445221ffffffff,257.0,0.0,0.0,0.0
8445225ffffffff,110.0,0.0,0.0,0.0
844522dffffffff,8.0,0.0,0.0,0.0
8445231ffffffff,2.0,0.0,0.0,0.0
8445233ffffffff,456.0,2.0,0.0,0.0
844523bffffffff,99.0,0.0,0.0,0.0
8445253ffffffff,3.0,0.0,0.0,0.0
8445257ffffffff,104.0,0.0,0.0,0.0
8445263ffffffff,5.0,0.0,0.0,0.0
844526bffffffff,31.0,0.0,0.0,0.0
8445285ffffffff,26.0,1.0,0.0,0.0
8445289ffffffff,470.0,0.0,0.0,0.0
844528dffffffff,170.0,3.0,0.0,0.0
84452a1ffffffff,7.0,0.0,0.0,0.0
84452a3ffffffff,6.0,0.0,0.0,0.0
84452a9ffffffff,397.0,18.0,0.0,0.0
84452abffffffff,102.0,0.0,0.0,0.0
84452adffffffff,505.0,45.0,0.0,0.0
84452bdffffffff,2.0,0.0,0.0,0.0
84452c1ffffffff,2.0,0.0,0.0,0.0
84452c3ffffffff,626.0,30.0,0.0,0.0
84452c5ffffffff,26.0,0.0,0.0,0.0
84452c7ffffffff,303.0,0.0,0.0,0.0
84452c9ffffffff,41.0,0.0,0.0,0.0
84452cbffffffff,21.0,0.0,0.0,0.0
84452cdffffffff,10.0,0.0,0.0,0.0
84452d5ffffffff,14.0,0.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0,0.0
84452d9ffffffff,180.0,0.0,0.0,0.0
84452dbffffffff,16.0,0.0,0.0,0.0
84452ddffffffff,1.0,0.0,0.0,0.0
84452e1ffffffff,1390.0,27.0,0.0,0.0
84452e3ffffffff,534.0,9.0,0.0,0.0
84452e5ffffffff,1209.0,35.0,0.0,0.0
84452e7ffffffff,115.0,3.0,0.0,0.0
84452e9ffffffff,116.0,0.0,0.0,0.0
84452ebffffffff,847.0,36.0,0.0,0.0
84452edffffffff,53.0,0.0,0.0,0.0
8445305ffffffff,21.0,0.0,0.0,0.0
8445319ffffffff,34.0,0.0,0.0,0.0
8445321ffffffff,6.0,0.0,0.0,0.0
844532bffffffff,98.0,0.0,0.0,0.0
844532dffffffff,3.0,0.0,0.0,0.0
8445343ffffffff,8.0,0.0,0.0,0.0
844534dffffffff,2.0,0.0,0.0,0.0
8445351ffffffff,3.0,0.0,0.0,0.0
8445363ffffffff,32.0,0.0,0.0,0.0
8445365ffffffff,13.0,0.0,0.0,0.0
8445367ffffffff,19.0,0.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0,0.0
845f291ffffffff,10.0,0.0,0.0,0.0
845f299ffffffff,92.0,0.0,0.0,0.0
845f29bffffffff,1.0,0.0,0.0,0.0
845f29dffffffff,2.0,0.0,0.0,0.0
845f2b9ffffffff,1.0,0.0,0.0,0.0
845f2bbffffffff,3.0,0.0,0.0,0.0
845f2d1ffffffff,5.0,0.0,0.0,0.0
845f42bffffffff,1.0,0.0,0.0,0.0
845f431ffffffff,1.0,0.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0,0.0
845f483ffffffff,7.0,0.0,0.0,0.0
845f487ffffffff,10.0,0.0,0.0,0.0
845f49bffffffff,2.0,0.0,0.0,0.0
845f4a3ffffffff,15.0,0.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0,0.0
845f4a9ffffffff,26.0,0.0,0.0,0.0
845f4abffffffff,7.0,0.0,0.0,0.0
845f4b9ffffffff,5.0,0.0,0.0,0.0
845f4bdffffffff,5.0,0.0,0.0,0.0
845f4e3ffffffff,1.0,0.0,0.0,0.0
845f4e5ffffffff,14.0,0.0,0.0,0.0
845f4e7ffffffff,14.0,0.0,0.0,0.0
845f581ffffffff,49.0,0.0,0.0,0.0
845f583ffffffff,581.0,0.0,0.0,0.0
845f587ffffffff,12.0,0.0,0.0,0.0
845f58bffffffff,7.0,0.0,0.0,0.0
845f595ffffffff,25.0,0.0,0.0,0.0
845f5b5ffffffff,942.0,0.0,49.0,0.0
845f5b9ffffffff,41.0,0.0,0.0,0.0
845f5bdffffffff,55.0,0.0,5.0,0.0
845f5d7ffffffff,3.0,0.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0,0.0
845f68bffffffff,5.0,0.0,0.0,0.0
8466005ffffffff,5.0,0.0,0.0,0.0
8466007ffffffff,3.0,0.0,0.0,0.0
846600dffffffff,2.0,0.0,0.0,0.0
8466013ffffffff,1.0,0.0,0.0,0.0
8466021ffffffff,223.0,0.0,0.0,0.0
8466023ffffffff,42.0,0.0,0.0,0.0
8466025ffffffff,86.0,0.0,0.0,0.0
8466027ffffffff,38.0,0.0,0.0,0.0
8466029ffffffff,111.0,0.0,0.0,0.0
846602bffffffff,21.0,0.0,0.0,0.0
846602dffffffff,2.0,0.0,0.0,0.0
8466031ffffffff,1.0,0.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0,0.0
8466035ffffffff,11.0,0.0,0.0,0.0
846603dffffffff,7.0,0.0,0.0,0.0
8466043ffffffff,5.0,0.0,0.0,0.0
8466045ffffffff,136.0,0.0,0.0,0.0
8466047ffffffff,15.0,0.0,0.0,0.0
846604dffffffff,4.0,0.0,0.0,0.0
8466053ffffffff,4.0,0.0,0.0,0.0
8466055ffffffff,11.0,0.0,0.0,0.0
8466057ffffffff,3.0,0.0,0.0,0.0
8466059ffffffff,1.0,0.0,0.0,0.0
8466061ffffffff,1.0,0.0,0.0,0.0
8466063ffffffff,12.0,0.0,0.0,0.0
8466067ffffffff,133.0,0.0,0.0,0.0
8466069ffffffff,10.0,0.0,0.0,0.0
846606bffffffff,26.0,0.0,0.0,0.0
8466085ffffffff,4.0,0.0,0.0,0.0
846608dffffffff,104.0,0.0,3.0,0.0
8466093ffffffff,4.0,0.0,0.0,0.0
8466097ffffffff,6.0,0.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0,0.0
84660a5ffffffff,10.0,0.0,0.0,0.0
84660a7ffffffff,157.0,0.0,3.0,0.0
84660a9ffffffff,4.0,0.0,0.0,0.0
84660abffffffff,2.0,0.0,0.0,0.0
84660adffffffff,2.0,0.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0,0.0
84660c9ffffffff,2.0,0.0,0.0,0.0
84660cbffffffff,87.0,0.0,0.0,0.0
84660d1ffffffff,11.0,0.0,0.0,0.0
84660d3ffffffff,13.0,0.0,0.0,0.0
84660d9ffffffff,9.0,0.0,0.0,0.0
84660dbffffffff,3.0,0.0,0.0,0.0
84660e1ffffffff,11.0,0.0,0.0,0.0
84660e3ffffffff,1.0,0.0,0.0,0.0
84660e7ffffffff,14.0,0.0,0.0,0.0
84660e9ffffffff,10.0,0.0,0.0,0.0
84660ebffffffff,19.0,0.0,0.0,0.0
8466103ffffffff,3.0,0.0,0.0,0.0
8466107ffffffff,781.0,55.0,0.0,0.0
8466113ffffffff,76.0,0.0,0.0,0.0
8466117ffffffff,17.0,0.0,0.0,0.0
8466119ffffffff,209.0,0.0,0.0,0.0
846611bffffffff,6.0,0.0,0.0,0.0
8466139ffffffff,343.0,18.0,0.0,0.0
846613bffffffff,7.0,0.0,0.0,0.0
8466153ffffffff,42.0,0.0,0.0,0.0
846615bffffffff,10.0,0.0,0.0,0.0
8466163ffffffff,4.0,0.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0,0.0
8466191ffffffff,151.0,0.0,1.0,0.0
8466193ffffffff,308.0,0.0,5.0,0.0
8466197ffffffff,50.0,0.0,0.0,0.0
8466199ffffffff,59.0,0.0,0.0,0.0
846619bffffffff,272.0,0.0,17.0,0.0
846619dffffffff,4.0,0.0,0.0,0.0
84661a5ffffffff,93.0,1.0,0.0,0.0
84661a7ffffffff,1.0,0.0,0.0,0.0
84661adffffffff,14.0,0.0,0.0,0.0
84661b1ffffffff,24.0,0.0,0.0,0.0
84661b7ffffffff,21.0,0.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0
84661bdffffffff,5.0,0.0,0.0,0.0
84661c1ffffffff,10.0,0.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0,0.0
84661c9ffffffff,23.0,0.0,0.0,0.0
84661cbffffffff,21.0,0.0,0.0,0.0
84661cdffffffff,34.0,0.0,0.0,0.0
