cell_id,Anser albifrons,Anser albifrons flavirostris,Anser albifrons albifrons,Anser albifrons gambelli/sponsa,Anser albifrons elgasi
830126fffffffff,5.0,0.0,0.0,0.0,0.0
830130fffffffff,3.0,0.0,0.0,0.0,0.0
830135fffffffff,1.0,0.0,0.0,0.0,0.0
8301b3fffffffff,2.0,0.0,0.0,0.0,0.0
83025cfffffffff,2.0,0.0,0.0,0.0,0.0
8302c0fffffffff,2.0,0.0,0.0,0.0,0.0
8302c2fffffffff,1.0,0.0,0.0,0.0,0.0
8302c3fffffffff,1.0,0.0,0.0,0.0,0.0
8302c8fffffffff,4.0,0.0,0.0,0.0,0.0
8302cafffffffff,235.0,0.0,0.0,0.0,0.0
8302cefffffffff,3.0,0.0,0.0,0.0,0.0
8302d8fffffffff,2.0,0.0,0.0,0.0,0.0
8302dcfffffffff,5.0,0.0,0.0,0.0,0.0
8302ddfffffffff,90.0,0.0,0.0,0.0,0.0
8302defffffffff,3.0,0.0,0.0,0.0,0.0
8302e8fffffffff,2.0,0.0,0.0,0.0,0.0
8302edfffffffff,2.0,0.0,0.0,0.0,0.0
83041afffffffff,49.0,0.0,0.0,0.0,0.0
8304ccfffffffff,8.0,0.0,0.0,0.0,0.0
8304cdfffffffff,11.0,0.0,0.0,0.0,0.0
8304ebfffffffff,8.0,0.0,0.0,0.0,0.0
83058cfffffffff,43.0,0.0,3.0,0.0,0.0
830741fffffffff,13.0,1.0,0.0,0.0,0.0
830743fffffffff,90.0,3.0,0.0,0.0,0.0
830744fffffffff,2.0,0.0,0.0,0.0,0.0
830746fffffffff,4.0,2.0,0.0,0.0,0.0
83074efffffffff,4.0,0.0,0.0,0.0,0.0
830758fffffffff,6.0,0.0,0.0,0.0,0.0
83075cfffffffff,15.0,6.0,0.0,0.0,0.0
83075dfffffffff,19.0,10.0,0.0,0.0,0.0
83075efffffffff,2.0,0.0,0.0,0.0,0.0
830762fffffffff,6.0,6.0,0.0,0.0,0.0
830763fffffffff,3.0,0.0,0.0,0.0,0.0
830771fffffffff,2.0,2.0,0.0,0.0,0.0
830773fffffffff,5.0,5.0,0.0,0.0,0.0
830806fffffffff,3.0,0.0,0.0,0.0,0.0
830815fffffffff,2.0,0.0,2.0,0.0,0.0
830880fffffffff,10.0,0.0,0.0,0.0,0.0
830883fffffffff,26.0,0.0,0.0,0.0,0.0
830884fffffffff,1.0,0.0,0.0,0.0,0.0
830886fffffffff,112.0,0.0,0.0,0.0,0.0
830888fffffffff,5.0,0.0,2.0,0.0,0.0
830889fffffffff,5.0,0.0,0.0,0.0,0.0
83088afffffffff,15.0,0.0,0.0,0.0,0.0
830893fffffffff,14.0,0.0,0.0,0.0,0.0
830895fffffffff,5.0,0.0,0.0,0.0,0.0
830896fffffffff,12.0,0.0,0.0,0.0,0.0
830898fffffffff,28.0,0.0,0.0,0.0,0.0
830899fffffffff,114.0,0.0,17.0,0.0,0.0
83089afffffffff,207.0,0.0,0.0,0.0,0.0
83089bfffffffff,21.0,0.0,0.0,0.0,0.0
83089dfffffffff,55.0,0.0,0.0,0.0,0.0
83089efffffffff,37.0,0.0,0.0,0.0,0.0
8308a6fffffffff,2.0,0.0,0.0,0.0,0.0
8308aefffffffff,4.0,0.0,0.0,0.0,0.0
8308b0fffffffff,14.0,0.0,0.0,0.0,0.0
8308b1fffffffff,6.0,0.0,0.0,0.0,0.0
8308b3fffffffff,13.0,0.0,0.0,0.0,0.0
8308b5fffffffff,2.0,0.0,0.0,0.0,0.0
8308c2fffffffff,1.0,0.0,0.0,0.0,0.0
8308d5fffffffff,13.0,0.0,0.0,0.0,0.0
8308d6fffffffff,2.0,0.0,0.0,0.0,0.0
8308d8fffffffff,1.0,0.0,0.0,0.0,0.0
830982fffffffff,10.0,0.0,2.0,0.0,0.0
830991fffffffff,18.0,0.0,2.0,0.0,0.0
830998fffffffff,1.0,0.0,0.0,0.0,0.0
830999fffffffff,3.0,0.0,2.0,0.0,0.0
83099efffffffff,2.0,0.0,2.0,0.0,0.0
830c01fffffffff,4.0,0.0,0.0,0.0,0.0
830c03fffffffff,111.0,0.0,0.0,2.0,0.0
830c04fffffffff,1.0,0.0,0.0,0.0,0.0
830c14fffffffff,784.0,0.0,0.0,0.0,0.0
830c15fffffffff,17.0,0.0,0.0,0.0,0.0
