cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
8266d7fffffffff,41.0,7.0,4.0
8266dffffffffff,14.0,8.0,4.0
828b27fffffffff,3.0,0.0,0.0
828b67fffffffff,6.0,0.0,0.0
828e67fffffffff,10.0,4.0,3.0
828e6ffffffffff,13.0,7.0,6.0
828e77fffffffff,21.0,0.0,1.0
828f0ffffffffff,11.0,0.0,0.0
828f2ffffffffff,55.0,3.0,1.0
828f57fffffffff,13.0,0.0,0.0
828f5ffffffffff,7.0,0.0,0.0
82b207fffffffff,21.0,0.0,0.0
82b21ffffffffff,11.0,0.0,0.0
82b22ffffffffff,1.0,0.0,0.0
82b25ffffffffff,4.0,0.0,0.0
82b2c7fffffffff,4.0,0.0,0.0
82b307fffffffff,3.0,0.0,0.0
82b30ffffffffff,8.0,0.0,0.0
82b327fffffffff,19.0,0.0,0.0
82b32ffffffffff,2.0,0.0,0.0
82b337fffffffff,4.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0
82b357fffffffff,58.0,0.0,0.0
82b35ffffffffff,8.0,0.0,0.0
