cell_id,Psittacula longicauda,Psittacula longicauda tytleri,Psittacula longicauda nicobarica,Psittacula longicauda longicauda/defontainei,Psittacula longicauda modesta
84640b9ffffffff,3.0,3.0,0.0,0.0,0.0
846428bffffffff,5.0,2.0,3.0,0.0,0.0
8464e49ffffffff,24.0,24.0,0.0,0.0,0.0
8464e4dffffffff,1.0,1.0,0.0,0.0,0.0
8464e6dffffffff,2.0,0.0,0.0,0.0,0.0
8465005ffffffff,9.0,0.0,0.0,0.0,0.0
8465015ffffffff,5.0,0.0,0.0,0.0,0.0
8465029ffffffff,6.0,0.0,0.0,0.0,0.0
8465033ffffffff,101.0,0.0,0.0,2.0,0.0
8465043ffffffff,4.0,0.0,0.0,0.0,0.0
8465059ffffffff,1.0,0.0,0.0,0.0,0.0
8465063ffffffff,2.0,0.0,0.0,0.0,0.0
84651d1ffffffff,2.0,0.0,0.0,0.0,0.0
846520dffffffff,80.0,0.0,0.0,0.0,0.0
8465221ffffffff,2.0,0.0,0.0,0.0,0.0
8465231ffffffff,1.0,0.0,0.0,0.0,0.0
8465237ffffffff,5.0,0.0,0.0,0.0,0.0
8465263ffffffff,8.0,0.0,0.0,0.0,0.0
8468189ffffffff,21.0,0.0,0.0,0.0,0.0
848cf5bffffffff,2.0,0.0,0.0,0.0,2.0
