cell_id,Dryobates pubescens,Dryobates pubescens pubescens/medianus,Dryobates pubescens leucurus/glacialis,Dryobates pubescens gairdnerii/turati
820c5ffffffffff,10.0,0.0,0.0,0.0
820c77fffffffff,12.0,3.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0,0.0
820ecffffffffff,2.0,0.0,0.0,0.0
821257fffffffff,2.0,2.0,0.0,0.0
82125ffffffffff,1.0,0.0,0.0,0.0
821287fffffffff,4.0,0.0,0.0,0.0
821297fffffffff,3.0,0.0,0.0,0.0
8212b7fffffffff,9.0,0.0,0.0,0.0
8212c7fffffffff,2.0,0.0,0.0,0.0
8212cffffffffff,19.0,2.0,0.0,0.0
8212dffffffffff,2.0,0.0,1.0,1.0
8212effffffffff,3.0,0.0,0.0,0.0
821387fffffffff,17.0,0.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0,0.0
82139ffffffffff,5.0,0.0,0.0,0.0
821aa7fffffffff,35.0,0.0,0.0,0.0
821b9ffffffffff,21.0,0.0,0.0,0.0
8222dffffffffff,3.0,0.0,0.0,0.0
822607fffffffff,5.0,5.0,0.0,0.0
82260ffffffffff,90.0,83.0,0.0,0.0
822617fffffffff,1.0,0.0,0.0,0.0
82261ffffffffff,7.0,7.0,0.0,0.0
822627fffffffff,7.0,0.0,0.0,0.0
82262ffffffffff,15.0,7.0,0.0,0.0
822637fffffffff,2.0,2.0,0.0,0.0
822647fffffffff,69.0,3.0,0.0,0.0
82264ffffffffff,316.0,276.0,0.0,0.0
822657fffffffff,58.0,10.0,0.0,0.0
82265ffffffffff,40.0,36.0,0.0,0.0
822667fffffffff,43.0,9.0,0.0,0.0
82266ffffffffff,13.0,0.0,0.0,0.0
822677fffffffff,4.0,2.0,0.0,0.0
822687fffffffff,213.0,37.0,1.0,2.0
82268ffffffffff,339.0,237.0,37.0,0.0
822697fffffffff,163.0,0.0,41.0,0.0
82269ffffffffff,5.0,0.0,0.0,0.0
8226a7fffffffff,5.0,2.0,0.0,0.0
8226affffffffff,84.0,17.0,19.0,0.0
8226b7fffffffff,3.0,0.0,3.0,0.0
8226c7fffffffff,4.0,2.0,0.0,0.0
8226cffffffffff,5.0,1.0,0.0,0.0
8226d7fffffffff,72.0,19.0,15.0,0.0
8226dffffffffff,13.0,0.0,0.0,0.0
8226e7fffffffff,12.0,4.0,0.0,0.0
8226effffffffff,3.0,0.0,0.0,0.0
8226f7fffffffff,28.0,9.0,12.0,0.0
82270ffffffffff,12.0,0.0,0.0,0.0
822747fffffffff,88.0,1.0,0.0,0.0
82274ffffffffff,1809.0,4.0,0.0,0.0
822757fffffffff,11.0,6.0,0.0,0.0
82275ffffffffff,83.0,2.0,0.0,0.0
822767fffffffff,47.0,1.0,0.0,0.0
82276ffffffffff,51.0,4.0,0.0,0.0
822777fffffffff,24.0,0.0,0.0,0.0
822787fffffffff,3.0,1.0,0.0,0.0
82278ffffffffff,2.0,2.0,0.0,0.0
822797fffffffff,9.0,0.0,5.0,0.0
82279ffffffffff,3.0,3.0,0.0,0.0
8227a7fffffffff,3.0,0.0,0.0,0.0
8227affffffffff,3.0,0.0,0.0,0.0
822807fffffffff,4.0,0.0,0.0,3.0
822817fffffffff,51.0,0.0,0.0,8.0
82281ffffffffff,23.0,0.0,0.0,6.0
822837fffffffff,3457.0,0.0,0.0,796.0
822887fffffffff,61.0,0.0,8.0,0.0
82288ffffffffff,51.0,0.0,35.0,2.0
822897fffffffff,13.0,0.0,2.0,0.0
82289ffffffffff,12.0,0.0,4.0,0.0
8228a7fffffffff,1.0,0.0,0.0,0.0
8228affffffffff,2.0,0.0,2.0,0.0
8228b7fffffffff,8.0,0.0,4.0,0.0
8228c7fffffffff,3.0,0.0,0.0,2.0
8228d7fffffffff,9.0,0.0,0.0,7.0
8228dffffffffff,5.0,0.0,0.0,4.0
8228f7fffffffff,59.0,0.0,18.0,23.0
82291ffffffffff,9.0,0.0,0.0,5.0
822987fffffffff,28.0,0.0,0.0,0.0
82298ffffffffff,250.0,0.0,3.0,23.0
822997fffffffff,37.0,0.0,6.0,0.0
82299ffffffffff,1.0,0.0,0.0,0.0
8229a7fffffffff,46.0,0.0,0.0,9.0
8229affffffffff,21.0,0.0,0.0,2.0
8229b7fffffffff,31.0,0.0,3.0,0.0
