cell_id,Batrachostomus affinis,Batrachostomus affinis continentalis,Batrachostomus affinis affinis
826417fffffffff,39.0,18.0,0.0
826437fffffffff,91.0,15.0,7.0
826487fffffffff,13.0,0.0,0.0
826497fffffffff,14.0,4.0,0.0
826507fffffffff,76.0,0.0,4.0
82651ffffffffff,136.0,6.0,52.0
826527fffffffff,149.0,0.0,1.0
826587fffffffff,1.0,0.0,0.0
82658ffffffffff,1.0,0.0,0.0
826597fffffffff,39.0,0.0,0.0
82659ffffffffff,8.0,0.0,0.0
8265b7fffffffff,14.0,2.0,0.0
826817fffffffff,4.0,0.0,0.0
82681ffffffffff,78.0,0.0,12.0
828c97fffffffff,2.0,0.0,0.0
