cell_id,Lanius isabellinus,Lanius isabellinus isabellinus,Lanius isabellinus arenarius/tsaidamensis
821597fffffffff,10.0,0.0,0.0
82200ffffffffff,6.0,4.0,0.0
822017fffffffff,7.0,0.0,0.0
82201ffffffffff,21.0,10.0,0.0
822037fffffffff,4.0,0.0,0.0
82204ffffffffff,5.0,0.0,0.0
82205ffffffffff,10.0,0.0,0.0
8220b7fffffffff,23.0,0.0,0.0
8220c7fffffffff,4.0,0.0,0.0
8220cffffffffff,34.0,0.0,9.0
8220e7fffffffff,16.0,4.0,0.0
8220effffffffff,7.0,0.0,0.0
8220f7fffffffff,4.0,0.0,0.0
822157fffffffff,1.0,0.0,0.0
82218ffffffffff,1.0,0.0,0.0
82219ffffffffff,19.0,0.0,0.0
822407fffffffff,67.0,34.0,0.0
82240ffffffffff,57.0,17.0,0.0
822417fffffffff,1.0,0.0,0.0
82241ffffffffff,4.0,0.0,0.0
82242ffffffffff,8.0,2.0,0.0
822437fffffffff,17.0,2.0,0.0
822447fffffffff,15.0,0.0,0.0
82244ffffffffff,1.0,0.0,0.0
822457fffffffff,51.0,6.0,0.0
822467fffffffff,21.0,0.0,0.0
82246ffffffffff,4.0,0.0,0.0
822477fffffffff,12.0,0.0,0.0
822487fffffffff,25.0,0.0,5.0
82248ffffffffff,5.0,0.0,0.0
822497fffffffff,10.0,0.0,2.0
82249ffffffffff,21.0,0.0,3.0
8224c7fffffffff,4.0,0.0,0.0
8224d7fffffffff,5.0,0.0,0.0
8224e7fffffffff,2.0,2.0,0.0
822507fffffffff,20.0,0.0,0.0
822517fffffffff,243.0,43.0,0.0
82251ffffffffff,5.0,0.0,0.0
822547fffffffff,8.0,0.0,0.0
82255ffffffffff,8.0,2.0,0.0
82256ffffffffff,2.0,0.0,0.0
8225a7fffffffff,20.0,0.0,0.0
8225affffffffff,18.0,3.0,0.0
8225b7fffffffff,13.0,0.0,0.0
822c87fffffffff,63.0,11.0,0.0
822c8ffffffffff,20.0,2.0,0.0
822c97fffffffff,1678.0,1034.0,0.0
822c9ffffffffff,27.0,9.0,0.0
822ca7fffffffff,13.0,0.0,0.0
822caffffffffff,6.0,0.0,0.0
822cc7fffffffff,50.0,7.0,0.0
822ccffffffffff,10.0,0.0,0.0
822cd7fffffffff,37.0,4.0,0.0
822cdffffffffff,29.0,0.0,0.0
822cf7fffffffff,186.0,25.0,0.0
822db7fffffffff,64.0,26.0,0.0
823127fffffffff,4.0,1.0,0.0
823ca7fffffffff,3.0,0.0,0.0
823cb7fffffffff,21.0,0.0,0.0
823d17fffffffff,15.0,0.0,0.0
823d67fffffffff,6.0,0.0,0.0
823d6ffffffffff,2.0,0.0,0.0
823d87fffffffff,168.0,0.0,0.0
823d97fffffffff,49.0,0.0,0.0
823d9ffffffffff,65.0,0.0,0.0
823da7fffffffff,1121.0,0.0,0.0
823daffffffffff,15.0,0.0,0.0
823db7fffffffff,100.0,0.0,0.0
823e5ffffffffff,3.0,0.0,0.0
823e6ffffffffff,30.0,17.0,0.0
824207fffffffff,3.0,0.0,0.0
82420ffffffffff,1.0,0.0,0.0
824227fffffffff,15.0,0.0,0.0
824237fffffffff,15.0,4.0,0.0
82424ffffffffff,49.0,0.0,0.0
824257fffffffff,281.0,0.0,0.0
82425ffffffffff,70.0,0.0,0.0
82426ffffffffff,8.0,0.0,0.0
8242c7fffffffff,2191.0,0.0,0.0
8242cffffffffff,1058.0,0.0,0.0
8242d7fffffffff,20.0,0.0,0.0
8242dffffffffff,568.0,0.0,0.0
8242e7fffffffff,117.0,0.0,0.0
8242effffffffff,65.0,0.0,0.0
824307fffffffff,2.0,0.0,0.0
82430ffffffffff,3.0,0.0,0.0
824317fffffffff,36.0,5.0,0.0
82431ffffffffff,74.0,10.0,0.0
824327fffffffff,10.0,0.0,0.0
824337fffffffff,28.0,3.0,0.0
824357fffffffff,2.0,0.0,0.0
824367fffffffff,166.0,2.0,0.0
824377fffffffff,6.0,0.0,0.0
824387fffffffff,11.0,4.0,0.0
82438ffffffffff,103.0,47.0,0.0
824397fffffffff,35.0,20.0,0.0
82439ffffffffff,40.0,21.0,0.0
8243a7fffffffff,661.0,432.0,0.0
8243affffffffff,1369.0,621.0,0.0
8243b7fffffffff,1.0,1.0,0.0
825207fffffffff,4.0,1.0,0.0
825217fffffffff,18.0,4.0,0.0
82521ffffffffff,30.0,7.0,0.0
82522ffffffffff,1.0,0.0,0.0
825237fffffffff,4.0,0.0,0.0
82524ffffffffff,123.0,63.0,0.0
82526ffffffffff,48.0,25.0,0.0
825287fffffffff,6.0,0.0,0.0
82528ffffffffff,1.0,0.0,0.0
825297fffffffff,2.0,0.0,0.0
82529ffffffffff,16.0,0.0,0.0
8252affffffffff,1.0,0.0,0.0
8252d7fffffffff,12.0,0.0,0.0
8252dffffffffff,2.0,0.0,0.0
825317fffffffff,1.0,1.0,0.0
825347fffffffff,47.0,45.0,0.0
82534ffffffffff,86.0,65.0,0.0
825357fffffffff,9.0,5.0,0.0
825367fffffffff,209.0,82.0,0.0
82536ffffffffff,274.0,83.0,0.0
825377fffffffff,11.0,3.0,0.0
8253a7fffffffff,3.0,0.0,0.0
8253affffffffff,7.0,3.0,0.0
826087fffffffff,15.0,0.0,0.0
82608ffffffffff,232.0,0.0,0.0
826097fffffffff,59.0,0.0,0.0
82609ffffffffff,48.0,0.0,0.0
826327fffffffff,11.0,2.0,0.0
826337fffffffff,165.0,66.0,0.0
826a47fffffffff,2.0,0.0,0.0
826a5ffffffffff,5.0,0.0,0.0
826a6ffffffffff,3.0,3.0,0.0
826ac7fffffffff,6.0,0.0,0.0
826acffffffffff,13.0,0.0,0.0
826adffffffffff,2.0,0.0,0.0
826ae7fffffffff,3.0,3.0,0.0
826aeffffffffff,62.0,0.0,0.0
827a47fffffffff,156.0,0.0,0.0
827a4ffffffffff,13.0,0.0,0.0
827a67fffffffff,256.0,0.0,0.0
827a6ffffffffff,172.0,0.0,0.0
827a77fffffffff,3.0,0.0,0.0
827acffffffffff,49.0,5.0,0.0
827adffffffffff,140.0,5.0,0.0
827aeffffffffff,39.0,6.0,0.0
827b4ffffffffff,13.0,0.0,0.0
827b5ffffffffff,6.0,0.0,0.0
829697fffffffff,130.0,0.0,0.0
82969ffffffffff,7.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296b7fffffffff,1.0,0.0,0.0
