cell_id,Picumnus spilogaster,Picumnus spilogaster spilogaster/orinocensis,Picumnus spilogaster pallidus
845f083ffffffff,95.0,0.0,0.0
845f085ffffffff,3.0,0.0,0.0
845f087ffffffff,3.0,0.0,0.0
845f08dffffffff,1.0,0.0,0.0
845f095ffffffff,272.0,0.0,0.0
845f097ffffffff,3.0,0.0,0.0
845f0b9ffffffff,6.0,0.0,0.0
845f291ffffffff,35.0,0.0,0.0
845f293ffffffff,1.0,0.0,0.0
845f297ffffffff,4.0,0.0,0.0
845f299ffffffff,24.0,0.0,0.0
845f29bffffffff,1.0,0.0,0.0
845f29dffffffff,1.0,0.0,0.0
845f2b9ffffffff,1.0,0.0,0.0
845f2d1ffffffff,2.0,0.0,0.0
845f403ffffffff,1.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0
845f423ffffffff,2.0,0.0,0.0
845f42bffffffff,4.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0
845f4e5ffffffff,1.0,0.0,0.0
845f703ffffffff,1.0,0.0,0.0
8466647ffffffff,6.0,0.0,0.0
846666bffffffff,2.0,0.0,0.0
846675dffffffff,7.0,1.0,0.0
8480465ffffffff,1.0,0.0,0.0
848054bffffffff,9.0,0.0,1.0
8480559ffffffff,13.0,0.0,2.0
8480737ffffffff,16.0,0.0,3.0
848ada3ffffffff,20.0,2.0,0.0
848ada9ffffffff,97.0,17.0,0.0
848adbdffffffff,2.0,0.0,0.0
848adc5ffffffff,5.0,0.0,0.0
