cell_id,Cypsiurus gracilis,Cypsiurus gracilis griveaudi,Cypsiurus gracilis gracilis
83a204fffffffff,10.0,0.0,6.0
83a213fffffffff,1.0,0.0,0.0
83a214fffffffff,306.0,0.0,139.0
83a215fffffffff,26.0,0.0,9.0
83a216fffffffff,10.0,0.0,4.0
83a220fffffffff,2.0,0.0,0.0
83a222fffffffff,55.0,0.0,24.0
83a223fffffffff,2.0,0.0,2.0
83a230fffffffff,3.0,0.0,0.0
83a231fffffffff,144.0,0.0,78.0
83a233fffffffff,4.0,0.0,2.0
83a235fffffffff,22.0,0.0,10.0
83a236fffffffff,2.0,0.0,0.0
83a2a3fffffffff,18.0,0.0,9.0
83a2a4fffffffff,66.0,0.0,17.0
83a2a6fffffffff,4.0,0.0,3.0
83a2aefffffffff,22.0,0.0,12.0
83a304fffffffff,21.0,7.0,0.0
83a308fffffffff,12.0,0.0,5.0
83a309fffffffff,7.0,0.0,2.0
83a30afffffffff,2.0,0.0,2.0
83a30cfffffffff,54.0,0.0,6.0
83a30dfffffffff,9.0,0.0,1.0
83a30efffffffff,4.0,0.0,0.0
83a318fffffffff,80.0,0.0,37.0
83a319fffffffff,213.0,0.0,91.0
83a31bfffffffff,21.0,0.0,8.0
83a31cfffffffff,10.0,0.0,4.0
83a31dfffffffff,104.0,0.0,40.0
83a322fffffffff,4.0,2.0,0.0
83a331fffffffff,19.0,5.0,0.0
83a335fffffffff,20.0,4.0,0.0
83a352fffffffff,1.0,0.0,0.0
83a354fffffffff,1.0,0.0,0.0
83a356fffffffff,99.0,0.0,38.0
83a372fffffffff,1.0,0.0,0.0
83a376fffffffff,30.0,0.0,8.0
83a38bfffffffff,223.0,0.0,98.0
83a38cfffffffff,12.0,0.0,7.0
83a38dfffffffff,20.0,0.0,11.0
83a38efffffffff,2.0,0.0,0.0
83a399fffffffff,54.0,0.0,21.0
83a3a9fffffffff,2.0,0.0,2.0
83a3abfffffffff,15.0,0.0,10.0
83a3adfffffffff,3.0,0.0,3.0
