cell_id,Vireo chivi,Vireo chivi [agilis Group],Vireo chivi chivi/diversus
835f41fffffffff,3.0,3.0,0.0
835f48fffffffff,10.0,0.0,0.0
835f4afffffffff,3.0,0.0,0.0
835f4bfffffffff,2.0,0.0,0.0
835f58fffffffff,4.0,1.0,3.0
835f5bfffffffff,22.0,17.0,2.0
836620fffffffff,2.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
836660fffffffff,3.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0
8366d0fffffffff,9.0,9.0,0.0
8366d3fffffffff,8.0,8.0,0.0
8366d5fffffffff,5.0,5.0,0.0
8366dcfffffffff,1.0,0.0,0.0
8366defffffffff,42.0,0.0,1.0
8366e6fffffffff,5.0,0.0,0.0
836741fffffffff,3.0,0.0,0.0
836743fffffffff,11.0,2.0,0.0
836746fffffffff,12.0,0.0,0.0
83674afffffffff,2.0,0.0,0.0
83674cfffffffff,14.0,0.0,0.0
83674efffffffff,3.0,0.0,0.0
836753fffffffff,1.0,0.0,0.0
836759fffffffff,4.0,4.0,0.0
83675afffffffff,1.0,0.0,0.0
83675cfffffffff,3.0,0.0,0.0
83675dfffffffff,1.0,0.0,0.0
836769fffffffff,2.0,0.0,0.0
838010fffffffff,1.0,1.0,0.0
838014fffffffff,2.0,0.0,2.0
838024fffffffff,4.0,0.0,0.0
838036fffffffff,8.0,8.0,0.0
838044fffffffff,2.0,1.0,1.0
83804cfffffffff,1.0,0.0,1.0
838054fffffffff,3.0,2.0,1.0
838066fffffffff,1.0,1.0,0.0
838071fffffffff,1.0,1.0,0.0
838119fffffffff,2.0,0.0,0.0
838124fffffffff,4.0,2.0,0.0
838125fffffffff,2.0,0.0,0.0
838132fffffffff,1.0,0.0,1.0
838171fffffffff,1.0,0.0,1.0
838180fffffffff,4.0,0.0,4.0
838181fffffffff,2.0,0.0,2.0
838183fffffffff,17.0,0.0,17.0
838185fffffffff,1.0,0.0,1.0
83818bfffffffff,2.0,0.0,2.0
83818dfffffffff,9.0,0.0,9.0
83818efffffffff,19.0,0.0,19.0
83819dfffffffff,2.0,2.0,0.0
8381a1fffffffff,2.0,0.0,2.0
838a05fffffffff,1.0,0.0,0.0
838a31fffffffff,6.0,0.0,6.0
838a82fffffffff,9.0,1.0,8.0
838a91fffffffff,2.0,0.0,2.0
838a9cfffffffff,7.0,0.0,7.0
838af2fffffffff,3.0,1.0,2.0
838af6fffffffff,1.0,0.0,1.0
838b20fffffffff,12.0,0.0,12.0
838b21fffffffff,1.0,0.0,1.0
838b22fffffffff,5.0,0.0,5.0
838b26fffffffff,6.0,0.0,6.0
838b2cfffffffff,1.0,0.0,1.0
838b2efffffffff,1.0,0.0,1.0
838b51fffffffff,2.0,2.0,0.0
838b5cfffffffff,2.0,0.0,2.0
838b61fffffffff,3.0,1.0,0.0
838b63fffffffff,3.0,3.0,0.0
838b69fffffffff,1.0,0.0,0.0
838b6cfffffffff,2.0,2.0,0.0
838b71fffffffff,1.0,0.0,1.0
838b74fffffffff,1.0,0.0,0.0
838b84fffffffff,3.0,0.0,3.0
838e6dfffffffff,3.0,3.0,0.0
838f0dfffffffff,2.0,2.0,0.0
838f2afffffffff,12.0,12.0,0.0
838f2bfffffffff,5.0,5.0,0.0
838f2efffffffff,3.0,3.0,0.0
838f48fffffffff,7.0,0.0,7.0
838f72fffffffff,3.0,1.0,0.0
838f74fffffffff,1.0,0.0,0.0
83a801fffffffff,3.0,0.0,0.0
83a806fffffffff,68.0,0.0,16.0
83a810fffffffff,74.0,0.0,33.0
83a811fffffffff,2.0,0.0,2.0
83a812fffffffff,85.0,0.0,24.0
83a813fffffffff,5.0,0.0,2.0
83a814fffffffff,16.0,0.0,13.0
83a815fffffffff,38.0,0.0,29.0
83a816fffffffff,1.0,0.0,1.0
83a818fffffffff,1.0,0.0,1.0
83a81afffffffff,14.0,0.0,0.0
83a81cfffffffff,1.0,0.0,1.0
83a81dfffffffff,4.0,0.0,4.0
83a81efffffffff,94.0,0.0,49.0
83a825fffffffff,2.0,0.0,0.0
83a826fffffffff,12.0,0.0,0.0
83a82efffffffff,2.0,0.0,0.0
83a831fffffffff,5.0,0.0,3.0
83a833fffffffff,11.0,0.0,0.0
83a835fffffffff,5.0,0.0,0.0
83a881fffffffff,3.0,3.0,0.0
83a882fffffffff,1.0,1.0,0.0
83a883fffffffff,3.0,0.0,0.0
83a886fffffffff,4.0,4.0,0.0
83a88dfffffffff,1.0,0.0,0.0
83a88efffffffff,2.0,2.0,0.0
83a891fffffffff,2.0,2.0,0.0
83a895fffffffff,4.0,4.0,0.0
83a8a0fffffffff,2.0,0.0,0.0
83a8a5fffffffff,6.0,0.0,0.0
83a8a9fffffffff,2.0,2.0,0.0
83a8c0fffffffff,7.0,2.0,0.0
83a8c1fffffffff,1.0,0.0,0.0
83a8c2fffffffff,1.0,0.0,1.0
83a8c6fffffffff,1.0,0.0,1.0
83a8d1fffffffff,1.0,0.0,1.0
83a8f4fffffffff,2.0,0.0,0.0
83a901fffffffff,1.0,1.0,0.0
83a918fffffffff,2.0,0.0,0.0
83a919fffffffff,6.0,0.0,0.0
83a91bfffffffff,12.0,0.0,0.0
83a91dfffffffff,2.0,0.0,0.0
83a92efffffffff,1.0,0.0,1.0
83a941fffffffff,4.0,0.0,0.0
83a944fffffffff,7.0,0.0,0.0
83a945fffffffff,2.0,0.0,0.0
83a946fffffffff,3.0,0.0,3.0
83a94dfffffffff,1.0,0.0,0.0
83a94efffffffff,1.0,0.0,0.0
83a950fffffffff,8.0,0.0,0.0
83a953fffffffff,19.0,13.0,4.0
83a961fffffffff,71.0,0.0,0.0
83a962fffffffff,3.0,0.0,0.0
83a965fffffffff,37.0,0.0,0.0
83a96afffffffff,2.0,0.0,0.0
83a96cfffffffff,10.0,0.0,0.0
83a96efffffffff,3.0,0.0,0.0
83b209fffffffff,3.0,0.0,0.0
83b226fffffffff,2.0,0.0,0.0
83b243fffffffff,17.0,0.0,0.0
83b248fffffffff,2.0,0.0,0.0
83b249fffffffff,11.0,0.0,0.0
83b24cfffffffff,1.0,0.0,0.0
83b24dfffffffff,134.0,0.0,0.0
83b251fffffffff,7.0,0.0,0.0
83b25cfffffffff,2.0,0.0,0.0
83b268fffffffff,5.0,0.0,0.0
83b269fffffffff,9.0,0.0,0.0
83b26bfffffffff,25.0,0.0,0.0
83b26dfffffffff,15.0,0.0,0.0
83b272fffffffff,2.0,0.0,0.0
83b275fffffffff,1.0,0.0,0.0
83b2e9fffffffff,41.0,0.0,0.0
83b325fffffffff,4.0,0.0,4.0
83b342fffffffff,62.0,0.0,0.0
83b344fffffffff,4.0,0.0,0.0
83b346fffffffff,2.0,0.0,0.0
83b35afffffffff,5.0,0.0,0.0
83b35cfffffffff,4.0,0.0,0.0
83b35efffffffff,2.0,0.0,0.0
83b362fffffffff,2.0,0.0,2.0
83b366fffffffff,11.0,0.0,10.0
83b371fffffffff,1.0,0.0,1.0
83c2c9fffffffff,19.0,0.0,0.0
83c2cafffffffff,2.0,0.0,0.0
83c2cbfffffffff,1.0,0.0,0.0
83c2cdfffffffff,61.0,0.0,0.0
83c2cefffffffff,5.0,0.0,0.0
83c2d6fffffffff,1.0,0.0,0.0
83c2e2fffffffff,10.0,0.0,9.0
83c2e3fffffffff,17.0,0.0,14.0
83c2ebfffffffff,8.0,0.0,0.0
83c2f3fffffffff,3.0,0.0,0.0
83c34bfffffffff,2.0,0.0,0.0
