cell_id,Larus michahellis,Larus michahellis atlantis,Larus michahellis michahellis
83395afffffffff,11.0,0.0,0.0
83395cfffffffff,6.0,0.0,0.0
833968fffffffff,1.0,0.0,1.0
833970fffffffff,6.0,0.0,4.0
833971fffffffff,2.0,0.0,0.0
833972fffffffff,18.0,0.0,0.0
833973fffffffff,185.0,0.0,77.0
833974fffffffff,104.0,0.0,0.0
833975fffffffff,10.0,0.0,2.0
833980fffffffff,2.0,0.0,0.0
8339a8fffffffff,17.0,0.0,3.0
833e68fffffffff,18.0,0.0,2.0
833f4dfffffffff,1.0,0.0,0.0
833f62fffffffff,2.0,0.0,0.0
833f64fffffffff,7.0,0.0,0.0
833f66fffffffff,7.0,0.0,0.0
834895fffffffff,2.0,0.0,0.0
8354a9fffffffff,5.0,0.0,0.0
8354acfffffffff,7.0,0.0,0.0
8354adfffffffff,4.0,0.0,0.0
