cell_id,Neomixis striatigula,Neomixis striatigula striatigula/sclateri,Neomixis striatigula pallidior
82a217fffffffff,256.0,21.0,0.0
82a227fffffffff,198.0,17.0,0.0
82a237fffffffff,351.0,38.0,0.0
82a2a7fffffffff,122.0,2.0,21.0
82a2affffffffff,33.0,0.0,0.0
82a30ffffffffff,44.0,4.0,0.0
82a31ffffffffff,1.0,0.0,0.0
82a357fffffffff,8.0,0.0,0.0
82a38ffffffffff,46.0,0.0,6.0
82a39ffffffffff,430.0,4.0,84.0
82a3affffffffff,2.0,0.0,0.0
