cell_id,Ketupa zeylonensis,Ketupa zeylonensis semenowi,Ketupa zeylonensis [zeylonensis Group]
822d17fffffffff,14.0,0.0,0.0
823c0ffffffffff,6.0,0.0,0.0
823c1ffffffffff,1.0,0.0,0.0
823c37fffffffff,1.0,0.0,0.0
823c87fffffffff,5.0,0.0,0.0
823c8ffffffffff,2.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0
823ceffffffffff,3.0,0.0,0.0
823cf7fffffffff,18.0,0.0,0.0
823d17fffffffff,16.0,0.0,0.0
823d37fffffffff,9.0,0.0,0.0
823d87fffffffff,8.0,0.0,0.0
823d9ffffffffff,3.0,0.0,0.0
823da7fffffffff,8.0,0.0,0.0
823daffffffffff,8.0,0.0,2.0
823f6ffffffffff,18.0,0.0,0.0
8242cffffffffff,21.0,0.0,0.0
826007fffffffff,2.0,0.0,0.0
826017fffffffff,74.0,0.0,2.0
82601ffffffffff,46.0,0.0,0.0
826027fffffffff,3.0,0.0,1.0
826037fffffffff,172.0,0.0,0.0
82608ffffffffff,74.0,0.0,0.0
826097fffffffff,4.0,0.0,0.0
82609ffffffffff,20.0,0.0,0.0
8260a7fffffffff,10.0,0.0,0.0
8260affffffffff,6.0,0.0,2.0
82611ffffffffff,3.0,0.0,0.0
82618ffffffffff,22.0,0.0,0.0
8264a7fffffffff,3.0,0.0,3.0
82651ffffffffff,45.0,0.0,8.0
826527fffffffff,6.0,0.0,0.0
82659ffffffffff,3.0,0.0,0.0
