cell_id,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius erythropygius/parvus,Xiphorhynchus erythropygius [aequatorialis Group]
824527fffffffff,5.0,1.0,0.0
824997fffffffff,11.0,0.0,0.0
8249b7fffffffff,6.0,0.0,0.0
826617fffffffff,41.0,0.0,0.0
82661ffffffffff,3.0,0.0,0.0
8266a7fffffffff,27.0,0.0,0.0
8266b7fffffffff,25.0,0.0,0.0
8266d7fffffffff,7.0,0.0,1.0
82679ffffffffff,14.0,0.0,0.0
826d27fffffffff,2.0,2.0,0.0
826d2ffffffffff,13.0,9.0,0.0
826d37fffffffff,3.0,1.0,0.0
826d6ffffffffff,11.0,0.0,6.0
828f0ffffffffff,2.0,0.0,2.0
828f2ffffffffff,5.0,0.0,0.0
