cell_id,Lepidocolaptes fuscicapillus,Lepidocolaptes fuscicapillus fuscicapillus,Lepidocolaptes fuscicapillus layardi
828047fffffffff,212.0,3.0,208.0
828067fffffffff,20.0,0.0,20.0
828077fffffffff,5.0,0.0,5.0
828147fffffffff,18.0,0.0,18.0
82814ffffffffff,279.0,0.0,279.0
82815ffffffffff,57.0,0.0,54.0
828a07fffffffff,42.0,36.0,0.0
828a17fffffffff,48.0,27.0,0.0
828a1ffffffffff,2.0,2.0,0.0
828a27fffffffff,16.0,15.0,0.0
828a37fffffffff,19.0,17.0,0.0
828a87fffffffff,58.0,30.0,11.0
828a97fffffffff,12.0,0.0,12.0
828a9ffffffffff,33.0,0.0,33.0
828aaffffffffff,48.0,46.0,0.0
828af7fffffffff,2.0,2.0,0.0
828b0ffffffffff,5.0,0.0,0.0
828b17fffffffff,4.0,2.0,0.0
828b1ffffffffff,3.0,2.0,0.0
828b57fffffffff,7.0,5.0,0.0
828b87fffffffff,31.0,0.0,21.0
828b8ffffffffff,13.0,0.0,4.0
828b9ffffffffff,319.0,0.0,283.0
828ba7fffffffff,21.0,0.0,20.0
828baffffffffff,3.0,0.0,0.0
82a85ffffffffff,1.0,0.0,1.0
82a8cffffffffff,14.0,0.0,14.0
