cell_id,Larus canus,Larus canus canus,Larus canus heinei,Larus canus kamtschatschensis
820127fffffffff,73.0,14.0,0.0,0.0
820137fffffffff,1233.0,220.0,0.0,0.0
820747fffffffff,525.0,173.0,0.0,0.0
82074ffffffffff,22.0,5.0,0.0,0.0
820757fffffffff,105.0,45.0,0.0,0.0
82075ffffffffff,626.0,205.0,0.0,0.0
820767fffffffff,96.0,53.0,0.0,0.0
820777fffffffff,346.0,231.0,0.0,0.0
820807fffffffff,113.0,4.0,0.0,0.0
820817fffffffff,558.0,67.0,0.0,0.0
82081ffffffffff,42.0,6.0,0.0,0.0
82082ffffffffff,33.0,5.0,0.0,0.0
820837fffffffff,133.0,1.0,0.0,0.0
820887fffffffff,965.0,318.0,0.0,0.0
82088ffffffffff,285.0,177.0,0.0,0.0
820897fffffffff,266.0,122.0,0.0,0.0
82089ffffffffff,2821.0,584.0,0.0,0.0
8208a7fffffffff,143.0,32.0,0.0,0.0
8208affffffffff,18.0,2.0,0.0,0.0
8208b7fffffffff,247.0,45.0,0.0,0.0
8208c7fffffffff,65.0,11.0,0.0,0.0
8208cffffffffff,146.0,12.0,0.0,0.0
8208d7fffffffff,319.0,39.0,0.0,0.0
8208dffffffffff,168.0,28.0,0.0,0.0
8208e7fffffffff,22.0,10.0,0.0,0.0
8208effffffffff,285.0,22.0,0.0,0.0
8208f7fffffffff,82.0,10.0,0.0,0.0
820937fffffffff,13.0,6.0,0.0,0.0
82094ffffffffff,79.0,2.0,0.0,0.0
82095ffffffffff,168.0,6.0,0.0,0.0
820987fffffffff,530.0,61.0,0.0,0.0
82098ffffffffff,259.0,34.0,0.0,0.0
820997fffffffff,517.0,43.0,0.0,0.0
82099ffffffffff,746.0,120.0,0.0,0.0
8209a7fffffffff,676.0,154.0,0.0,0.0
8209affffffffff,92.0,1.0,0.0,0.0
8209b7fffffffff,4.0,0.0,0.0,0.0
820a37fffffffff,15.0,0.0,12.0,0.0
820b8ffffffffff,1.0,0.0,1.0,0.0
820b9ffffffffff,3.0,0.0,1.0,0.0
820bb7fffffffff,3.0,0.0,1.0,0.0
821007fffffffff,1.0,0.0,0.0,0.0
821017fffffffff,19.0,0.0,0.0,0.0
821027fffffffff,11.0,0.0,0.0,0.0
821037fffffffff,2.0,0.0,0.0,0.0
821087fffffffff,1.0,0.0,0.0,0.0
821097fffffffff,2.0,0.0,0.0,0.0
8210a7fffffffff,1.0,0.0,0.0,0.0
8210c7fffffffff,69.0,0.0,8.0,0.0
8210d7fffffffff,3.0,0.0,0.0,0.0
8210dffffffffff,32.0,0.0,0.0,0.0
8210f7fffffffff,2.0,0.0,1.0,0.0
821107fffffffff,357.0,26.0,0.0,0.0
82110ffffffffff,7.0,0.0,0.0,0.0
821117fffffffff,48.0,0.0,0.0,0.0
821127fffffffff,264.0,53.0,0.0,0.0
82112ffffffffff,126.0,21.0,0.0,0.0
821137fffffffff,86.0,4.0,0.0,0.0
821157fffffffff,15.0,0.0,0.0,0.0
821167fffffffff,3.0,0.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0,0.0
821187fffffffff,82.0,1.0,5.0,0.0
82118ffffffffff,362.0,9.0,5.0,0.0
82119ffffffffff,8.0,0.0,0.0,0.0
8211a7fffffffff,11.0,0.0,0.0,0.0
8211affffffffff,927.0,67.0,17.0,0.0
8211b7fffffffff,2.0,0.0,0.0,0.0
821457fffffffff,3.0,0.0,0.0,3.0
8214affffffffff,2.0,0.0,0.0,0.0
8214cffffffffff,1.0,0.0,0.0,1.0
82154ffffffffff,7.0,0.0,7.0,0.0
82155ffffffffff,13.0,0.0,13.0,0.0
821597fffffffff,33.0,0.0,0.0,0.0
821617fffffffff,19.0,0.0,0.0,15.0
821637fffffffff,3.0,0.0,0.0,3.0
82165ffffffffff,2.0,0.0,0.0,2.0
821717fffffffff,2.0,0.0,0.0,2.0
82171ffffffffff,53.0,0.0,0.0,53.0
821747fffffffff,9.0,0.0,0.0,9.0
821757fffffffff,8.0,0.0,0.0,8.0
82176ffffffffff,11.0,0.0,3.0,2.0
82178ffffffffff,48.0,0.0,0.0,48.0
821807fffffffff,360.0,92.0,0.0,0.0
