cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
83941bfffffffff,3.0,0.0,0.0
83945afffffffff,108.0,55.0,0.0
839480fffffffff,28.0,13.0,0.0
839481fffffffff,46.0,32.0,0.0
839483fffffffff,10.0,6.0,0.0
839485fffffffff,9.0,3.0,0.0
839489fffffffff,5.0,3.0,0.0
83948cfffffffff,5.0,0.0,0.0
83948dfffffffff,2.0,2.0,0.0
83948efffffffff,17.0,13.0,0.0
8394aefffffffff,7.0,5.0,0.0
8394c1fffffffff,2.0,2.0,0.0
8394c4fffffffff,4.0,0.0,0.0
8394c5fffffffff,2.0,2.0,0.0
8394c6fffffffff,11.0,0.0,0.0
8394c9fffffffff,9.0,0.0,0.0
8394ccfffffffff,7.0,0.0,0.0
8394d5fffffffff,1.0,0.0,0.0
8394defffffffff,1.0,1.0,0.0
8394e2fffffffff,16.0,7.0,0.0
8394e3fffffffff,2.0,2.0,0.0
8394e8fffffffff,50.0,23.0,0.0
8394e9fffffffff,8.0,5.0,0.0
8394eafffffffff,4.0,0.0,0.0
8394ebfffffffff,2.0,2.0,0.0
8394edfffffffff,19.0,11.0,0.0
8394eefffffffff,66.0,28.0,0.0
8394f2fffffffff,57.0,51.0,0.0
8394f4fffffffff,11.0,0.0,0.0
8394f5fffffffff,14.0,1.0,0.0
8394f6fffffffff,13.0,2.0,0.0
839c05fffffffff,3.0,3.0,0.0
839c0efffffffff,24.0,10.0,0.0
839c23fffffffff,108.0,4.0,0.0
839c25fffffffff,5.0,0.0,0.0
839c2dfffffffff,2.0,0.0,0.0
839c41fffffffff,2.0,0.0,0.0
839c44fffffffff,9.0,2.0,0.0
839c45fffffffff,2.0,0.0,0.0
839c48fffffffff,2.0,0.0,0.0
839c49fffffffff,9.0,0.0,0.0
839c4bfffffffff,2.0,0.0,0.0
839c60fffffffff,37.0,18.0,0.0
839c62fffffffff,3.0,3.0,0.0
839c64fffffffff,6.0,2.0,0.0
839c65fffffffff,2.0,0.0,0.0
839c66fffffffff,2.0,0.0,0.0
839c69fffffffff,5.0,3.0,0.0
839c6afffffffff,6.0,2.0,0.0
839c6bfffffffff,2.0,0.0,0.0
839c6cfffffffff,6.0,2.0,0.0
839c6dfffffffff,8.0,2.0,0.0
839c6efffffffff,2.0,0.0,0.0
839d01fffffffff,2.0,0.0,0.0
839d08fffffffff,1.0,0.0,0.0
839d0bfffffffff,77.0,0.0,0.0
839d0cfffffffff,2.0,0.0,0.0
839d21fffffffff,15.0,0.0,0.0
839d25fffffffff,1.0,0.0,0.0
839d44fffffffff,3.0,3.0,0.0
839d48fffffffff,4.0,2.0,0.0
839d4afffffffff,99.0,68.0,0.0
839d4efffffffff,3.0,3.0,0.0
839d59fffffffff,1.0,1.0,0.0
839d5dfffffffff,9.0,8.0,0.0
83a6a6fffffffff,4.0,0.0,0.0
83a782fffffffff,1.0,0.0,0.0
83a78afffffffff,8.0,0.0,0.0
83a78bfffffffff,2.0,0.0,0.0
83a78efffffffff,2.0,0.0,0.0
83a791fffffffff,2.0,0.0,0.0
83a799fffffffff,1.0,0.0,0.0
83a79dfffffffff,4.0,4.0,0.0
83b880fffffffff,3.0,3.0,0.0
83b881fffffffff,9.0,5.0,0.0
83b885fffffffff,10.0,4.0,0.0
83b892fffffffff,2.0,0.0,0.0
83b89afffffffff,9.0,1.0,0.0
83b89cfffffffff,1.0,1.0,0.0
83b8aafffffffff,2.0,0.0,0.0
83b914fffffffff,2.0,0.0,0.0
83b916fffffffff,2.0,0.0,0.0
83be08fffffffff,5.0,0.0,0.0
83be09fffffffff,2.0,0.0,0.0
83be0afffffffff,114.0,0.0,21.0
83be0bfffffffff,132.0,0.0,24.0
83be1bfffffffff,11.0,0.0,0.0
83be40fffffffff,209.0,0.0,72.0
83be41fffffffff,7.0,0.0,0.0
83be42fffffffff,1.0,0.0,0.0
83be44fffffffff,270.0,0.0,92.0
83be45fffffffff,305.0,0.0,35.0
83be46fffffffff,42.0,0.0,19.0
83be49fffffffff,13.0,0.0,0.0
83be4cfffffffff,44.0,0.0,4.0
83be53fffffffff,4.0,0.0,0.0
83be55fffffffff,2.0,0.0,0.0
83be56fffffffff,27.0,0.0,6.0
83be63fffffffff,100.0,0.0,8.0
83be6afffffffff,60.0,0.0,4.0
83be71fffffffff,372.0,0.0,67.0
83be73fffffffff,5.0,0.0,0.0
83be88fffffffff,2.0,0.0,0.0
83be89fffffffff,8.0,0.0,0.0
83be8bfffffffff,21.0,0.0,0.0
83be8dfffffffff,124.0,0.0,0.0
83bea9fffffffff,10.0,0.0,0.0
83bec0fffffffff,1.0,0.0,0.0
83bec6fffffffff,2.0,0.0,0.0
83beccfffffffff,2.0,0.0,0.0
83becefffffffff,2.0,0.0,0.0
83bed2fffffffff,2.0,0.0,0.0
83bed4fffffffff,4.0,0.0,0.0
83bed6fffffffff,1.0,0.0,0.0
83bedefffffffff,2.0,0.0,0.0
83bee0fffffffff,8.0,0.0,0.0
83bee1fffffffff,2.0,0.0,0.0
83bee2fffffffff,1.0,0.0,0.0
83bee4fffffffff,9.0,0.0,0.0
83bee5fffffffff,2.0,0.0,0.0
83bee6fffffffff,6.0,0.0,1.0
83bef0fffffffff,55.0,0.0,0.0
83bef1fffffffff,6.0,0.0,0.0
83bef2fffffffff,148.0,0.0,0.0
83bef4fffffffff,5.0,0.0,0.0
83bef5fffffffff,23.0,0.0,0.0
83bef6fffffffff,55.0,0.0,0.0
