cell_id,Cyanopica cyanus,Cyanopica cyanus [cyanus Group],Cyanopica cyanus japonica
82148ffffffffff,2.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0
82149ffffffffff,14.0,0.0,0.0
8214affffffffff,141.0,0.0,0.0
8214b7fffffffff,1.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0
82158ffffffffff,6.0,0.0,0.0
821597fffffffff,8.0,0.0,0.0
82159ffffffffff,35.0,2.0,0.0
822457fffffffff,7.0,0.0,0.0
822467fffffffff,2.0,0.0,0.0
822487fffffffff,3.0,2.0,0.0
82248ffffffffff,133.0,26.0,0.0
82249ffffffffff,2.0,0.0,0.0
8224c7fffffffff,30.0,3.0,0.0
8224d7fffffffff,21.0,11.0,0.0
8224dffffffffff,6.0,0.0,0.0
8224effffffffff,5.0,0.0,0.0
822547fffffffff,10.0,0.0,0.0
822557fffffffff,1.0,0.0,0.0
82255ffffffffff,136.0,0.0,0.0
822577fffffffff,36.0,0.0,0.0
8225b7fffffffff,5.0,0.0,0.0
822e0ffffffffff,1.0,0.0,1.0
822e2ffffffffff,1.0,0.0,0.0
822e47fffffffff,10.0,0.0,3.0
822e67fffffffff,4.0,0.0,3.0
822e77fffffffff,37.0,0.0,20.0
822ec7fffffffff,4.0,0.0,0.0
822ecffffffffff,28.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0
822f5ffffffffff,491.0,0.0,122.0
823007fffffffff,2.0,0.0,0.0
823017fffffffff,25.0,0.0,0.0
82301ffffffffff,30.0,0.0,0.0
823027fffffffff,105.0,0.0,0.0
823037fffffffff,4.0,0.0,0.0
823087fffffffff,115.0,3.0,0.0
823097fffffffff,190.0,28.0,0.0
82309ffffffffff,713.0,204.0,0.0
8230a7fffffffff,10.0,1.0,0.0
8230affffffffff,31.0,0.0,0.0
8230b7fffffffff,5.0,0.0,0.0
8230c7fffffffff,490.0,0.0,0.0
8230e7fffffffff,861.0,0.0,0.0
8230effffffffff,18.0,0.0,0.0
8230f7fffffffff,1.0,0.0,0.0
823127fffffffff,1.0,0.0,0.0
823147fffffffff,4.0,0.0,0.0
823157fffffffff,3.0,1.0,0.0
82315ffffffffff,6.0,0.0,0.0
82316ffffffffff,38.0,3.0,0.0
823177fffffffff,10.0,0.0,0.0
823187fffffffff,847.0,131.0,0.0
82318ffffffffff,151.0,1.0,0.0
823197fffffffff,30.0,0.0,0.0
82319ffffffffff,10.0,0.0,0.0
8231a7fffffffff,5.0,0.0,0.0
8231affffffffff,2130.0,270.0,0.0
8231b7fffffffff,2.0,0.0,0.0
82400ffffffffff,2.0,0.0,0.0
82401ffffffffff,4.0,0.0,0.0
824077fffffffff,16.0,3.0,0.0
82408ffffffffff,49.0,3.0,0.0
824097fffffffff,40.0,8.0,0.0
8240a7fffffffff,82.0,7.0,0.0
8240b7fffffffff,74.0,2.0,0.0
8240c7fffffffff,46.0,18.0,0.0
8240d7fffffffff,10.0,6.0,0.0
8240dffffffffff,13.0,0.0,0.0
8240e7fffffffff,6.0,2.0,0.0
8240f7fffffffff,4.0,0.0,0.0
824107fffffffff,8.0,0.0,0.0
82411ffffffffff,874.0,66.0,0.0
824177fffffffff,6.0,0.0,0.0
824187fffffffff,6.0,2.0,0.0
82418ffffffffff,17.0,0.0,0.0
824197fffffffff,4.0,0.0,0.0
82419ffffffffff,18.0,0.0,0.0
8241a7fffffffff,12.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0
824b37fffffffff,5.0,2.0,0.0
824ba7fffffffff,110.0,0.0,0.0
824bb7fffffffff,215.0,0.0,0.0
